jMRUI Data Textfile
 
Filename: Cr.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
6.00000E+00	-1.04951E-16	3.22640E+00	-9.36190E+00
4.92056E+00	-1.76868E+00	3.22305E+00	-9.27409E+00
2.26293E+00	-3.05497E+00	3.21984E+00	-9.18763E+00
-8.00579E-01	-3.53558E+00	3.21674E+00	-9.10248E+00
-2.99250E+00	-3.11498E+00	3.21369E+00	-9.01861E+00
-3.52474E+00	-1.97530E+00	3.21069E+00	-8.93595E+00
-2.43492E+00	-5.44347E-01	3.20775E+00	-8.85445E+00
-5.12635E-01	6.36582E-01	3.20487E+00	-8.77411E+00
1.12913E+00	1.11987E+00	3.20200E+00	-8.69485E+00
1.61176E+00	7.56489E-01	3.19919E+00	-8.61659E+00
7.01507E-01	-2.03024E-01	3.19650E+00	-8.53934E+00
-1.11587E+00	-1.18473E+00	3.19391E+00	-8.46311E+00
-2.90966E+00	-1.53969E+00	3.19145E+00	-8.38789E+00
-3.77186E+00	-8.65577E-01	3.18909E+00	-8.31375E+00
-3.24122E+00	7.53423E-01	3.18663E+00	-8.24063E+00
-1.48759E+00	2.72409E+00	3.18412E+00	-8.16829E+00
8.07143E-01	4.17774E+00	3.18174E+00	-8.09671E+00
2.78596E+00	4.36867E+00	3.17955E+00	-8.02599E+00
3.79399E+00	3.05058E+00	3.17747E+00	-7.95619E+00
3.62180E+00	6.37683E-01	3.17547E+00	-7.88727E+00
2.52563E+00	-1.94685E+00	3.17354E+00	-7.81924E+00
1.05121E+00	-3.67957E+00	3.17160E+00	-7.75209E+00
-2.29845E-01	-3.91195E+00	3.16957E+00	-7.68573E+00
-9.42858E-01	-2.67845E+00	3.16753E+00	-7.62001E+00
-1.00927E+00	-6.79415E-01	3.16558E+00	-7.55494E+00
-6.11336E-01	1.06028E+00	3.16375E+00	-7.49058E+00
-7.04922E-02	1.69247E+00	3.16198E+00	-7.42697E+00
2.92462E-01	9.59268E-01	3.16025E+00	-7.36404E+00
2.64118E-01	-6.86752E-01	3.15857E+00	-7.30181E+00
-2.06902E-01	-2.31518E+00	3.15690E+00	-7.24025E+00
-1.00292E+00	-2.98598E+00	3.15524E+00	-7.17932E+00
-1.86810E+00	-2.21904E+00	3.15359E+00	-7.11898E+00
-2.47432E+00	-2.33025E-01	3.15197E+00	-7.05919E+00
-2.51985E+00	2.16013E+00	3.15044E+00	-6.99994E+00
-1.84529E+00	3.94608E+00	3.14903E+00	-6.94126E+00
-5.28393E-01	4.38578E+00	3.14775E+00	-6.88320E+00
1.09409E+00	3.34705E+00	3.14653E+00	-6.82580E+00
2.51256E+00	1.33650E+00	3.14528E+00	-6.76906E+00
3.22914E+00	-7.67459E-01	3.14396E+00	-6.71288E+00
2.97375E+00	-2.13645E+00	3.14256E+00	-6.65719E+00
1.85016E+00	-2.35814E+00	3.14114E+00	-6.60190E+00
3.26087E-01	-1.57923E+00	3.13977E+00	-6.54701E+00
-9.51628E-01	-3.76337E-01	3.13852E+00	-6.49254E+00
-1.44758E+00	5.58455E-01	3.13740E+00	-6.43860E+00
-9.98980E-01	7.52080E-01	3.13629E+00	-6.38521E+00
8.74235E-02	1.46835E-01	3.13514E+00	-6.33231E+00
1.16645E+00	-9.16827E-01	3.13394E+00	-6.27984E+00
1.56480E+00	-1.89686E+00	3.13268E+00	-6.22772E+00
9.24638E-01	-2.31283E+00	3.13145E+00	-6.17586E+00
-5.92049E-01	-1.94826E+00	3.13038E+00	-6.12431E+00
-2.35105E+00	-9.12584E-01	3.12950E+00	-6.07315E+00
-3.53338E+00	4.40192E-01	3.12880E+00	-6.02248E+00
-3.52902E+00	1.67592E+00	3.12823E+00	-5.97237E+00
-2.24277E+00	2.44402E+00	3.12763E+00	-5.92290E+00
-1.57188E-01	2.57905E+00	3.12681E+00	-5.87398E+00
1.88357E+00	2.11942E+00	3.12566E+00	-5.82540E+00
3.06677E+00	1.26183E+00	3.12430E+00	-5.77687E+00
2.98789E+00	2.84426E-01	3.12297E+00	-5.72832E+00
1.82763E+00	-5.34360E-01	3.12196E+00	-5.67986E+00
2.44401E-01	-9.87405E-01	3.12132E+00	-5.63185E+00
-9.59309E-01	-9.94643E-01	3.12065E+00	-5.58447E+00
-1.22859E+00	-6.32493E-01	3.11971E+00	-5.53728E+00
-5.12405E-01	-1.19927E-01	3.11897E+00	-5.49007E+00
7.35334E-01	2.51097E-01	3.11864E+00	-5.44322E+00
1.80066E+00	2.31317E-01	3.11848E+00	-5.39706E+00
2.07017E+00	-2.63216E-01	3.11812E+00	-5.35148E+00
1.32697E+00	-1.08111E+00	3.11747E+00	-5.30624E+00
-1.57805E-01	-1.86640E+00	3.11660E+00	-5.26115E+00
-1.77012E+00	-2.19835E+00	3.11561E+00	-5.21609E+00
-2.85065E+00	-1.78896E+00	3.11466E+00	-5.17105E+00
-2.99380E+00	-6.46604E-01	3.11388E+00	-5.12610E+00
-2.20730E+00	8.83281E-01	3.11330E+00	-5.08137E+00
-8.72036E-01	2.23953E+00	3.11287E+00	-5.03694E+00
4.60599E-01	2.88637E+00	3.11247E+00	-4.99285E+00
1.32200E+00	2.56476E+00	3.11205E+00	-4.94905E+00
1.51061E+00	1.42930E+00	3.11159E+00	-4.90547E+00
1.13341E+00	-7.35728E-03	3.11113E+00	-4.86207E+00
5.08094E-01	-1.10704E+00	3.11069E+00	-4.81887E+00
-8.32238E-03	-1.40798E+00	3.11023E+00	-4.77589E+00
-1.76628E-01	-8.48962E-01	3.10975E+00	-4.73304E+00
4.58780E-02	1.99615E-01	3.10929E+00	-4.69034E+00
5.21546E-01	1.11865E+00	3.10886E+00	-4.64782E+00
1.01527E+00	1.35005E+00	3.10843E+00	-4.60546E+00
1.29567E+00	6.80448E-01	3.10798E+00	-4.56324E+00
1.21414E+00	-6.43823E-01	3.10753E+00	-4.52113E+00
7.43052E-01	-2.02913E+00	3.10712E+00	-4.47912E+00
-2.36481E-02	-2.82002E+00	3.10675E+00	-4.43722E+00
-8.97230E-01	-2.61611E+00	3.10643E+00	-4.39543E+00
-1.64092E+00	-1.46417E+00	3.10618E+00	-4.35378E+00
-2.03167E+00	1.66865E-01	3.10596E+00	-4.31230E+00
-1.93106E+00	1.61158E+00	3.10572E+00	-4.27098E+00
-1.34534E+00	2.31973E+00	3.10546E+00	-4.22973E+00
-4.46349E-01	2.10088E+00	3.10522E+00	-4.18856E+00
4.69488E-01	1.18712E+00	3.10499E+00	-4.14748E+00
1.08511E+00	9.41311E-02	3.10480E+00	-4.10644E+00
1.19495E+00	-6.41922E-01	3.10469E+00	-4.06553E+00
8.06412E-01	-7.17071E-01	3.10455E+00	-4.02476E+00
1.54158E-01	-1.82728E-01	3.10436E+00	-3.98404E+00
-3.94489E-01	6.09588E-01	3.10419E+00	-3.94333E+00
