jMRUI Data Textfile
 
Filename: GSH.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
1.03469E+01	-1.61784E-02	9.63773E+00	-2.81825E+01
7.64442E+00	-4.47566E+00	9.16619E+00	-2.73495E+01
1.69154E+00	-6.40779E+00	8.76306E+00	-2.65789E+01
-3.26802E+00	-5.15448E+00	8.41802E+00	-2.58644E+01
-4.19420E+00	-2.18189E+00	8.12138E+00	-2.52008E+01
-1.48885E+00	2.21314E-01	7.86486E+00	-2.45834E+01
1.72399E+00	7.00855E-01	7.64168E+00	-2.40076E+01
2.45626E+00	-3.68002E-01	7.44628E+00	-2.34693E+01
2.87681E-01	-1.52736E+00	7.27423E+00	-2.29649E+01
-2.62233E+00	-1.58008E+00	7.12196E+00	-2.24911E+01
-3.69552E+00	-4.41243E-01	6.98652E+00	-2.20449E+01
-2.18205E+00	1.07373E+00	6.86547E+00	-2.16238E+01
4.52738E-01	2.10231E+00	6.75678E+00	-2.12255E+01
2.11876E+00	2.36231E+00	6.65881E+00	-2.08479E+01
2.02765E+00	2.08970E+00	6.57020E+00	-2.04893E+01
1.18643E+00	1.55927E+00	6.48979E+00	-2.01480E+01
1.16451E+00	7.84912E-01	6.41659E+00	-1.98227E+01
2.44601E+00	-3.29689E-01	6.34977E+00	-1.95120E+01
3.94780E+00	-1.66275E+00	6.28861E+00	-1.92149E+01
4.07860E+00	-2.80945E+00	6.23245E+00	-1.89304E+01
2.25806E+00	-3.37805E+00	6.18071E+00	-1.86576E+01
-5.36355E-01	-3.31182E+00	6.13296E+00	-1.83955E+01
-2.63467E+00	-2.86737E+00	6.08880E+00	-1.81434E+01
-3.07223E+00	-2.27714E+00	6.04790E+00	-1.79007E+01
-2.23363E+00	-1.49840E+00	6.00993E+00	-1.76667E+01
-1.26147E+00	-3.69546E-01	5.97458E+00	-1.74409E+01
-9.20207E-01	9.79167E-01	5.94161E+00	-1.72228E+01
-1.02450E+00	1.96276E+00	5.91082E+00	-1.70119E+01
-8.81566E-01	1.93453E+00	5.88201E+00	-1.68077E+01
-1.74384E-01	8.48994E-01	5.85510E+00	-1.66098E+01
6.65413E-01	-4.79255E-01	5.82990E+00	-1.64180E+01
9.56688E-01	-9.16990E-01	5.80620E+00	-1.62320E+01
5.78648E-01	2.67165E-03	5.78380E+00	-1.60514E+01
2.02862E-01	1.52659E+00	5.76262E+00	-1.58757E+01
6.44457E-01	2.16084E+00	5.74267E+00	-1.57048E+01
1.93914E+00	8.91526E-01	5.72388E+00	-1.55383E+01
3.08494E+00	-1.86362E+00	5.70616E+00	-1.53763E+01
2.79919E+00	-4.43534E+00	5.68943E+00	-1.52183E+01
6.78940E-01	-5.13684E+00	5.67365E+00	-1.50643E+01
-2.27987E+00	-3.55624E+00	5.65866E+00	-1.49142E+01
-4.32641E+00	-8.38422E-01	5.64431E+00	-1.47676E+01
-4.27320E+00	1.25857E+00	5.63067E+00	-1.46244E+01
-2.39727E+00	1.71657E+00	5.61770E+00	-1.44844E+01
-1.81512E-01	8.99985E-01	5.60529E+00	-1.43475E+01
8.70083E-01	2.89784E-02	5.59355E+00	-1.42135E+01
3.55561E-01	4.02038E-02	5.58242E+00	-1.40824E+01
-8.51872E-01	8.55305E-01	5.57168E+00	-1.39542E+01
-1.44163E+00	1.62420E+00	5.56135E+00	-1.38284E+01
-7.57054E-01	1.60454E+00	5.55153E+00	-1.37051E+01
7.51455E-01	8.17605E-01	5.54222E+00	-1.35842E+01
2.00118E+00	-8.15726E-02	5.53337E+00	-1.34656E+01
2.19221E+00	-5.05377E-01	5.52496E+00	-1.33493E+01
1.37901E+00	-4.82877E-01	5.51692E+00	-1.32353E+01
2.86879E-01	-5.41532E-01	5.50903E+00	-1.31235E+01
-3.75451E-01	-1.08496E+00	5.50125E+00	-1.30136E+01
-4.78061E-01	-1.90888E+00	5.49378E+00	-1.29053E+01
