jMRUI Data Textfile
 
Filename: Gln.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
6.64855E+00	-1.45232E-02	3.41158E+00	-3.99535E+00
3.99161E+00	-1.77827E+00	3.41041E+00	-3.95616E+00
-1.48181E+00	-2.32543E+00	3.40920E+00	-3.91718E+00
-4.96089E+00	-1.32663E+00	3.40805E+00	-3.87841E+00
-3.73018E+00	3.64242E-01	3.40703E+00	-3.83989E+00
5.32137E-01	1.28054E+00	3.40613E+00	-3.80171E+00
3.65486E+00	5.36229E-01	3.40531E+00	-3.76389E+00
2.96943E+00	-1.27440E+00	3.40451E+00	-3.72645E+00
-5.00751E-01	-2.40668E+00	3.40367E+00	-3.68932E+00
-3.45902E+00	-1.48579E+00	3.40281E+00	-3.65247E+00
-3.57117E+00	1.06863E+00	3.40194E+00	-3.61586E+00
-1.28521E+00	3.18406E+00	3.40108E+00	-3.57947E+00
1.15938E+00	2.95307E+00	3.40026E+00	-3.54331E+00
2.05625E+00	5.04346E-01	3.39950E+00	-3.50737E+00
1.46802E+00	-1.96954E+00	3.39879E+00	-3.47170E+00
5.29251E-01	-2.22515E+00	3.39812E+00	-3.43629E+00
3.89059E-02	-1.36131E-01	3.39746E+00	-3.40116E+00
-6.55067E-02	2.15486E+00	3.39677E+00	-3.36627E+00
-1.22035E-01	2.31839E+00	3.39607E+00	-3.33158E+00
-1.00321E-01	1.09189E-01	3.39536E+00	-3.29706E+00
2.47242E-01	-2.43714E+00	3.39469E+00	-3.26272E+00
7.81418E-01	-3.04167E+00	3.39408E+00	-3.22855E+00
8.72170E-01	-1.35861E+00	3.39353E+00	-3.19459E+00
6.97775E-02	8.69641E-01	3.39303E+00	-3.16086E+00
-1.22757E+00	1.69154E+00	3.39255E+00	-3.12738E+00
-1.98509E+00	8.15276E-01	3.39203E+00	-3.09412E+00
-1.50424E+00	-4.01517E-01	3.39147E+00	-3.06103E+00
-1.37003E-01	-6.08327E-01	3.39090E+00	-3.02808E+00
1.03043E+00	1.58672E-01	3.39035E+00	-2.99523E+00
1.19013E+00	7.98505E-01	3.38987E+00	-2.96253E+00
4.78896E-01	5.96002E-01	3.38945E+00	-2.93002E+00
-3.03561E-01	2.51055E-02	3.38904E+00	-2.89771E+00
-5.07855E-01	1.38693E-02	3.38862E+00	-2.86558E+00
-1.15253E-01	6.46460E-01	3.38819E+00	-2.83360E+00
4.62898E-01	9.39885E-01	3.38773E+00	-2.80176E+00
8.51358E-01	3.83557E-02	3.38726E+00	-2.77001E+00
9.00275E-01	-1.56537E+00	3.38683E+00	-2.73835E+00
5.70307E-01	-2.30970E+00	3.38647E+00	-2.70680E+00
-1.16594E-01	-1.19889E+00	3.38617E+00	-2.67540E+00
-9.17942E-01	9.64291E-01	3.38592E+00	-2.64420E+00
-1.32399E+00	2.19662E+00	3.38563E+00	-2.61319E+00
-9.25403E-01	1.28836E+00	3.38526E+00	-2.58229E+00
7.44689E-02	-9.14082E-01	3.38488E+00	-2.55143E+00
8.51537E-01	-2.27234E+00	3.38453E+00	-2.52065E+00
6.74837E-01	-1.43265E+00	3.38422E+00	-2.48994E+00
-3.01901E-01	8.72021E-01	3.38399E+00	-2.45933E+00
-1.07493E+00	2.56663E+00	3.38380E+00	-2.42889E+00
-7.60729E-01	2.21629E+00	3.38360E+00	-2.39860E+00
4.51034E-01	2.70258E-01	3.38335E+00	-2.36841E+00
1.41656E+00	-1.53645E+00	3.38308E+00	-2.33829E+00
1.19105E+00	-1.85517E+00	3.38281E+00	-2.30823E+00
2.70120E-02	-7.86860E-01	3.38256E+00	-2.27823E+00
-8.74743E-01	5.13272E-01	3.38233E+00	-2.24829E+00
-6.35326E-01	1.02986E+00	3.38214E+00	-2.21841E+00
3.65339E-01	6.30437E-01	3.38199E+00	-2.18863E+00
9.12223E-01	-1.52869E-01	3.38186E+00	-2.15894E+00
2.95575E-01	-7.68305E-01	3.38174E+00	-2.12935E+00
-8.90616E-01	-9.70734E-01	3.38159E+00	-2.09985E+00
-1.37573E+00	-7.14084E-01	3.38143E+00	-2.07041E+00
-5.94285E-01	-3.65190E-02	3.38124E+00	-2.04100E+00
6.81175E-01	8.17911E-01	3.38107E+00	-2.01160E+00
1.15041E+00	1.32588E+00	3.38095E+00	-1.98224E+00
3.65988E-01	1.00993E+00	3.38086E+00	-1.95294E+00
-8.01118E-01	-3.10219E-02	3.38081E+00	-1.92373E+00
-1.09597E+00	-1.01603E+00	3.38074E+00	-1.89459E+00
-1.94206E-01	-1.10077E+00	3.38064E+00	-1.86551E+00
9.96448E-01	-1.99150E-01	3.38052E+00	-1.83644E+00
1.31773E+00	8.60721E-01	3.38041E+00	-1.80738E+00
5.34685E-01	1.09404E+00	3.38031E+00	-1.77834E+00
-5.19979E-01	3.04358E-01	3.38023E+00	-1.74931E+00
-8.86648E-01	-7.49406E-01	3.38018E+00	-1.72030E+00
-4.25913E-01	-1.12917E+00	3.38016E+00	-1.69133E+00
1.99955E-01	-6.16911E-01	3.38014E+00	-1.66240E+00
3.53505E-01	1.78769E-01	3.38011E+00	-1.63349E+00
6.16527E-02	5.41167E-01	3.38009E+00	-1.60457E+00
-1.88055E-01	3.54924E-01	3.38010E+00	-1.57567E+00
-1.24525E-01	6.64292E-02	3.38012E+00	-1.54679E+00
1.86837E-02	5.00486E-02	3.38015E+00	-1.51792E+00
-9.17525E-02	1.80773E-01	3.38020E+00	-1.48906E+00
-3.64435E-01	9.42260E-02	3.38026E+00	-1.46022E+00
-3.44875E-01	-2.47265E-01	3.38031E+00	-1.43141E+00
1.81882E-01	-4.30126E-01	3.38032E+00	-1.40259E+00
8.00276E-01	-9.74342E-02	3.38032E+00	-1.37375E+00
8.30610E-01	5.23766E-01	3.38031E+00	-1.34486E+00
9.98085E-02	7.63547E-01	3.38032E+00	-1.31592E+00
-7.67787E-01	2.35817E-01	3.38036E+00	-1.28693E+00
-9.34084E-01	-6.57903E-01	3.38045E+00	-1.25792E+00
-2.18577E-01	-1.06596E+00	3.38059E+00	-1.22889E+00
6.86298E-01	-5.56746E-01	3.38079E+00	-1.19988E+00
9.08341E-01	4.09199E-01	3.38098E+00	-1.17093E+00
2.68413E-01	9.32013E-01	3.38110E+00	-1.14196E+00
-5.79622E-01	5.78218E-01	3.38120E+00	-1.11291E+00
-8.51713E-01	-2.18579E-01	3.38135E+00	-1.08380E+00
-4.00850E-01	-6.59136E-01	3.38151E+00	-1.05471E+00
2.38860E-01	-4.05481E-01	3.38161E+00	-1.02560E+00
4.88836E-01	1.52893E-01	3.38166E+00	-9.96384E-01
2.91255E-01	4.14694E-01	3.38172E+00	-9.67051E-01
2.31672E-02	2.26095E-01	3.38183E+00	-9.37612E-01
-3.21635E-02	-4.91203E-02	3.38202E+00	-9.08098E-01
1.75884E-02	-5.29846E-02	3.38228E+00	-8.78563E-01
-7.50121E-02	1.23237E-01	3.38257E+00	-8.49028E-01
-2.80872E-01	1.03950E-01	3.38282E+00	-8.19472E-01
-2.83617E-01	-2.30464E-01	3.38306E+00	-7.89840E-01
8.88012E-02	-5.20785E-01	3.38331E+00	-7.60150E-01
5.40930E-01	-3.31771E-01	3.38352E+00	-7.30378E-01
5.55737E-01	2.80233E-01	3.38374E+00	-7.00490E-01
-1.22106E-02	7.31566E-01	3.38398E+00	-6.70509E-01
-6.82622E-01	5.10410E-01	3.38425E+00	-6.40430E-01
-7.87526E-01	-2.34795E-01	3.38458E+00	-6.10294E-01
-1.72712E-01	-7.93803E-01	3.38487E+00	-5.80135E-01
6.02172E-01	-6.11146E-01	3.38510E+00	-5.49828E-01
8.11218E-01	1.38203E-01	3.38538E+00	-5.19373E-01
2.90736E-01	7.31218E-01	3.38567E+00	-4.88858E-01
-4.19231E-01	6.35280E-01	3.38592E+00	-4.58171E-01
-6.52121E-01	1.46466E-02	3.38628E+00	-4.27326E-01
-2.77027E-01	-5.02185E-01	3.38669E+00	-3.96462E-01
2.44140E-01	-4.91628E-01	3.38704E+00	-3.65510E-01
4.05662E-01	-1.05760E-01	3.38739E+00	-3.34387E-01
1.70762E-01	1.99399E-01	3.38776E+00	-3.03148E-01
-9.18136E-02	1.95563E-01	3.38812E+00	-2.71775E-01
-9.97343E-02	5.72905E-02	3.38850E+00	-2.40238E-01
3.37112E-02	4.28413E-02	3.38892E+00	-2.08550E-01
1.44974E-02	1.32310E-01	3.38936E+00	-1.76743E-01
-2.00689E-01	8.25243E-02	3.38980E+00	-1.44802E-01
-3.14695E-01	-1.91335E-01	3.39024E+00	-1.12715E-01
-6.75132E-02	-4.20053E-01	3.39068E+00	-8.04700E-02
3.80612E-01	-2.62209E-01	3.39111E+00	-4.80452E-02
5.56363E-01	2.45957E-01	3.39155E+00	-1.54137E-02
1.94523E-01	6.32489E-01	3.39203E+00	1.74065E-02
-4.14098E-01	4.57844E-01	3.39255E+00	5.03997E-02
-6.75513E-01	-1.81411E-01	3.39309E+00	8.35650E-02
-3.06216E-01	-6.93807E-01	3.39366E+00	1.16908E-01
3.53766E-01	-5.78778E-01	3.39424E+00	1.50407E-01
6.77134E-01	5.44675E-02	3.39479E+00	1.84085E-01
3.81108E-01	5.94533E-01	3.39530E+00	2.18003E-01
-2.12373E-01	5.50607E-01	3.39584E+00	2.52205E-01
-5.39809E-01	2.88522E-02	3.39647E+00	2.86631E-01
-3.65302E-01	-4.25200E-01	3.39712E+00	3.21238E-01
4.60735E-02	-4.13002E-01	3.39775E+00	3.56089E-01
2.80019E-01	-5.37106E-02	3.39848E+00	3.91201E-01
2.09281E-01	2.25215E-01	3.39925E+00	4.26423E-01
4.00098E-02	1.86988E-01	3.39988E+00	4.61870E-01
-1.30725E-02	-1.71507E-03	3.40050E+00	4.97698E-01
1.45114E-02	-4.45722E-02	3.40120E+00	5.33793E-01
-5.03486E-02	9.51417E-02	3.40189E+00	5.70177E-01
-2.16871E-01	1.66204E-01	3.40265E+00	6.06882E-01
-2.60579E-01	-2.02168E-02	3.40347E+00	6.43847E-01
-6.03465E-03	-3.07118E-01	3.40433E+00	6.81091E-01
3.83092E-01	-3.41262E-01	3.40524E+00	7.18570E-01
5.03745E-01	1.43432E-03	3.40607E+00	7.56299E-01
1.49117E-01	4.18381E-01	3.40686E+00	7.94428E-01
-4.04206E-01	4.70223E-01	3.40772E+00	8.32947E-01
-6.24265E-01	5.82153E-02	3.40863E+00	8.71784E-01
-2.67500E-01	-4.42047E-01	3.40955E+00	9.10984E-01
3.41775E-01	-5.52599E-01	3.41057E+00	9.50544E-01
6.19225E-01	-1.77389E-01	3.41161E+00	9.90372E-01
3.08560E-01	3.14778E-01	3.41259E+00	1.03058E+00
-2.67538E-01	4.80270E-01	3.41358E+00	1.07125E+00
-5.52347E-01	2.32251E-01	3.41464E+00	1.11234E+00
-3.19260E-01	-1.30224E-01	3.41579E+00	1.15384E+00
1.38684E-01	-2.76723E-01	3.41698E+00	1.19569E+00
3.62052E-01	-1.64189E-01	3.41817E+00	1.23792E+00
2.06039E-01	5.08851E-03	3.41933E+00	1.28058E+00
-6.73723E-02	7.07575E-02	3.42046E+00	1.32375E+00
-1.39020E-01	7.47886E-02	3.42164E+00	1.36746E+00
8.25292E-03	1.26657E-01	3.42290E+00	1.41169E+00
1.22101E-01	1.91280E-01	3.42425E+00	1.45641E+00
2.70831E-02	1.06329E-01	3.42569E+00	1.50161E+00
-1.50776E-01	-1.74529E-01	3.42717E+00	1.54727E+00
-1.49075E-01	-4.32914E-01	3.42865E+00	1.59343E+00
8.49344E-02	-3.69385E-01	3.43012E+00	1.64015E+00
2.95414E-01	4.66016E-02	3.43163E+00	1.68746E+00
2.01346E-01	4.69356E-01	3.43316E+00	1.73537E+00
-1.60094E-01	4.86771E-01	3.43474E+00	1.78391E+00
-4.37478E-01	5.03605E-02	3.43638E+00	1.83310E+00
-3.33136E-01	-4.41041E-01	3.43810E+00	1.88293E+00
6.81028E-02	-5.20962E-01	3.43989E+00	1.93340E+00
3.78005E-01	-1.16351E-01	3.44172E+00	1.98453E+00
3.10110E-01	3.88111E-01	3.44358E+00	2.03636E+00
-2.97665E-02	5.41705E-01	3.44549E+00	2.08892E+00
-2.75459E-01	2.58082E-01	3.44746E+00	2.14225E+00
-1.95322E-01	-1.51039E-01	3.44949E+00	2.19636E+00
8.49607E-02	-3.31744E-01	3.45162E+00	2.25127E+00
2.54844E-01	-2.24126E-01	3.45384E+00	2.30698E+00
1.67090E-01	-3.91475E-02	3.45611E+00	2.36349E+00
-3.11393E-02	3.45883E-02	3.45842E+00	2.42087E+00
-1.05086E-01	2.23925E-02	3.46078E+00	2.47917E+00
-1.19215E-02	5.11810E-02	3.46320E+00	2.53843E+00
7.22950E-02	1.21297E-01	3.46572E+00	2.59868E+00
-9.90363E-03	8.35203E-02	3.46833E+00	2.65994E+00
-1.92024E-01	-1.35282E-01	3.47105E+00	2.72225E+00
-2.56036E-01	-3.54992E-01	3.47390E+00	2.78560E+00
-9.34329E-02	-2.84205E-01	3.47685E+00	2.85003E+00
1.55027E-01	1.32677E-01	3.47987E+00	2.91559E+00
2.45611E-01	5.66864E-01	3.48298E+00	2.98235E+00
9.65300E-02	5.83539E-01	3.48623E+00	3.05036E+00
-1.27095E-01	9.82029E-02	3.48962E+00	3.11962E+00
-1.95594E-01	-4.80518E-01	3.49312E+00	3.19018E+00
-5.13819E-02	-6.17505E-01	3.49673E+00	3.26209E+00
1.55827E-01	-1.81029E-01	3.50046E+00	3.33544E+00
2.47512E-01	4.09595E-01	3.50435E+00	3.41029E+00
1.87255E-01	5.86132E-01	3.50840E+00	3.48666E+00
6.48278E-02	1.84086E-01	3.51263E+00	3.56460E+00
-4.37739E-02	-4.09151E-01	3.51701E+00	3.64418E+00
-1.42318E-01	-6.47321E-01	3.52156E+00	3.72546E+00
-2.35679E-01	-3.48325E-01	3.52626E+00	3.80853E+00
-2.48124E-01	1.70863E-01	3.53114E+00	3.89350E+00
-9.21518E-02	4.44558E-01	3.53628E+00	3.98043E+00
1.72432E-01	3.04540E-01	3.54165E+00	4.06934E+00
3.13954E-01	-1.90036E-02	3.54722E+00	4.16034E+00
1.40041E-01	-1.88027E-01	3.55300E+00	4.25356E+00
-2.52129E-01	-9.30607E-02	3.55907E+00	4.34911E+00
-4.93938E-01	1.00266E-01	3.56543E+00	4.44705E+00
-2.84347E-01	1.81364E-01	3.57210E+00	4.54749E+00
2.70311E-01	1.11072E-01	3.57907E+00	4.65053E+00
6.96182E-01	6.07601E-03	3.58636E+00	4.75630E+00
5.84915E-01	-3.61398E-02	3.59396E+00	4.86495E+00
5.90213E-03	-4.03494E-02	3.60192E+00	4.97665E+00
-5.32968E-01	-8.08841E-02	3.61026E+00	5.09155E+00
-5.61666E-01	-1.55824E-01	3.61907E+00	5.20982E+00
-9.47496E-02	-1.79621E-01	3.62838E+00	5.33160E+00
3.97280E-01	-9.80766E-02	3.63822E+00	5.45702E+00
4.55279E-01	2.92163E-02	3.64858E+00	5.58628E+00
6.10755E-02	8.96833E-02	3.65950E+00	5.71959E+00
-3.88107E-01	4.89463E-02	3.67098E+00	5.85718E+00
-4.97632E-01	-1.04950E-02	3.68306E+00	5.99933E+00
-2.37409E-01	8.17912E-03	3.69581E+00	6.14635E+00
9.89405E-02	9.75454E-02	3.70934E+00	6.29853E+00
2.37565E-01	1.56662E-01	3.72376E+00	6.45612E+00
1.75191E-01	1.16285E-01	3.73912E+00	6.61939E+00
9.59378E-02	2.31799E-02	3.75544E+00	6.78868E+00
1.06814E-01	-2.10613E-02	3.77276E+00	6.96441E+00
1.24366E-01	9.78493E-03	3.79119E+00	7.14705E+00
2.89111E-02	3.18965E-02	3.81088E+00	7.33705E+00
-1.32219E-01	-3.93534E-02	3.83193E+00	7.53489E+00
-1.66743E-01	-1.69221E-01	3.85448E+00	7.74111E+00
2.31310E-02	-2.27290E-01	3.87867E+00	7.95632E+00
2.72544E-01	-1.38146E-01	3.90468E+00	8.18116E+00
2.86647E-01	1.93021E-02	3.93267E+00	8.41634E+00
-3.89503E-02	9.19771E-02	3.96285E+00	8.66266E+00
-4.59772E-01	2.80065E-02	3.99546E+00	8.92102E+00
-5.86501E-01	-5.98126E-02	4.03080E+00	9.19239E+00
-2.66232E-01	-2.69986E-02	4.06917E+00	9.47782E+00
2.47793E-01	1.23106E-01	4.11091E+00	9.77854E+00
5.21507E-01	2.30105E-01	4.15644E+00	1.00959E+01
3.43219E-01	1.61874E-01	4.20623E+00	1.04314E+01
-8.94954E-02	-1.75715E-02	4.26085E+00	1.07868E+01
-3.70085E-01	-1.06340E-01	4.32096E+00	1.11639E+01
-2.60110E-01	-2.94913E-04	4.38733E+00	1.15650E+01
1.18222E-01	1.63612E-01	4.46084E+00	1.19925E+01
4.27250E-01	1.42971E-01	4.54253E+00	1.24493E+01
4.23219E-01	-1.24566E-01	4.63369E+00	1.29385E+01
1.36627E-01	-4.08707E-01	4.73586E+00	1.34640E+01
-2.01875E-01	-4.02541E-01	4.85094E+00	1.40301E+01
-3.71786E-01	-5.93812E-02	4.98118E+00	1.46419E+01
-3.09409E-01	3.18569E-01	5.12928E+00	1.53050E+01
-1.05461E-01	3.64913E-01	5.29864E+00	1.60268E+01
8.92667E-02	2.93745E-02	5.49362E+00	1.68153E+01
1.57591E-01	-3.47566E-01	5.71969E+00	1.76806E+01
6.96248E-02	-3.64053E-01	5.98381E+00	1.86344E+01
-1.01960E-01	3.55619E-02	6.29495E+00	1.96911E+01
-2.16396E-01	4.92417E-01	6.66490E+00	2.08683E+01
-1.57321E-01	5.79178E-01	7.10932E+00	2.21876E+01
6.40551E-02	2.13165E-01	7.64934E+00	2.36758E+01
2.92158E-01	-2.74250E-01	8.31409E+00	2.53668E+01
3.44746E-01	-4.67318E-01	9.14458E+00	2.73032E+01
1.77568E-01	-2.53507E-01	1.01998E+01	2.95392E+01
-6.41545E-02	1.06964E-01	1.15668E+01	3.21437E+01
-1.76877E-01	2.65152E-01	1.33774E+01	3.52038E+01
-9.35597E-02	1.11536E-01	1.58378E+01	3.88272E+01
5.57928E-02	-1.66516E-01	1.92817E+01	4.31366E+01
8.56945E-02	-3.08684E-01	2.42671E+01	4.82407E+01
-4.73867E-02	-2.25656E-01	3.17524E+01	5.41245E+01
-2.02520E-01	-3.03476E-02	4.33837E+01	6.02923E+01
-2.12665E-01	1.21743E-01	6.17338E+01	6.46845E+01
-6.89184E-02	1.77882E-01	8.90961E+01	6.10267E+01
7.31724E-02	1.79564E-01	1.19807E+02	3.70210E+01
7.22413E-02	1.60712E-01	1.29860E+02	-9.24018E+00
-3.75267E-02	1.03055E-01	1.07346E+02	-4.78961E+01
-8.65231E-02	-4.38949E-03	7.62452E+01	-6.15311E+01
3.05554E-02	-1.02570E-01	5.28382E+01	-6.05283E+01
2.21651E-01	-1.01683E-01	3.77470E+01	-5.49278E+01
2.87138E-01	1.00052E-02	2.81627E+01	-4.87526E+01
1.39396E-01	1.23583E-01	2.19102E+01	-4.31757E+01
-9.16124E-02	1.03932E-01	1.76808E+01	-3.84122E+01
-1.89536E-01	-6.74439E-02	1.47164E+01	-3.44010E+01
-8.07754E-02	-2.57405E-01	1.25716E+01	-3.10205E+01
8.86369E-02	-3.00416E-01	1.09762E+01	-2.81529E+01
1.13445E-01	-1.53539E-01	9.76066E+00	-2.56993E+01
-4.79345E-02	6.83951E-02	8.81519E+00	-2.35807E+01
-2.30690E-01	2.05057E-01	8.06647E+00	-2.17351E+01
-2.44480E-01	1.89350E-01	7.46423E+00	-2.01135E+01
-7.69470E-02	8.05996E-02	6.97313E+00	-1.86773E+01
1.01172E-01	-1.59877E-02	6.56786E+00	-1.73961E+01
1.27665E-01	-4.21864E-02	6.22986E+00	-1.62453E+01
2.11154E-02	-5.93110E-03	5.94527E+00	-1.52051E+01
-5.41715E-02	5.83125E-02	5.70362E+00	-1.42594E+01
1.64996E-02	1.18018E-01	5.49690E+00	-1.33947E+01
1.65608E-01	1.35684E-01	5.31888E+00	-1.26002E+01
2.20647E-01	7.00629E-02	5.16467E+00	-1.18666E+01
1.01244E-01	-8.11052E-02	5.03039E+00	-1.11861E+01
-8.62742E-02	-2.39531E-01	4.91297E+00	-1.05523E+01
-1.61754E-01	-2.81502E-01	4.80989E+00	-9.95951E+00
-6.57125E-02	-1.48573E-01	4.71903E+00	-9.40303E+00
7.81435E-02	7.18713E-02	4.63865E+00	-8.87867E+00
9.78341E-02	2.01452E-01	4.56735E+00	-8.38276E+00
-4.32860E-02	1.32521E-01	4.50402E+00	-7.91209E+00
-2.10087E-01	-5.92177E-02	4.44774E+00	-7.46392E+00
-2.38095E-01	-1.77417E-01	4.39772E+00	-7.03585E+00
-9.77160E-02	-9.41695E-02	4.35321E+00	-6.62575E+00
8.77514E-02	1.21886E-01	4.31362E+00	-6.23163E+00
1.73656E-01	2.71883E-01	4.27846E+00	-5.85175E+00
1.26943E-01	2.22146E-01	4.24726E+00	-5.48456E+00
3.07579E-02	2.93571E-02	4.21961E+00	-5.12854E+00
-1.91460E-02	-1.28613E-01	4.19531E+00	-4.78229E+00
-1.73234E-03	-1.35566E-01	4.17415E+00	-4.44470E+00
3.95233E-02	-3.98661E-02	4.15584E+00	-4.11465E+00
6.42310E-02	2.12295E-02	4.14025E+00	-3.79105E+00
6.83178E-02	-2.05090E-02	4.12728E+00	-3.47302E+00
5.66581E-02	-1.00192E-01	4.11659E+00	-3.15969E+00
1.39284E-02	-1.10044E-01	4.10808E+00	-2.84993E+00
-7.24759E-02	-3.02758E-02	4.10185E+00	-2.54290E+00
-1.66367E-01	5.11436E-02	4.09778E+00	-2.23789E+00
-1.89382E-01	4.70757E-02	4.09581E+00	-1.93400E+00
-9.71115E-02	-2.29042E-02	4.09600E+00	-1.63042E+00
5.45445E-02	-5.37653E-02	4.09834E+00	-1.32648E+00
1.41859E-01	2.05690E-02	4.10272E+00	-1.02133E+00
9.00578E-02	1.43565E-01	4.10922E+00	-7.14033E-01
-4.39892E-02	1.90524E-01	4.11797E+00	-4.03791E-01
-1.19520E-01	1.02433E-01	4.12904E+00	-8.97643E-02
-5.07298E-02	-4.86747E-02	4.14254E+00	2.28939E-01
1.04790E-01	-1.33570E-01	4.15859E+00	5.53258E-01
2.02308E-01	-9.63807E-02	4.17734E+00	8.84183E-01
1.53470E-01	-1.83788E-03	4.19896E+00	1.22279E+00
8.58189E-03	4.39094E-02	4.22370E+00	1.57021E+00
-1.03344E-01	4.17889E-03	4.25180E+00	1.92770E+00
-1.06140E-01	-6.45595E-02	4.28361E+00	2.29659E+00
-3.95680E-02	-8.88444E-02	4.31947E+00	2.67835E+00
3.09200E-03	-5.71942E-02	4.35984E+00	3.07458E+00
-1.79944E-02	-1.47862E-02	4.40524E+00	3.48706E+00
-5.76614E-02	5.33028E-03	4.45626E+00	3.91776E+00
-5.42357E-02	2.12341E-02	4.51360E+00	4.36888E+00
-7.97493E-03	6.38433E-02	4.57807E+00	4.84294E+00
2.40125E-02	1.16376E-01	4.65066E+00	5.34280E+00
4.91171E-03	1.17914E-01	4.73260E+00	5.87169E+00
-3.06610E-02	3.70849E-02	4.82535E+00	6.43332E+00
-1.63438E-02	-7.20525E-02	4.93069E+00	7.03190E+00
6.09835E-02	-1.10030E-01	5.05072E+00	7.67235E+00
1.33807E-01	-3.64385E-02	5.18805E+00	8.36038E+00
1.21911E-01	7.58662E-02	5.34589E+00	9.10274E+00
2.23115E-02	1.06217E-01	5.52827E+00	9.90739E+00
-8.09454E-02	1.00655E-02	5.74026E+00	1.07838E+01
-1.01048E-01	-1.29547E-01	5.98836E+00	1.17434E+01
-3.57938E-02	-1.81586E-01	6.28097E+00	1.27998E+01
3.55989E-02	-9.68936E-02	6.62904E+00	1.39698E+01
3.92875E-02	4.61780E-02	7.04706E+00	1.52739E+01
-1.97540E-02	1.24541E-01	7.55453E+00	1.67374E+01
-7.36860E-02	9.06420E-02	8.17822E+00	1.83923E+01
-7.08458E-02	6.05638E-03	8.95550E+00	2.02784E+01
-2.56013E-02	-3.65260E-02	9.93982E+00	2.24466E+01
1.15084E-02	-9.55804E-03	1.12094E+01	2.49617E+01
1.84524E-02	3.66953E-02	1.28820E+01	2.79057E+01
2.07924E-02	4.55173E-02	1.51402E+01	3.13809E+01
4.64122E-02	1.79697E-02	1.82769E+01	3.55075E+01
7.82028E-02	-1.68511E-03	2.27777E+01	4.04035E+01
6.90809E-02	8.15644E-03	2.94718E+01	4.61063E+01
4.56016E-03	1.62021E-02	3.97903E+01	5.23098E+01
-6.52526E-02	-1.79464E-02	5.60680E+01	5.75476E+01
-7.12561E-02	-8.15351E-02	8.10226E+01	5.70123E+01
-3.29759E-03	-1.09565E-01	1.12432E+02	3.96248E+01
6.94509E-02	-5.59248E-02	1.30702E+02	-2.55796E+00
6.60464E-02	4.53925E-02	1.15322E+02	-4.65226E+01
-1.98063E-02	1.04537E-01	8.39805E+01	-6.63127E+01
-1.08969E-01	6.64773E-02	5.81043E+01	-6.79185E+01
-1.16142E-01	-2.87905E-02	4.10729E+01	-6.29595E+01
-3.56126E-02	-8.42469E-02	3.02806E+01	-5.67620E+01
5.68632E-02	-4.40174E-02	2.33001E+01	-5.09950E+01
8.44698E-02	5.13890E-02	1.86224E+01	-4.60287E+01
4.31449E-02	1.09317E-01	1.53722E+01	-4.18431E+01
-7.27819E-03	7.87462E-02	1.30380E+01	-3.83229E+01
-1.60341E-02	-4.96723E-03	1.13126E+01	-3.53469E+01
7.90152E-03	-6.50734E-02	1.00048E+01	-3.28107E+01
2.02777E-02	-6.22801E-02	8.99172E+00	-3.06304E+01
3.50009E-03	-2.31106E-02	8.19207E+00	-2.87397E+01
-1.25981E-02	2.85889E-03	7.55040E+00	-2.70867E+01
4.72422E-03	-7.58312E-04	7.02804E+00	-2.56304E+01
3.96946E-02	-1.04990E-02	6.59731E+00	-2.43382E+01
3.87149E-02	-3.71529E-03	6.23809E+00	-2.31844E+01
