jMRUI Data Textfile
 
Filename: NAA.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
6.52674E+00	-1.60802E-02	4.25686E+00	-9.99964E+00
3.64343E+00	-3.20873E+00	4.21055E+00	-9.84006E+00
-1.86531E+00	-3.86835E+00	4.16727E+00	-9.68649E+00
-4.41584E+00	-1.48893E+00	4.12689E+00	-9.53863E+00
-1.89134E+00	1.90584E+00	4.08920E+00	-9.39627E+00
2.51109E+00	3.27588E+00	4.05392E+00	-9.25916E+00
4.20686E+00	1.29382E+00	4.02073E+00	-9.12697E+00
2.08576E+00	-2.18983E+00	3.98953E+00	-8.99924E+00
-9.86628E-01	-3.79720E+00	3.96028E+00	-8.87582E+00
-1.87770E+00	-2.08643E+00	3.93280E+00	-8.75651E+00
-4.38688E-01	8.66240E-01	3.90689E+00	-8.64109E+00
1.05459E+00	1.76415E+00	3.88246E+00	-8.52927E+00
8.80751E-01	-1.60513E-01	3.85947E+00	-8.42088E+00
-4.24283E-01	-2.31893E+00	3.83784E+00	-8.31580E+00
-1.15263E+00	-1.94468E+00	3.81742E+00	-8.21390E+00
-5.05372E-01	4.90007E-01	3.79811E+00	-8.11499E+00
7.08917E-01	1.82317E+00	3.77983E+00	-8.01891E+00
1.11247E+00	1.41937E-01	3.76254E+00	-7.92554E+00
1.38045E-01	-2.69652E+00	3.74614E+00	-7.83476E+00
-1.49911E+00	-3.15299E+00	3.73059E+00	-7.74643E+00
-2.39290E+00	-2.83987E-01	3.71585E+00	-7.66045E+00
-1.58043E+00	2.94970E+00	3.70184E+00	-7.57676E+00
5.08791E-01	2.98807E+00	3.68845E+00	-7.49525E+00
