jMRUI Data Textfile
 
Filename: PE.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
3.62768E+00	1.36023E-03	2.05863E+00	-9.19991E+00
3.21756E+00	-1.51877E+00	2.05369E+00	-9.11724E+00
2.16489E+00	-2.63149E+00	2.04892E+00	-9.03611E+00
7.78483E-01	-3.08537E+00	2.04430E+00	-8.95649E+00
-5.56771E-01	-2.83469E+00	2.03982E+00	-8.87832E+00
-1.50420E+00	-2.04259E+00	2.03547E+00	-8.80155E+00
-1.87844E+00	-1.01585E+00	2.03123E+00	-8.72615E+00
-1.69354E+00	-9.56996E-02	2.02712E+00	-8.65206E+00
-1.14224E+00	4.57069E-01	2.02314E+00	-8.57925E+00
-5.16187E-01	5.43459E-01	2.01929E+00	-8.50770E+00
-9.66343E-02	2.47980E-01	2.01555E+00	-8.43738E+00
-5.43822E-02	-2.04414E-01	2.01191E+00	-8.36825E+00
-3.92978E-01	-5.38763E-01	2.00837E+00	-8.30028E+00
-9.53438E-01	-5.34918E-01	2.00493E+00	-8.23343E+00
-1.47688E+00	-1.09764E-01	2.00159E+00	-8.16767E+00
-1.70162E+00	6.51211E-01	1.99833E+00	-8.10297E+00
-1.46010E+00	1.52286E+00	1.99518E+00	-8.03932E+00
-7.41834E-01	2.21841E+00	1.99210E+00	-7.97669E+00
2.98696E-01	2.48887E+00	1.98910E+00	-7.91504E+00
1.39112E+00	2.20902E+00	1.98619E+00	-7.85435E+00
2.23721E+00	1.42097E+00	1.98336E+00	-7.79461E+00
2.60762E+00	3.21238E-01	1.98060E+00	-7.73579E+00
2.41423E+00	-8.03051E-01	1.97790E+00	-7.67786E+00
1.73465E+00	-1.66625E+00	1.97527E+00	-7.62080E+00
7.82026E-01	-2.07301E+00	1.97271E+00	-7.56459E+00
-1.67969E-01	-1.97449E+00	1.97022E+00	-7.50921E+00
-8.67192E-01	-1.47435E+00	1.96779E+00	-7.45465E+00
-1.17141E+00	-7.84830E-01	1.96542E+00	-7.40088E+00
-1.07820E+00	-1.49500E-01	1.96310E+00	-7.34790E+00
-7.15416E-01	2.39622E-01	1.96083E+00	-7.29566E+00
