jMRUI Data Textfile
 
Filename: Glc.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
6.68735E+00	-7.87732E-03	2.28961E+01	-3.52439E+01
5.97536E+00	-2.64121E+00	1.93984E+01	-3.46069E+01
4.15500E+00	-4.61488E+00	1.66771E+01	-3.36085E+01
1.68881E+00	-5.49979E+00	1.45568E+01	-3.24797E+01
-8.22561E-01	-5.15034E+00	1.28913E+01	-3.13365E+01
-2.79877E+00	-3.72878E+00	1.15676E+01	-3.02359E+01
-3.82580E+00	-1.64786E+00	1.04997E+01	-2.92021E+01
-3.75047E+00	5.49031E-01	9.62462E+00	-2.82397E+01
-2.70115E+00	2.33465E+00	8.89970E+00	-2.73458E+01
-1.03339E+00	3.33050E+00	8.29491E+00	-2.65168E+01
7.80019E-01	3.39072E+00	7.78698E+00	-2.57500E+01
2.28084E+00	2.61805E+00	7.35594E+00	-2.50420E+01
3.14212E+00	1.31302E+00	6.98505E+00	-2.43876E+01
3.23951E+00	-1.24692E-01	6.66213E+00	-2.37800E+01
2.66185E+00	-1.31172E+00	6.37895E+00	-2.32133E+01
1.66377E+00	-1.98066E+00	6.12918E+00	-2.26830E+01
5.78484E-01	-2.03830E+00	5.90744E+00	-2.21855E+01
-2.81353E-01	-1.57056E+00	5.70943E+00	-2.17167E+01
-7.06778E-01	-7.98264E-01	5.53207E+00	-2.12735E+01
-6.38314E-01	-7.83559E-04	5.37317E+00	-2.08529E+01
-1.65878E-01	5.68201E-01	5.23135E+00	-2.04528E+01
5.12293E-01	7.48947E-01	5.10568E+00	-2.00719E+01
1.15621E+00	5.10966E-01	4.99480E+00	-1.97097E+01
1.55532E+00	-5.06842E-02	4.89714E+00	-1.93657E+01
1.58460E+00	-7.52963E-01	4.81129E+00	-1.90397E+01
1.23204E+00	-1.38254E+00	4.73479E+00	-1.87319E+01
5.93290E-01	-1.75611E+00	4.66428E+00	-1.84412E+01
-1.61480E-01	-1.76720E+00	4.59771E+00	-1.81645E+01
-8.37102E-01	-1.40887E+00	4.53467E+00	-1.78993E+01
-1.26477E+00	-7.69040E-01	4.47532E+00	-1.76439E+01
-1.34238E+00	-2.74168E-03	4.42033E+00	-1.73966E+01
-1.05511E+00	7.09409E-01	4.37126E+00	-1.71571E+01
-4.73731E-01	1.20526E+00	4.32850E+00	-1.69272E+01
2.66579E-01	1.37713E+00	4.29024E+00	-1.67078E+01
1.00015E+00	1.19273E+00	4.25448E+00	-1.64982E+01
1.56842E+00	6.98013E-01	4.22033E+00	-1.62970E+01
1.85345E+00	3.25410E-03	4.18760E+00	-1.61030E+01
1.80043E+00	-7.43128E-01	4.15633E+00	-1.59154E+01
1.42625E+00	-1.38673E+00	4.12656E+00	-1.57338E+01
8.13156E-01	-1.79902E+00	4.09829E+00	-1.55577E+01
8.99600E-02	-1.90233E+00	4.07149E+00	-1.53869E+01
-5.95492E-01	-1.68431E+00	4.04609E+00	-1.52211E+01
