jMRUI Data Textfile
 
Filename: Gly.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
2.00000E+00	0.00000E+00	1.04455E+00	-4.24861E+00
1.78164E+00	-8.87832E-01	1.04402E+00	-4.21952E+00
1.19299E+00	-1.58180E+00	1.04350E+00	-4.19089E+00
3.60556E-01	-1.93868E+00	1.04286E+00	-4.16264E+00
-5.39423E-01	-1.88707E+00	1.04229E+00	-4.13458E+00
-1.31823E+00	-1.44158E+00	1.04187E+00	-4.10696E+00
-1.81424E+00	-6.99003E-01	1.04145E+00	-4.07979E+00
-1.92646E+00	1.82688E-01	1.04086E+00	-4.05303E+00
-1.63503E+00	1.01793E+00	1.04026E+00	-4.02637E+00
-1.00464E+00	1.63260E+00	1.03984E+00	-4.00010E+00
-1.70215E-01	1.90033E+00	1.03943E+00	-3.97426E+00
6.91958E-01	1.76841E+00	1.03873E+00	-3.94880E+00
1.40144E+00	1.26816E+00	1.03822E+00	-3.92309E+00
1.81138E+00	5.07580E-01	1.03818E+00	-3.89824E+00
1.83894E+00	-3.51941E-01	1.03751E+00	-3.87389E+00
1.48193E+00	-1.12985E+00	1.03684E+00	-3.84921E+00
8.18568E-01	-1.66434E+00	1.03662E+00	-3.82507E+00
-9.63415E-03	-1.84600E+00	1.03613E+00	-3.80134E+00
-8.28043E-01	-1.64018E+00	1.03561E+00	-3.77773E+00
-1.46574E+00	-1.09352E+00	1.03519E+00	-3.75430E+00
-1.79114E+00	-3.23464E-01	1.03490E+00	-3.73124E+00
-1.73917E+00	5.06970E-01	1.03454E+00	-3.70850E+00
-1.32423E+00	1.22367E+00	1.03418E+00	-3.68600E+00
-6.36447E-01	1.67791E+00	1.03384E+00	-3.66375E+00
1.77895E-01	1.77725E+00	1.03352E+00	-3.64179E+00
9.47422E-01	1.50423E+00	1.03314E+00	-3.62009E+00
1.51173E+00	9.19422E-01	1.03274E+00	-3.59858E+00
1.75483E+00	1.47954E-01	1.03238E+00	-3.57725E+00
1.62891E+00	-6.47197E-01	1.03212E+00	-3.55616E+00
1.16377E+00	-1.29963E+00	1.03194E+00	-3.53542E+00
4.59783E-01	-1.67435E+00	1.03160E+00	-3.51511E+00
-3.33689E-01	-1.69565E+00	1.03106E+00	-3.49483E+00
-1.04999E+00	-1.36238E+00	1.03059E+00	-3.47465E+00
-1.54013E+00	-7.47533E-01	1.03018E+00	-3.45466E+00
-1.70382E+00	1.77847E-02	1.02978E+00	-3.43486E+00
-1.50990E+00	7.72186E-01	1.02943E+00	-3.41524E+00
-1.00227E+00	1.35814E+00	1.02913E+00	-3.39583E+00
-2.89930E-01	1.65478E+00	1.02888E+00	-3.37663E+00
4.76301E-01	1.60282E+00	1.02864E+00	-3.35767E+00
1.13582E+00	1.21638E+00	1.02843E+00	-3.33894E+00
1.55178E+00	5.79370E-01	1.02817E+00	-3.32045E+00
1.63954E+00	-1.72759E-01	1.02791E+00	-3.30213E+00
1.38385E+00	-8.81708E-01	1.02762E+00	-3.28402E+00
8.41346E-01	-1.39976E+00	1.02733E+00	-3.26605E+00
1.28120E-01	-1.62042E+00	1.02699E+00	-3.24829E+00
-6.05211E-01	-1.50037E+00	1.02667E+00	-3.23064E+00
-1.20517E+00	-1.06790E+00	1.02633E+00	-3.21305E+00
-1.54764E+00	-4.16326E-01	1.02622E+00	-3.19571E+00
-1.56348E+00	3.16164E-01	1.02601E+00	-3.17865E+00
-1.25243E+00	9.75690E-01	1.02575E+00	-3.16176E+00
