jMRUI Data Textfile
 
Filename: lactate.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
2.77291E+00	2.09305E-02	1.61660E+00	-3.25604E+00
9.34888E-01	-2.35666E+00	1.60999E+00	-3.22942E+00
-1.68808E+00	-1.17594E+00	1.60407E+00	-3.20082E+00
-1.06932E+00	1.49444E+00	1.60073E+00	-3.17494E+00
1.63249E+00	1.34978E+00	1.59491E+00	-3.15103E+00
2.02961E+00	-1.37994E+00	1.58857E+00	-3.12447E+00
-5.63207E-01	-2.41344E+00	1.58531E+00	-3.09916E+00
-2.15895E+00	-1.98629E-01	1.58097E+00	-3.07590E+00
-4.31139E-01	1.74863E+00	1.57596E+00	-3.05239E+00
1.72175E+00	4.60653E-01	1.57138E+00	-3.02845E+00
8.47058E-01	-1.88662E+00	1.56798E+00	-3.00527E+00
-1.67094E+00	-1.52000E+00	1.56425E+00	-2.98330E+00
-1.90997E+00	1.00758E+00	1.56019E+00	-2.96148E+00
4.13654E-01	1.80468E+00	1.55619E+00	-2.93955E+00
1.61801E+00	-2.10897E-01	1.55306E+00	-2.91798E+00
-9.81871E-02	-1.72648E+00	1.54984E+00	-2.89745E+00
-1.92248E+00	-3.29018E-01	1.54632E+00	-2.87712E+00
-9.54423E-01	1.77347E+00	1.54288E+00	-2.85681E+00
1.28253E+00	1.33393E+00	1.53995E+00	-2.83679E+00
1.35197E+00	-8.58388E-01	1.53704E+00	-2.81749E+00
-7.01229E-01	-1.34226E+00	1.53386E+00	-2.79847E+00
-1.54789E+00	5.53152E-01	1.53067E+00	-2.77931E+00
1.40395E-01	1.77075E+00	1.52809E+00	-2.76029E+00
1.70172E+00	4.05077E-01	1.52572E+00	-2.74198E+00
