jMRUI Data Textfile
 
Filename: ETA.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
2.65147E+00	6.37022E-04	1.49868E+00	-5.76234E+00
2.29570E+00	-1.21948E+00	1.49588E+00	-5.71909E+00
1.40051E+00	-2.07387E+00	1.49315E+00	-5.67651E+00
2.48776E-01	-2.35089E+00	1.49048E+00	-5.63456E+00
-8.18016E-01	-2.02975E+00	1.48787E+00	-5.59324E+00
-1.51574E+00	-1.27454E+00	1.48530E+00	-5.55251E+00
-1.70667E+00	-3.64927E-01	1.48281E+00	-5.51235E+00
-1.43141E+00	4.08285E-01	1.48039E+00	-5.47278E+00
-8.75981E-01	8.43207E-01	1.47802E+00	-5.43376E+00
-2.90008E-01	8.86926E-01	1.47572E+00	-5.39529E+00
1.10773E-01	6.36461E-01	1.47348E+00	-5.35737E+00
2.20891E-01	2.84420E-01	1.47130E+00	-5.31998E+00
7.35028E-02	3.33645E-02	1.46916E+00	-5.28313E+00
-1.86771E-01	1.31289E-02	1.46705E+00	-5.24677E+00
-3.72746E-01	2.32340E-01	1.46497E+00	-5.21089E+00
-3.36571E-01	5.80802E-01	1.46296E+00	-5.17548E+00
-3.23810E-02	8.79357E-01	1.46100E+00	-5.14053E+00
4.63712E-01	9.55912E-01	1.45910E+00	-5.10606E+00
9.82571E-01	7.17389E-01	1.45725E+00	-5.07205E+00
1.32734E+00	1.89949E-01	1.45543E+00	-5.03849E+00
1.34922E+00	-4.86982E-01	1.45364E+00	-5.00538E+00
1.00486E+00	-1.10965E+00	1.45188E+00	-4.97267E+00
3.74370E-01	-1.48255E+00	1.45015E+00	-4.94038E+00
-3.65835E-01	-1.48726E+00	1.44847E+00	-4.90849E+00
-1.00403E+00	-1.12253E+00	1.44681E+00	-4.87700E+00
-1.36499E+00	-5.02168E-01	1.44521E+00	-4.84589E+00
-1.36643E+00	1.87016E-01	1.44366E+00	-4.81517E+00
-1.04078E+00	7.50210E-01	1.44214E+00	-4.78484E+00
-5.16502E-01	1.04857E+00	1.44064E+00	-4.75490E+00
3.20713E-02	1.03958E+00	1.43916E+00	-4.72533E+00
