jMRUI Data Textfile
 
Filename: Lac.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
2.77291E+00	2.09305E-02	1.64428E+00	-3.24968E+00
9.31955E-01	-2.34927E+00	1.63779E+00	-3.22260E+00
-1.67751E+00	-1.16857E+00	1.63174E+00	-3.19578E+00
-1.05929E+00	1.48042E+00	1.62622E+00	-3.16982E+00
1.61210E+00	1.33293E+00	1.62050E+00	-3.14460E+00
1.99797E+00	-1.35843E+00	1.61488E+00	-3.11943E+00
-5.52690E-01	-2.36838E+00	1.60987E+00	-3.09477E+00
-2.11199E+00	-1.94308E-01	1.60496E+00	-3.07088E+00
-4.20439E-01	1.70523E+00	1.59999E+00	-3.04736E+00
1.67375E+00	4.47810E-01	1.59526E+00	-3.02408E+00
8.20860E-01	-1.82827E+00	1.59089E+00	-3.00128E+00
-1.61419E+00	-1.46837E+00	1.58663E+00	-2.97907E+00
-1.83931E+00	9.70301E-01	1.58238E+00	-2.95723E+00
3.97101E-01	1.73246E+00	1.57827E+00	-2.93566E+00
1.54839E+00	-2.01822E-01	1.57443E+00	-2.91447E+00
-9.36675E-02	-1.64701E+00	1.57069E+00	-2.89377E+00
-1.82823E+00	-3.12888E-01	1.56698E+00	-2.87342E+00
-9.04788E-01	1.68124E+00	1.56336E+00	-2.85334E+00
1.21202E+00	1.26059E+00	1.55992E+00	-2.83358E+00
1.27364E+00	-8.08650E-01	1.55658E+00	-2.81420E+00
-6.58525E-01	-1.26052E+00	1.55325E+00	-2.79511E+00
-1.44906E+00	5.17837E-01	1.55002E+00	-2.77620E+00
1.31019E-01	1.65250E+00	1.54701E+00	-2.75755E+00
1.58309E+00	3.76840E-01	1.54417E+00	-2.73927E+00
7.01317E-01	-1.28251E+00	1.54140E+00	-2.72133E+00
-1.03293E+00	-7.98561E-01	1.53872E+00	-2.70368E+00
-9.01864E-01	9.34822E-01	1.53612E+00	-2.68635E+00
7.98618E-01	1.14000E+00	1.53352E+00	-2.66935E+00
1.35523E+00	-4.69164E-01	1.53090E+00	-2.65256E+00
-6.22510E-02	-1.35964E+00	1.52833E+00	-2.63590E+00
-1.20676E+00	-2.17334E-01	1.52591E+00	-2.61945E+00
-3.62585E-01	1.08579E+00	1.52358E+00	-2.60327E+00
1.03906E+00	5.30924E-01	1.52130E+00	-2.58731E+00
7.82253E-01	-9.31499E-01	1.51910E+00	-2.57155E+00
-6.80542E-01	-9.95770E-01	1.51700E+00	-2.55604E+00
-1.05993E+00	3.79631E-01	1.51493E+00	-2.54078E+00
1.53701E-01	1.02402E+00	1.51287E+00	-2.52571E+00
1.00095E+00	7.42972E-03	1.51087E+00	-2.51079E+00
