jMRUI Data Textfile
 
Filename: 2HG.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
3.48545E+00	-2.66156E-01	1.71893E+00	-5.22586E+00
1.83461E+00	-2.68311E+00	1.71530E+00	-5.18705E+00
-9.49576E-01	-2.56528E+00	1.71181E+00	-5.14892E+00
-2.14550E+00	-2.68978E-01	1.70847E+00	-5.11147E+00
-7.60698E-01	1.71483E+00	1.70528E+00	-5.07469E+00
1.55640E+00	1.36770E+00	1.70220E+00	-5.03856E+00
2.32139E+00	-8.60641E-01	1.69924E+00	-5.00306E+00
7.48186E-01	-2.66113E+00	1.69638E+00	-4.96816E+00
-1.59488E+00	-2.28823E+00	1.69362E+00	-4.93384E+00
-2.51807E+00	-2.25228E-01	1.69096E+00	-4.90008E+00
-1.39294E+00	1.49902E+00	1.68842E+00	-4.86686E+00
4.19196E-01	1.42956E+00	1.68597E+00	-4.83419E+00
1.11619E+00	-1.46231E-03	1.68363E+00	-4.80204E+00
2.25540E-01	-1.14770E+00	1.68137E+00	-4.77041E+00
-1.14749E+00	-8.84834E-01	1.67919E+00	-4.73928E+00
-1.60509E+00	4.15988E-01	1.67708E+00	-4.70863E+00
-8.02714E-01	1.48081E+00	1.67505E+00	-4.67845E+00
4.24767E-01	1.45663E+00	1.67309E+00	-4.64871E+00
1.04096E+00	5.90937E-01	1.67121E+00	-4.61941E+00
7.58281E-01	-2.25160E-01	1.66940E+00	-4.59054E+00
1.03069E-01	-3.76352E-01	1.66766E+00	-4.56210E+00
-2.42167E-01	3.24233E-02	1.66599E+00	-4.53408E+00
-4.48094E-02	4.66649E-01	1.66437E+00	-4.50645E+00
4.27094E-01	5.17438E-01	1.66281E+00	-4.47922E+00
7.65480E-01	1.72258E-01	1.66131E+00	-4.45236E+00
7.54081E-01	-3.06227E-01	1.65986E+00	-4.42587E+00
4.39144E-01	-6.36167E-01	1.65846E+00	-4.39975E+00
2.18271E-02	-6.74001E-01	1.65712E+00	-4.37397E+00
-2.72565E-01	-4.49431E-01	1.65584E+00	-4.34855E+00
-3.03822E-01	-1.37762E-01	1.65460E+00	-4.32347E+00
-1.06076E-01	3.03031E-02	1.65340E+00	-4.29872E+00
1.07537E-01	-7.18447E-02	1.65224E+00	-4.27429E+00
9.31775E-02	-3.39306E-01	1.65111E+00	-4.25017E+00
-2.02065E-01	-4.92576E-01	1.65003E+00	-4.22635E+00
-5.58797E-01	-3.21891E-01	1.64899E+00	-4.20283E+00
-6.65670E-01	9.71546E-02	1.64800E+00	-4.17960E+00
-4.15162E-01	4.50123E-01	1.64705E+00	-4.15666E+00
-1.86751E-02	4.73994E-01	1.64613E+00	-4.13401E+00
1.90734E-01	2.09064E-01	1.64525E+00	-4.11163E+00
7.80394E-02	-4.59546E-02	1.64440E+00	-4.08953E+00
-1.74060E-01	-3.19210E-02	1.64358E+00	-4.06770E+00
-2.61152E-01	2.23216E-01	1.64278E+00	-4.04611E+00
-6.07261E-02	4.51259E-01	1.64202E+00	-4.02478E+00
2.62863E-01	4.20649E-01	1.64128E+00	-4.00369E+00
4.39157E-01	1.54006E-01	1.64057E+00	-3.98285E+00
3.55172E-01	-1.19361E-01	1.63989E+00	-3.96224E+00
1.38408E-01	-2.00440E-01	1.63924E+00	-3.94186E+00
3.26352E-03	-9.60744E-02	1.63861E+00	-3.92171E+00
4.10037E-02	2.46994E-02	1.63801E+00	-3.90177E+00
1.60588E-01	1.69276E-02	1.63744E+00	-3.88205E+00
