jMRUI Data Textfile
 
Filename: Ala.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
2.95103E+00	1.28406E-02	1.59072E+00	-3.02474E+00
1.15714E+00	-2.48003E+00	1.58898E+00	-3.00768E+00
-1.60136E+00	-1.60404E+00	1.58727E+00	-2.99081E+00
-1.49716E+00	1.06517E+00	1.58563E+00	-2.97415E+00
9.97598E-01	1.52081E+00	1.58403E+00	-2.95770E+00
1.98731E+00	-8.31276E-01	1.58245E+00	-2.94144E+00
-1.01589E-01	-2.45847E+00	1.58091E+00	-2.92535E+00
-2.33222E+00	-9.36330E-01	1.57945E+00	-2.90947E+00
-1.62169E+00	1.60413E+00	1.57801E+00	-2.89379E+00
8.52297E-01	1.68440E+00	1.57657E+00	-2.87830E+00
1.51195E+00	-5.17616E-01	1.57517E+00	-2.86293E+00
-4.13179E-01	-1.59937E+00	1.57385E+00	-2.84775E+00
-1.92015E+00	4.59522E-02	1.57256E+00	-2.83278E+00
-7.08862E-01	1.99778E+00	1.57125E+00	-2.81798E+00
1.53660E+00	1.43936E+00	1.56999E+00	-2.80330E+00
1.70564E+00	-7.92993E-01	1.56881E+00	-2.78880E+00
-2.49528E-01	-1.55133E+00	1.56760E+00	-2.77452E+00
-1.39230E+00	4.36831E-02	1.56638E+00	-2.76034E+00
-1.31864E-01	1.46952E+00	1.56523E+00	-2.74628E+00
1.57195E+00	5.76642E-01	1.56413E+00	-2.73240E+00
1.17999E+00	-1.34579E+00	1.56301E+00	-2.71869E+00
-7.61460E-01	-1.55966E+00	1.56190E+00	-2.70509E+00
-1.52853E+00	1.51751E-01	1.56084E+00	-2.69159E+00
-1.91450E-01	1.29225E+00	1.55985E+00	-2.67827E+00
1.16030E+00	3.33816E-01	1.55882E+00	-2.66513E+00
5.52360E-01	-1.16557E+00	1.55779E+00	-2.65204E+00
-1.06399E+00	-9.48362E-01	1.55684E+00	-2.63908E+00
-1.31525E+00	6.78821E-01	1.55592E+00	-2.62630E+00
1.36715E-01	1.40083E+00	1.55497E+00	-2.61363E+00
1.20901E+00	2.84346E-01	1.55405E+00	-2.60105E+00
4.76243E-01	-9.70479E-01	1.55319E+00	-2.58860E+00
-8.48762E-01	-5.86821E-01	1.55234E+00	-2.57631E+00
-7.90739E-01	7.63506E-01	1.55148E+00	-2.56413E+00
5.32588E-01	1.05585E+00	1.55063E+00	-2.55204E+00
1.19021E+00	-1.27491E-01	1.54982E+00	-2.54006E+00
2.81408E-01	-1.08546E+00	1.54903E+00	-2.52822E+00
-8.41625E-01	-5.25207E-01	1.54823E+00	-2.51650E+00
-6.16914E-01	6.33795E-01	1.54743E+00	-2.50486E+00
5.07497E-01	6.97123E-01	1.54665E+00	-2.49332E+00
8.36398E-01	-3.56527E-01	1.54589E+00	-2.48189E+00
-8.88330E-02	-9.49386E-01	1.54511E+00	-2.47055E+00
-9.12585E-01	-2.41610E-01	1.54436E+00	-2.45926E+00
-4.94493E-01	7.21495E-01	1.54366E+00	-2.44806E+00
4.92529E-01	6.02784E-01	1.54300E+00	-2.43697E+00
6.30390E-01	-3.23429E-01	1.54237E+00	-2.42601E+00
-1.94904E-01	-6.70429E-01	1.54176E+00	-2.41516E+00
-7.25258E-01	2.55787E-02	1.54114E+00	-2.40443E+00
-2.04635E-01	7.14546E-01	1.54051E+00	-2.39382E+00
5.86705E-01	4.20522E-01	1.53985E+00	-2.38328E+00
5.38579E-01	-3.87011E-01	1.53919E+00	-2.37279E+00
-2.04752E-01	-5.57339E-01	1.53855E+00	-2.36237E+00
-5.42975E-01	7.57519E-02	1.53793E+00	-2.35203E+00
-3.87047E-02	5.39971E-01	1.53733E+00	-2.34177E+00
5.22818E-01	1.81866E-01	1.53675E+00	-2.33158E+00
3.36163E-01	-4.41104E-01	1.53620E+00	-2.32149E+00
-2.91979E-01	-4.41266E-01	1.53565E+00	-2.31150E+00
-4.64274E-01	1.29080E-01	1.53509E+00	-2.30158E+00
3.85177E-03	4.32237E-01	1.53454E+00	-2.29172E+00
3.92656E-01	8.32948E-02	1.53401E+00	-2.28194E+00
1.65946E-01	-3.57781E-01	1.53350E+00	-2.27223E+00
-3.00622E-01	-2.58018E-01	1.53300E+00	-2.26261E+00
-3.32626E-01	2.00376E-01	1.53250E+00	-2.25306E+00
7.60762E-02	3.55176E-01	1.53202E+00	-2.24359E+00
3.24541E-01	3.10742E-02	1.53155E+00	-2.23420E+00
1.00276E-01	-2.72137E-01	1.53107E+00	-2.22489E+00
-2.24676E-01	-1.45451E-01	1.53058E+00	-2.21564E+00
-1.88247E-01	1.78938E-01	1.53010E+00	-2.20645E+00
1.16483E-01	2.27349E-01	1.52963E+00	-2.19732E+00
2.41248E-01	-3.52766E-02	1.52916E+00	-2.18825E+00
4.23309E-02	-2.17195E-01	1.52870E+00	-2.17924E+00
-1.68349E-01	-9.26232E-02	1.52825E+00	-2.17029E+00
-1.14004E-01	1.19542E-01	1.52781E+00	-2.16140E+00
8.17527E-02	1.23050E-01	1.52739E+00	-2.15258E+00
1.31194E-01	-4.65372E-02	1.52697E+00	-2.14382E+00
-4.18556E-03	-1.32139E-01	1.52656E+00	-2.13511E+00
-1.13635E-01	-3.93369E-02	1.52617E+00	-2.12647E+00
-6.73576E-02	7.64531E-02	1.52579E+00	-2.11790E+00
3.64773E-02	7.12610E-02	1.52541E+00	-2.10939E+00
5.91382E-02	-8.71065E-03	1.52503E+00	-2.10095E+00
6.07384E-03	-4.49564E-02	1.52465E+00	-2.09256E+00
-3.32806E-02	-1.67591E-02	1.52427E+00	-2.08422E+00
-2.72738E-02	1.81058E-02	1.52390E+00	-2.07594E+00
-4.82045E-03	3.09586E-02	1.52353E+00	-2.06771E+00
1.97417E-02	2.90699E-02	1.52318E+00	-2.05954E+00
4.28171E-02	4.73541E-03	1.52282E+00	-2.05143E+00
3.18780E-02	-4.06356E-02	1.52245E+00	-2.04337E+00
-2.71067E-02	-5.26214E-02	1.52208E+00	-2.03534E+00
-6.61155E-02	9.27178E-03	1.52172E+00	-2.02736E+00
-1.12917E-02	7.56236E-02	1.52138E+00	-2.01942E+00
8.07264E-02	3.73478E-02	1.52105E+00	-2.01154E+00
6.89690E-02	-7.61460E-02	1.52073E+00	-2.00370E+00
-5.75741E-02	-1.00436E-01	1.52044E+00	-1.99592E+00
-1.24234E-01	2.62593E-02	1.52014E+00	-1.98821E+00
-1.26991E-02	1.36092E-01	1.51982E+00	-1.98055E+00
1.35257E-01	5.45388E-02	1.51950E+00	-1.97292E+00
9.59251E-02	-1.21802E-01	1.51920E+00	-1.96532E+00
-9.57987E-02	-1.33383E-01	1.51892E+00	-1.95779E+00
-1.63054E-01	5.86601E-02	1.51864E+00	-1.95032E+00
1.30700E-02	1.82252E-01	1.51835E+00	-1.94289E+00
1.89310E-01	3.88141E-02	1.51805E+00	-1.93551E+00
9.50692E-02	-1.81261E-01	1.51774E+00	-1.92818E+00
-1.54021E-01	-1.50522E-01	1.51743E+00	-1.92087E+00
-1.95685E-01	1.07323E-01	1.51711E+00	-1.91358E+00
4.84152E-02	2.22356E-01	1.51682E+00	-1.90632E+00
2.30404E-01	1.25550E-02	1.51655E+00	-1.89911E+00
7.16656E-02	-2.25751E-01	1.51629E+00	-1.89194E+00
-2.10063E-01	-1.32562E-01	1.51604E+00	-1.88482E+00
-1.96002E-01	1.75606E-01	1.51579E+00	-1.87775E+00
1.14765E-01	2.50392E-01	1.51554E+00	-1.87071E+00
2.78326E-01	-3.40439E-02	1.51529E+00	-1.86372E+00
4.69278E-02	-2.74102E-01	1.51505E+00	-1.85676E+00
-2.49982E-01	-1.13798E-01	1.51483E+00	-1.84984E+00
-1.71032E-01	2.20271E-01	1.51463E+00	-1.84297E+00
1.81727E-01	2.31133E-01	1.51442E+00	-1.83616E+00
2.90814E-01	-1.17346E-01	1.51419E+00	-1.82941E+00
-2.21175E-02	-3.26007E-01	1.51395E+00	-1.82269E+00
-3.16310E-01	-8.17619E-02	1.51370E+00	-1.81601E+00
-1.63502E-01	2.70143E-01	1.51343E+00	-1.80935E+00
2.16246E-01	2.16193E-01	1.51316E+00	-1.80270E+00
2.60931E-01	-1.68548E-01	1.51290E+00	-1.79607E+00
-1.08940E-01	-3.13868E-01	1.51266E+00	-1.78946E+00
-3.56980E-01	1.36791E-02	1.51243E+00	-1.78290E+00
-1.07629E-01	3.53547E-01	1.51221E+00	-1.77638E+00
2.93054E-01	2.12423E-01	1.51198E+00	-1.76988E+00
2.69807E-01	-2.08311E-01	1.51176E+00	-1.76341E+00
-1.38535E-01	-2.94570E-01	1.51156E+00	-1.75696E+00
-3.24295E-01	8.22172E-02	1.51138E+00	-1.75054E+00
2.01080E-03	3.65017E-01	1.51123E+00	-1.74417E+00
3.76012E-01	1.20303E-01	1.51112E+00	-1.73787E+00
2.48358E-01	-3.18243E-01	1.51099E+00	-1.73167E+00
-2.07731E-01	-3.25254E-01	1.51079E+00	-1.72555E+00
-3.38835E-01	1.02669E-01	1.51049E+00	-1.71943E+00
3.55935E-02	3.34077E-01	1.51016E+00	-1.71325E+00
3.52435E-01	2.40994E-02	1.50986E+00	-1.70702E+00
1.25403E-01	-3.73300E-01	1.50961E+00	-1.70078E+00
-3.35936E-01	-2.62419E-01	1.50944E+00	-1.69454E+00
-3.68483E-01	2.19018E-01	1.50936E+00	-1.68837E+00
7.63683E-02	3.91274E-01	1.50933E+00	-1.68231E+00
3.55856E-01	2.18838E-02	1.50928E+00	-1.67639E+00
7.22009E-02	-3.31999E-01	1.50913E+00	-1.67055E+00
-3.42763E-01	-1.36946E-01	1.50889E+00	-1.66471E+00
-2.56523E-01	3.31562E-01	1.50863E+00	-1.65883E+00
2.34798E-01	3.85363E-01	1.50836E+00	-1.65292E+00
4.38366E-01	-7.06383E-02	1.50813E+00	-1.64699E+00
7.24275E-02	-3.93883E-01	1.50795E+00	-1.64108E+00
-3.21580E-01	-1.38467E-01	1.50781E+00	-1.63521E+00
-1.69317E-01	2.94651E-01	1.50769E+00	-1.62939E+00
2.95499E-01	2.44875E-01	1.50757E+00	-1.62362E+00
3.71281E-01	-2.38160E-01	1.50745E+00	-1.61791E+00
-8.37265E-02	-4.61447E-01	1.50731E+00	-1.61225E+00
-4.38618E-01	-9.82820E-02	1.50714E+00	-1.60660E+00
-2.06112E-01	3.33759E-01	1.50696E+00	-1.60096E+00
2.49488E-01	2.26904E-01	1.50680E+00	-1.59532E+00
2.47543E-01	-2.31637E-01	1.50665E+00	-1.58971E+00
-2.12059E-01	-3.36745E-01	1.50651E+00	-1.58413E+00
-4.47742E-01	9.97847E-02	1.50637E+00	-1.57859E+00
-9.28050E-02	4.69628E-01	1.50624E+00	-1.57307E+00
3.66697E-01	2.52418E-01	1.50610E+00	-1.56761E+00
2.98298E-01	-2.27903E-01	1.50593E+00	-1.56218E+00
-1.58826E-01	-2.78653E-01	1.50572E+00	-1.55675E+00
-3.04117E-01	1.50884E-01	1.50551E+00	-1.55131E+00
9.62862E-02	3.99922E-01	1.50533E+00	-1.54586E+00
4.66360E-01	6.63170E-02	1.50515E+00	-1.54043E+00
2.61213E-01	-4.02617E-01	1.50501E+00	-1.53501E+00
-2.38390E-01	-3.59813E-01	1.50489E+00	-1.52961E+00
-3.36367E-01	1.02919E-01	1.50481E+00	-1.52426E+00
6.67171E-02	2.96277E-01	1.50473E+00	-1.51897E+00
3.37550E-01	-5.70376E-02	1.50462E+00	-1.51373E+00
4.25546E-02	-4.20798E-01	1.50449E+00	-1.50850E+00
-4.16187E-01	-2.33180E-01	1.50436E+00	-1.50329E+00
-3.87171E-01	2.70858E-01	1.50422E+00	-1.49810E+00
8.31541E-02	4.01341E-01	1.50408E+00	-1.49293E+00
3.23394E-01	1.44236E-02	1.50394E+00	-1.48776E+00
1.69527E-02	-2.88454E-01	1.50381E+00	-1.48263E+00
-3.44269E-01	-4.64362E-02	1.50366E+00	-1.47753E+00
-1.87595E-01	3.88443E-01	1.50349E+00	-1.47242E+00
3.00375E-01	3.69237E-01	1.50333E+00	-1.46729E+00
4.45473E-01	-1.00983E-01	1.50323E+00	-1.46218E+00
6.52089E-02	-3.75783E-01	1.50315E+00	-1.45713E+00
-2.74312E-01	-1.05622E-01	1.50305E+00	-1.45214E+00
-8.99254E-02	2.63621E-01	1.50292E+00	-1.44716E+00
3.18462E-01	1.53354E-01	1.50277E+00	-1.44218E+00
3.15430E-01	-2.99961E-01	1.50263E+00	-1.43720E+00
-1.37951E-01	-4.46662E-01	1.50251E+00	-1.43223E+00
-4.27604E-01	-7.13599E-02	1.50240E+00	-1.42728E+00
-1.78927E-01	2.98568E-01	1.50231E+00	-1.42236E+00
2.08223E-01	1.64341E-01	1.50223E+00	-1.41749E+00
1.53941E-01	-2.25630E-01	1.50213E+00	-1.41266E+00
-2.55376E-01	-2.52099E-01	1.50199E+00	-1.40785E+00
-4.01155E-01	1.64689E-01	1.50183E+00	-1.40303E+00
-3.98025E-02	4.49907E-01	1.50167E+00	-1.39818E+00
3.43904E-01	2.11897E-01	1.50155E+00	-1.39332E+00
2.43633E-01	-1.94939E-01	1.50148E+00	-1.38850E+00
-1.40714E-01	-1.94819E-01	1.50141E+00	-1.38375E+00
-2.09469E-01	1.73510E-01	1.50132E+00	-1.37903E+00
1.56181E-01	3.26355E-01	1.50120E+00	-1.37433E+00
4.25833E-01	-4.51763E-03	1.50107E+00	-1.36962E+00
1.97620E-01	-3.80909E-01	1.50095E+00	-1.36491E+00
-2.19416E-01	-2.97404E-01	1.50085E+00	-1.36021E+00
-2.60167E-01	9.06441E-02	1.50076E+00	-1.35553E+00
7.94519E-02	2.06333E-01	1.50069E+00	-1.35088E+00
2.52354E-01	-1.04894E-01	1.50062E+00	-1.34627E+00
-3.14379E-02	-3.59543E-01	1.50053E+00	-1.34169E+00
-3.83272E-01	-1.50673E-01	1.50042E+00	-1.33713E+00
-3.06243E-01	2.58620E-01	1.50029E+00	-1.33256E+00
8.52046E-02	3.21080E-01	1.50017E+00	-1.32800E+00
2.40765E-01	-4.05671E-03	1.50006E+00	-1.32343E+00
-2.44878E-02	-2.06905E-01	1.49997E+00	-1.31888E+00
-2.74047E-01	2.08120E-02	1.49989E+00	-1.31435E+00
-9.93150E-02	3.41116E-01	1.49982E+00	-1.30986E+00
2.83025E-01	2.71115E-01	1.49974E+00	-1.30540E+00
3.50341E-01	-1.12945E-01	1.49964E+00	-1.30095E+00
3.13229E-02	-2.91946E-01	1.49953E+00	-1.29651E+00
-2.01993E-01	-5.74178E-02	1.49942E+00	-1.29207E+00
-2.77564E-02	1.99375E-01	1.49932E+00	-1.28763E+00
2.65361E-01	7.10891E-02	1.49925E+00	-1.28321E+00
2.11953E-01	-2.71628E-01	1.49919E+00	-1.27882E+00
-1.48077E-01	-3.35729E-01	1.49911E+00	-1.27447E+00
-3.31488E-01	-2.45152E-02	1.49902E+00	-1.27015E+00
-1.13416E-01	2.29177E-01	1.49890E+00	-1.26582E+00
1.57833E-01	9.59764E-02	1.49877E+00	-1.26150E+00
7.94488E-02	-1.81362E-01	1.49864E+00	-1.25715E+00
-2.21664E-01	-1.56875E-01	1.49854E+00	-1.25278E+00
-2.84935E-01	1.64133E-01	1.49848E+00	-1.24844E+00
8.05091E-03	3.37825E-01	1.49846E+00	-1.24413E+00
2.65464E-01	1.29332E-01	1.49844E+00	-1.23989E+00
1.57130E-01	-1.54193E-01	1.49839E+00	-1.23570E+00
-1.15733E-01	-1.18681E-01	1.49830E+00	-1.23153E+00
-1.28063E-01	1.48540E-01	1.49818E+00	-1.22735E+00
1.46701E-01	2.20224E-01	1.49804E+00	-1.22315E+00
3.05967E-01	-4.09758E-02	1.49792E+00	-1.21894E+00
1.09543E-01	-2.85873E-01	1.49781E+00	-1.21472E+00
-1.75465E-01	-1.89600E-01	1.49773E+00	-1.21051E+00
-1.68709E-01	8.38477E-02	1.49767E+00	-1.20632E+00
7.66702E-02	1.32136E-01	1.49762E+00	-1.20216E+00
1.66406E-01	-9.90446E-02	1.49758E+00	-1.19804E+00
-5.30456E-02	-2.48089E-01	1.49752E+00	-1.19394E+00
-2.75562E-01	-7.27405E-02	1.49745E+00	-1.18984E+00
-1.86392E-01	1.99372E-01	1.49739E+00	-1.18577E+00
8.42342E-02	2.06399E-01	1.49731E+00	-1.18172E+00
1.59209E-01	-2.70356E-02	1.49722E+00	-1.17767E+00
-3.82342E-02	-1.39110E-01	1.49712E+00	-1.17363E+00
-1.85669E-01	3.65076E-02	1.49703E+00	-1.16958E+00
-4.11556E-02	2.35516E-01	1.49694E+00	-1.16554E+00
2.06160E-01	1.56391E-01	1.49687E+00	-1.16151E+00
2.16848E-01	-1.01881E-01	1.49679E+00	-1.15749E+00
-8.08392E-03	-1.90088E-01	1.49673E+00	-1.15349E+00
-1.39105E-01	-1.48023E-02	1.49666E+00	-1.14951E+00
-1.42555E-03	1.38272E-01	1.49659E+00	-1.14554E+00
1.79702E-01	2.98158E-02	1.49651E+00	-1.14158E+00
