jMRUI Data Textfile
 
Filename: Tau.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
3.87241E+00	-4.82297E-07	2.11554E+00	-6.91113E+00
3.25817E+00	-1.99082E+00	2.11357E+00	-6.87036E+00
1.71547E+00	-3.34540E+00	2.11163E+00	-6.83005E+00
-2.75750E-01	-3.68639E+00	2.10973E+00	-6.79016E+00
-2.11833E+00	-2.94755E+00	2.10786E+00	-6.75071E+00
-3.27935E+00	-1.38325E+00	2.10603E+00	-6.71169E+00
-3.44624E+00	5.18474E-01	2.10422E+00	-6.67309E+00
-2.61113E+00	2.18958E+00	2.10245E+00	-6.63489E+00
-1.06087E+00	3.15371E+00	2.10070E+00	-6.59711E+00
7.20632E-01	3.16330E+00	2.09897E+00	-6.55971E+00
2.20461E+00	2.26234E+00	2.09727E+00	-6.52271E+00
2.97585E+00	7.59334E-01	2.09560E+00	-6.48608E+00
2.84960E+00	-8.77280E-01	2.09396E+00	-6.44983E+00
1.91374E+00	-2.16594E+00	2.09234E+00	-6.41396E+00
4.87537E-01	-2.75471E+00	2.09075E+00	-6.37845E+00
-9.85993E-01	-2.51734E+00	2.08919E+00	-6.34330E+00
-2.07826E+00	-1.57660E+00	2.08764E+00	-6.30850E+00
-2.50024E+00	-2.52135E-01	2.08612E+00	-6.27405E+00
-2.17825E+00	1.04678E+00	2.08463E+00	-6.23994E+00
-1.26052E+00	1.94795E+00	2.08315E+00	-6.20617E+00
-5.74667E-02	2.22289E+00	2.08170E+00	-6.17273E+00
1.06181E+00	1.84319E+00	2.08028E+00	-6.13962E+00
1.78270E+00	9.73126E-01	2.07888E+00	-6.10683E+00
1.93305E+00	-9.44439E-02	2.07750E+00	-6.07436E+00
1.52174E+00	-1.03507E+00	2.07614E+00	-6.04220E+00
7.20044E-01	-1.59095E+00	2.07480E+00	-6.01036E+00
-2.03629E-01	-1.64065E+00	2.07348E+00	-5.97882E+00
-9.71988E-01	-1.22191E+00	2.07218E+00	-5.94757E+00
