jMRUI Data Textfile
 
Filename: Cho.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
8.99590E+00	-6.49680E-08	4.61601E+00	-1.43366E+01
7.34914E+00	-5.11439E+00	4.61497E+00	-1.42603E+01
3.09617E+00	-8.35632E+00	4.61376E+00	-1.41845E+01
-2.22137E+00	-8.58686E+00	4.61254E+00	-1.41094E+01
-6.69653E+00	-5.75203E+00	4.61129E+00	-1.40350E+01
-8.74079E+00	-8.91945E-01	4.61010E+00	-1.39611E+01
-7.64774E+00	4.24065E+00	4.60916E+00	-1.38878E+01
-3.83681E+00	7.81220E+00	4.60844E+00	-1.38154E+01
1.30696E+00	8.56332E+00	4.60761E+00	-1.37439E+01
5.93605E+00	6.25262E+00	4.60654E+00	-1.36731E+01
8.40403E+00	1.73321E+00	4.60550E+00	-1.36028E+01
7.85082E+00	-3.36190E+00	4.60459E+00	-1.35332E+01
4.50225E+00	-7.20970E+00	4.60349E+00	-1.34645E+01
-4.20805E-01	-8.44934E+00	4.60207E+00	-1.33960E+01
-5.14729E+00	-6.66321E+00	4.60112E+00	-1.33277E+01
-7.99300E+00	-2.51705E+00	4.60048E+00	-1.32605E+01
-7.96057E+00	2.48788E+00	4.59956E+00	-1.31940E+01
-5.08874E+00	6.55802E+00	4.59885E+00	-1.31279E+01
-4.28851E-01	8.25031E+00	4.59811E+00	-1.30628E+01
4.33999E+00	6.98358E+00	4.59704E+00	-1.29982E+01
7.51556E+00	3.23766E+00	4.59595E+00	-1.29338E+01
7.98014E+00	-1.62773E+00	4.59506E+00	-1.28699E+01
5.59366E+00	-5.86641E+00	4.59439E+00	-1.28066E+01
1.23444E+00	-7.97229E+00	4.59384E+00	-1.27440E+01
-3.52380E+00	-7.21437E+00	4.59328E+00	-1.26821E+01
-6.97994E+00	-3.89016E+00	4.59253E+00	-1.26209E+01
-7.91345E+00	7.90191E-01	4.59173E+00	-1.25600E+01
-6.01526E+00	5.14425E+00	4.59109E+00	-1.24997E+01
-1.98937E+00	7.62195E+00	4.59037E+00	-1.24403E+01
2.70785E+00	7.35729E+00	4.58909E+00	-1.23813E+01
6.39456E+00	4.47073E+00	4.58765E+00	-1.23221E+01
7.76522E+00	1.68590E-02	4.58683E+00	-1.22631E+01
6.35288E+00	-4.40070E+00	4.58629E+00	-1.22048E+01
2.68790E+00	-7.20639E+00	4.58619E+00	-1.21472E+01
-1.90107E+00	-7.41481E+00	4.58598E+00	-1.20909E+01
-5.76812E+00	-4.97635E+00	4.58470E+00	-1.20352E+01
-7.54084E+00	-7.86070E-01	4.58300E+00	-1.19790E+01
-6.60680E+00	3.64475E+00	4.58195E+00	-1.19226E+01
-3.32504E+00	6.73313E+00	4.58161E+00	-1.18668E+01
1.11155E+00	7.39034E+00	4.58143E+00	-1.18119E+01
5.10921E+00	5.40513E+00	4.58121E+00	-1.17577E+01
7.24628E+00	1.51080E+00	4.58103E+00	-1.17041E+01
6.77815E+00	-2.88516E+00	4.58064E+00	-1.16514E+01
3.89669E+00	-6.21003E+00	4.57959E+00	-1.15991E+01
-3.47103E-01	-7.28794E+00	4.57813E+00	-1.15467E+01
-4.42656E+00	-5.75592E+00	4.57703E+00	-1.14939E+01
-6.88796E+00	-2.18549E+00	4.57655E+00	-1.14417E+01
-6.86891E+00	2.13030E+00	4.57620E+00	-1.13902E+01
-4.39990E+00	5.64495E+00	4.57584E+00	-1.13393E+01
-3.85184E-01	7.11233E+00	4.57544E+00	-1.12890E+01
