jMRUI Data Textfile
 
Filename: PCr.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
7.00000E+00	1.93259E-17	3.64518E+00	-8.59165E+00
5.46289E+00	-9.19716E-01	3.64304E+00	-8.49759E+00
1.86567E+00	-2.18984E+00	3.64096E+00	-8.40489E+00
-1.69515E+00	-3.47813E+00	3.63905E+00	-8.31352E+00
-3.47703E+00	-3.87818E+00	3.63711E+00	-8.22352E+00
-3.13696E+00	-2.77446E+00	3.63519E+00	-8.13471E+00
-1.60275E+00	-6.02834E-01	3.63335E+00	-8.04703E+00
-9.47815E-02	1.30193E+00	3.63174E+00	-7.96057E+00
7.32844E-01	1.72164E+00	3.63013E+00	-7.87552E+00
8.72705E-01	5.44330E-01	3.62824E+00	-7.79159E+00
4.70578E-01	-1.16154E+00	3.62634E+00	-7.70839E+00
-5.14674E-01	-2.04006E+00	3.62476E+00	-7.62620E+00
-2.07789E+00	-1.49070E+00	3.62333E+00	-7.54507E+00
-3.69438E+00	3.45445E-02	3.62198E+00	-7.46520E+00
-4.30563E+00	1.62349E+00	3.62049E+00	-7.38631E+00
-3.02511E+00	2.70690E+00	3.61904E+00	-7.30835E+00
-1.84851E-02	3.29388E+00	3.61734E+00	-7.23136E+00
3.31640E+00	3.53291E+00	3.61578E+00	-7.15473E+00
5.19840E+00	3.21839E+00	3.61465E+00	-7.07918E+00
4.72662E+00	1.89156E+00	3.61350E+00	-7.00464E+00
2.50906E+00	-5.00851E-01	3.61231E+00	-6.93098E+00
1.26042E-01	-3.11116E+00	3.61121E+00	-6.85807E+00
-1.09405E+00	-4.52328E+00	3.61014E+00	-6.78619E+00
-9.41323E-01	-3.79344E+00	3.60884E+00	-6.71507E+00
-1.75449E-01	-1.32187E+00	3.60740E+00	-6.64451E+00
3.49666E-01	1.28119E+00	3.60617E+00	-6.57433E+00
3.96649E-01	2.32163E+00	3.60528E+00	-6.50505E+00
2.79742E-01	1.24193E+00	3.60441E+00	-6.43660E+00
2.44327E-01	-1.05403E+00	3.60341E+00	-6.36897E+00
4.81958E-02	-2.97891E+00	3.60234E+00	-6.30196E+00
-7.70824E-01	-3.42206E+00	3.60126E+00	-6.23542E+00
-2.22759E+00	-2.34020E+00	3.60026E+00	-6.16954E+00
-3.57594E+00	-4.46116E-01	3.59929E+00	-6.10421E+00
-3.77712E+00	1.51135E+00	3.59835E+00	-6.03944E+00
-2.38517E+00	3.13779E+00	3.59753E+00	-5.97521E+00
-2.11300E-02	4.21474E+00	3.59680E+00	-5.91161E+00
2.04692E+00	4.38185E+00	3.59614E+00	-5.84860E+00
2.86869E+00	3.23032E+00	3.59551E+00	-5.78627E+00
2.46398E+00	8.29096E-01	3.59480E+00	-5.72455E+00
1.61262E+00	-1.89784E+00	3.59396E+00	-5.66335E+00
1.04942E+00	-3.51774E+00	3.59302E+00	-5.60253E+00
8.63858E-01	-3.06709E+00	3.59208E+00	-5.54206E+00
6.43154E-01	-8.78136E-01	3.59127E+00	-5.48188E+00
1.23754E-01	1.52449E+00	3.59073E+00	-5.42224E+00
-3.86946E-01	2.47731E+00	3.59019E+00	-5.36326E+00
-2.96962E-01	1.36446E+00	3.58948E+00	-5.30472E+00
5.54842E-01	-1.01374E+00	3.58884E+00	-5.24659E+00
1.51654E+00	-3.13862E+00	3.58806E+00	-5.18888E+00
1.54693E+00	-3.89202E+00	3.58722E+00	-5.13148E+00
1.29224E-01	-3.17263E+00	3.58634E+00	-5.07417E+00
-2.16041E+00	-1.63311E+00	3.58581E+00	-5.01703E+00
-3.98848E+00	3.20827E-02	3.58569E+00	-4.96039E+00
-4.24928E+00	1.51451E+00	3.58576E+00	-4.90449E+00
-2.85771E+00	2.73136E+00	3.58571E+00	-4.84932E+00
-7.02863E-01	3.44196E+00	3.58542E+00	-4.79469E+00
1.11583E+00	3.21252E+00	3.58474E+00	-4.74054E+00
2.04379E+00	1.86051E+00	3.58353E+00	-4.68649E+00
2.20037E+00	-9.61275E-02	3.58199E+00	-4.63207E+00
1.93194E+00	-1.56683E+00	3.58097E+00	-4.57696E+00
1.37255E+00	-1.63905E+00	3.58149E+00	-4.52222E+00
4.86363E-01	-3.40686E-01	3.58220E+00	-4.47001E+00
-5.35439E-01	1.30025E+00	3.58006E+00	-4.41749E+00
-1.08630E+00	2.01918E+00	3.57938E+00	-4.36284E+00
-5.29306E-01	1.27515E+00	3.58035E+00	-4.30971E+00
1.12133E+00	-4.05130E-01	3.58074E+00	-4.25792E+00
2.91616E+00	-1.95331E+00	3.58070E+00	-4.20625E+00
3.50074E+00	-2.63556E+00	3.58052E+00	-4.15515E+00
2.13001E+00	-2.49207E+00	3.57970E+00	-4.10416E+00
-6.72786E-01	-2.02775E+00	3.57863E+00	-4.05289E+00
-3.40800E+00	-1.56690E+00	3.57771E+00	-4.00130E+00
-4.63713E+00	-9.59770E-01	3.57722E+00	-3.94973E+00
-3.92936E+00	8.95698E-02	3.57703E+00	-3.89841E+00
-1.99407E+00	1.47341E+00	3.57707E+00	-3.84745E+00
-1.09800E-03	2.54444E+00	3.57718E+00	-3.79690E+00
1.24833E+00	2.60294E+00	3.57725E+00	-3.74675E+00
1.63199E+00	1.56433E+00	3.57706E+00	-3.69690E+00
1.41156E+00	1.40543E-01	3.57665E+00	-3.64700E+00
8.07988E-01	-6.86670E-01	3.57634E+00	-3.59698E+00
-7.17440E-02	-4.46493E-01	3.57633E+00	-3.54717E+00
-9.70625E-01	4.85947E-01	3.57631E+00	-3.49765E+00
-1.32986E+00	1.28007E+00	3.57626E+00	-3.44844E+00
-5.96862E-01	1.36937E+00	3.57595E+00	-3.39935E+00
1.19583E+00	8.28647E-01	3.57556E+00	-3.35016E+00
3.17021E+00	1.16379E-01	3.57529E+00	-3.30097E+00
4.05487E+00	-4.76263E-01	3.57503E+00	-3.25201E+00
3.09372E+00	-1.06710E+00	3.57459E+00	-3.20291E+00
6.72511E-01	-1.87855E+00	3.57441E+00	-3.15375E+00
-1.90027E+00	-2.75103E+00	3.57433E+00	-3.10470E+00
-3.31202E+00	-3.05763E+00	3.57439E+00	-3.05580E+00
-3.11842E+00	-2.20596E+00	3.57443E+00	-3.00702E+00
-1.88942E+00	-2.88546E-01	3.57453E+00	-2.95839E+00
-6.00168E-01	1.77412E+00	3.57450E+00	-2.90986E+00
1.30086E-01	2.82384E+00	3.57448E+00	-2.86134E+00
3.08299E-01	2.33075E+00	3.57437E+00	-2.81280E+00
2.44009E-01	7.96674E-01	3.57429E+00	-2.76419E+00
8.99980E-02	-6.49562E-01	3.57441E+00	-2.71560E+00
-2.47460E-01	-1.10400E+00	3.57444E+00	-2.66715E+00
-7.90321E-01	-4.67215E-01	3.57442E+00	-2.61872E+00
-1.19760E+00	6.69453E-01	3.57435E+00	-2.57011E+00
-9.17345E-01	1.61000E+00	3.57442E+00	-2.52151E+00
2.87970E-01	2.02287E+00	3.57452E+00	-2.47294E+00
1.95838E+00	1.92918E+00	3.57449E+00	-2.42439E+00
3.14080E+00	1.38437E+00	3.57449E+00	-2.37560E+00
3.08203E+00	3.17094E-01	3.57468E+00	-2.32680E+00
1.82137E+00	-1.25157E+00	3.57488E+00	-2.27815E+00
1.51504E-01	-2.88027E+00	3.57475E+00	-2.22948E+00
-1.02099E+00	-3.74188E+00	3.57457E+00	-2.18023E+00
-1.34245E+00	-3.16010E+00	3.57495E+00	-2.13074E+00
-1.13571E+00	-1.24010E+00	3.57569E+00	-2.08175E+00
-9.37251E-01	1.01545E+00	3.57590E+00	-2.03298E+00
-9.46701E-01	2.31885E+00	3.57602E+00	-1.98399E+00
-9.23839E-01	2.00167E+00	3.57567E+00	-1.93475E+00
-5.84229E-01	4.81288E-01	3.57553E+00	-1.88472E+00
-3.46412E-02	-1.08977E+00	3.57598E+00	-1.83461E+00
2.40222E-01	-1.68284E+00	3.57662E+00	-1.78473E+00
-1.43051E-01	-1.05293E+00	3.57706E+00	-1.73508E+00
-9.99521E-01	2.74964E-01	3.57713E+00	-1.68513E+00
-1.61778E+00	1.55146E+00	3.57722E+00	-1.63480E+00
-1.32432E+00	2.32427E+00	3.57738E+00	-1.58416E+00
-7.20527E-02	2.52315E+00	3.57766E+00	-1.53335E+00
1.48595E+00	2.19464E+00	3.57797E+00	-1.48226E+00
2.50333E+00	1.30426E+00	3.57846E+00	-1.43101E+00
2.56532E+00	-1.30080E-01	3.57893E+00	-1.37963E+00
1.89168E+00	-1.75271E+00	3.57945E+00	-1.32807E+00
1.00261E+00	-2.85037E+00	3.57993E+00	-1.27631E+00
2.34522E-01	-2.77585E+00	3.58038E+00	-1.22435E+00
-4.16908E-01	-1.50655E+00	3.58072E+00	-1.17208E+00
-1.03760E+00	1.95884E-01	3.58106E+00	-1.11954E+00
-1.47799E+00	1.25994E+00	3.58124E+00	-1.06643E+00
-1.38769E+00	1.07605E+00	3.58178E+00	-1.01293E+00
-6.13250E-01	-6.89939E-02	3.58246E+00	-9.59095E-01
4.58999E-01	-1.25842E+00	3.58345E+00	-9.05358E-01
1.04266E+00	-1.66926E+00	3.58384E+00	-8.51530E-01
5.47939E-01	-1.13473E+00	3.58412E+00	-7.96879E-01
-8.65127E-01	-1.12279E-01	3.58456E+00	-7.41681E-01
-2.30057E+00	8.18028E-01	3.58530E+00	-6.86136E-01
-2.75163E+00	1.40793E+00	3.58589E+00	-6.30295E-01
-1.83733E+00	1.75475E+00	3.58672E+00	-5.73878E-01
-4.87014E-02	1.96368E+00	3.58755E+00	-5.17221E-01
1.66230E+00	1.89014E+00	3.58859E+00	-4.60210E-01
2.56275E+00	1.27252E+00	3.58914E+00	-4.02937E-01
2.52124E+00	1.14337E-01	3.59003E+00	-3.44873E-01
1.86495E+00	-1.11963E+00	3.59050E+00	-2.86349E-01
9.74904E-01	-1.76591E+00	3.59135E+00	-2.27427E-01
5.50794E-02	-1.49144E+00	3.59187E+00	-1.67539E-01
-7.65783E-01	-6.00098E-01	3.59272E+00	-1.07212E-01
-1.23969E+00	1.92460E-01	3.59365E+00	-4.60950E-02
-1.05095E+00	3.32790E-01	3.59474E+00	1.52433E-02
-1.43814E-01	-1.57413E-01	3.59560E+00	7.73523E-02
1.01425E+00	-7.83861E-01	3.59650E+00	1.40154E-01
1.59981E+00	-1.06532E+00	3.59751E+00	2.03867E-01
1.01031E+00	-9.25525E-01	3.59873E+00	2.68154E-01
-6.04093E-01	-6.40192E-01	3.59998E+00	3.33216E-01
-2.34387E+00	-4.44960E-01	3.60143E+00	3.98939E-01
-3.15867E+00	-2.44209E-01	3.60295E+00	4.65340E-01
-2.58037E+00	2.63324E-01	3.60448E+00	5.32270E-01
-1.00689E+00	1.16972E+00	3.60570E+00	5.99978E-01
6.59755E-01	2.09951E+00	3.60670E+00	6.68701E-01
1.67518E+00	2.41935E+00	3.60756E+00	7.38847E-01
1.86259E+00	1.76718E+00	3.60908E+00	8.10257E-01
1.51005E+00	4.17964E-01	3.61091E+00	8.82330E-01
9.72855E-01	-8.69537E-01	3.61285E+00	9.55180E-01
4.12176E-01	-1.41316E+00	3.61467E+00	1.02890E+00
-1.29655E-01	-1.09145E+00	3.61643E+00	1.10373E+00
-5.09440E-01	-3.51585E-01	3.61807E+00	1.17969E+00
-4.57192E-01	2.17365E-01	3.61970E+00	1.25698E+00
1.62043E-01	3.29792E-01	3.62131E+00	1.33572E+00
1.06831E+00	9.04771E-02	3.62317E+00	1.41591E+00
1.62355E+00	-2.68609E-01	3.62525E+00	1.49754E+00
1.27540E+00	-6.60014E-01	3.62768E+00	1.58053E+00
3.47313E-02	-1.12470E+00	3.63039E+00	1.66479E+00
-1.45503E+00	-1.58499E+00	3.63324E+00	1.75021E+00
-2.36090E+00	-1.70384E+00	3.63594E+00	1.83694E+00
-2.25995E+00	-1.09284E+00	3.63840E+00	1.92516E+00
-1.39562E+00	2.71336E-01	3.64035E+00	2.01536E+00
-3.99318E-01	1.83503E+00	3.64243E+00	2.10816E+00
2.38636E-01	2.74417E+00	3.64535E+00	2.20316E+00
4.73730E-01	2.44753E+00	3.64902E+00	2.29975E+00
5.63795E-01	1.13504E+00	3.65268E+00	2.39730E+00
6.91836E-01	-3.74368E-01	3.65530E+00	2.49756E+00
7.65164E-01	-1.21745E+00	3.65881E+00	2.60075E+00
5.80413E-01	-1.06745E+00	3.66290E+00	2.70590E+00
1.46460E-01	-2.61913E-01	3.66725E+00	2.81323E+00
-2.09784E-01	5.59895E-01	3.67178E+00	2.92273E+00
-1.05273E-01	9.41251E-01	3.67611E+00	3.03457E+00
5.09842E-01	8.11256E-01	3.68007E+00	3.14938E+00
1.22850E+00	3.30595E-01	3.68413E+00	3.26769E+00
1.48132E+00	-3.54801E-01	3.68875E+00	3.38936E+00
9.99715E-01	-1.16227E+00	3.69385E+00	3.51420E+00
2.95156E-02	-1.91716E+00	3.69913E+00	3.64239E+00
-8.90324E-01	-2.25487E+00	3.70478E+00	3.77444E+00
-1.36528E+00	-1.80141E+00	3.71113E+00	3.91016E+00
-1.39409E+00	-5.33984E-01	3.71778E+00	4.04961E+00
-1.23127E+00	1.03078E+00	3.72464E+00	4.19305E+00
-1.05063E+00	2.08076E+00	3.73165E+00	4.34114E+00
-7.76032E-01	2.05887E+00	3.73913E+00	4.49403E+00
-2.47528E-01	1.08201E+00	3.74708E+00	4.65194E+00
