jMRUI Data Textfile
 
Filename: Pyr.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
3.00000E+00	-7.97973E-17	1.52854E+00	-2.95473E+00
1.75682E+00	-2.40277E+00	1.52842E+00	-2.94347E+00
-8.95634E-01	-2.81416E+00	1.52831E+00	-2.93231E+00
-2.77842E+00	-9.30657E-01	1.52818E+00	-2.92125E+00
-2.37244E+00	1.68030E+00	1.52803E+00	-2.91026E+00
-4.35264E-02	2.88415E+00	1.52788E+00	-2.89934E+00
2.28449E+00	1.72383E+00	1.52772E+00	-2.88846E+00
2.71847E+00	-8.20219E-01	1.52760E+00	-2.87765E+00
9.35023E-01	-2.65762E+00	1.52749E+00	-2.86696E+00
-1.58099E+00	-2.30521E+00	1.52732E+00	-2.85634E+00
-2.77213E+00	-8.36910E-02	1.52713E+00	-2.84574E+00
-1.69041E+00	2.17126E+00	1.52697E+00	-2.83519E+00
7.49101E-01	2.62539E+00	1.52682E+00	-2.82471E+00
2.54142E+00	9.37472E-01	1.52665E+00	-2.81431E+00
2.23912E+00	-1.48650E+00	1.52646E+00	-2.80394E+00
1.20679E-01	-2.66386E+00	1.52631E+00	-2.79362E+00
-2.06289E+00	-1.65662E+00	1.52614E+00	-2.78340E+00
-2.53487E+00	6.82091E-01	1.52591E+00	-2.77323E+00
-9.38151E-01	2.42967E+00	1.52567E+00	-2.76299E+00
1.39659E+00	2.17422E+00	1.52558E+00	-2.75274E+00
2.55924E+00	1.54668E-01	1.52562E+00	-2.74269E+00
1.62258E+00	-1.95918E+00	1.52559E+00	-2.73285E+00
-6.18962E-01	-2.44688E+00	1.52543E+00	-2.72308E+00
-2.32223E+00	-9.37164E-01	1.52517E+00	-2.71332E+00
-2.11051E+00	1.31112E+00	1.52487E+00	-2.70345E+00
-1.85817E-01	2.45816E+00	1.52474E+00	-2.69354E+00
1.85999E+00	1.58834E+00	1.52473E+00	-2.68378E+00
2.36136E+00	-5.59567E-01	1.52469E+00	-2.67423E+00
9.34657E-01	-2.21896E+00	1.52453E+00	-2.66474E+00
-1.22986E+00	-2.04803E+00	1.52433E+00	-2.65524E+00
-2.36053E+00	-2.14315E-01	1.52413E+00	-2.64575E+00
-1.55399E+00	1.76511E+00	1.52395E+00	-2.63628E+00
5.03705E-01	2.27829E+00	1.52378E+00	-2.62684E+00
2.11970E+00	9.30764E-01	1.52366E+00	-2.61742E+00
1.98677E+00	-1.15267E+00	1.52359E+00	-2.60808E+00
2.40279E-01	-2.26627E+00	1.52353E+00	-2.59883E+00
-1.67439E+00	-1.51960E+00	1.52346E+00	-2.58968E+00
-2.19761E+00	4.51189E-01	1.52335E+00	-2.58057E+00
-9.25582E-01	2.02433E+00	1.52322E+00	-2.57150E+00
1.07933E+00	1.92677E+00	1.52310E+00	-2.56248E+00
2.17526E+00	2.63889E-01	1.52294E+00	-2.55349E+00
1.48519E+00	-1.58770E+00	1.52282E+00	-2.54448E+00
-4.01873E-01	-2.11929E+00	1.52276E+00	-2.53554E+00
-1.93274E+00	-9.19186E-01	1.52272E+00	-2.52672E+00
-1.86803E+00	1.00968E+00	1.52262E+00	-2.51797E+00
-2.85234E-01	2.08743E+00	1.52249E+00	-2.50924E+00
1.50483E+00	1.45087E+00	1.52237E+00	-2.50054E+00
2.04328E+00	-3.55597E-01	1.52226E+00	-2.49188E+00
9.11737E-01	-1.84476E+00	1.52212E+00	-2.48326E+00
-9.43581E-01	-1.81054E+00	1.52201E+00	-2.47465E+00
-2.00268E+00	-3.04513E-01	1.52194E+00	-2.46609E+00
-1.41668E+00	1.42566E+00	1.52188E+00	-2.45762E+00
3.12241E-01	1.96953E+00	1.52180E+00	-2.44923E+00
1.76029E+00	9.03299E-01	1.52170E+00	-2.44086E+00
1.75430E+00	-8.80892E-01	1.52159E+00	-2.43258E+00
3.21817E-01	-1.92092E+00	1.52142E+00	-2.42433E+00
-1.35006E+00	-1.38264E+00	1.52118E+00	-2.41607E+00
-1.89800E+00	2.71600E-01	1.52098E+00	-2.40778E+00
-8.93962E-01	1.67920E+00	1.52084E+00	-2.39950E+00
8.21414E-01	1.69934E+00	1.52073E+00	-2.39128E+00
1.84206E+00	3.37266E-01	1.52062E+00	-2.38313E+00
1.34884E+00	-1.27786E+00	1.52050E+00	-2.37500E+00
-2.33567E-01	-1.82864E+00	1.52040E+00	-2.36690E+00
-1.60139E+00	-8.83783E-01	1.52033E+00	-2.35885E+00
-1.64562E+00	7.65056E-01	1.52026E+00	-2.35085E+00
-3.50974E-01	1.76603E+00	1.52020E+00	-2.34289E+00
1.20894E+00	1.31529E+00	1.52017E+00	-2.33499E+00
1.76141E+00	-1.98036E-01	1.52013E+00	-2.32718E+00
8.72870E-01	-1.52673E+00	1.52004E+00	-2.31945E+00
-7.11605E-01	-1.59318E+00	1.51986E+00	-2.31172E+00
-1.69274E+00	-3.63024E-01	1.51966E+00	-2.30392E+00
-1.28203E+00	1.14318E+00	1.51956E+00	-2.29607E+00
1.64800E-01	1.69626E+00	1.51959E+00	-2.28833E+00
1.45509E+00	8.61340E-01	1.51960E+00	-2.28072E+00
1.54198E+00	-6.61026E-01	1.51957E+00	-2.27319E+00
3.73546E-01	-1.62211E+00	1.51951E+00	-2.26571E+00
-1.08041E+00	-1.24912E+00	1.51939E+00	-2.25827E+00
-1.63315E+00	1.33843E-01	1.51924E+00	-2.25084E+00
-8.49172E-01	1.38641E+00	1.51906E+00	-2.24340E+00
6.13143E-01	1.49201E+00	1.51890E+00	-2.23596E+00
1.55404E+00	3.82684E-01	1.51876E+00	-2.22853E+00
1.21655E+00	-1.02058E+00	1.51862E+00	-2.22112E+00
-1.04997E-01	-1.57202E+00	1.51851E+00	-2.21372E+00
-1.32054E+00	-8.36519E-01	1.51844E+00	-2.20636E+00
-1.44330E+00	5.67790E-01	1.51839E+00	-2.19907E+00
-3.90436E-01	1.48848E+00	1.51832E+00	-2.19183E+00
9.63525E-01	1.18436E+00	1.51822E+00	-2.18462E+00
1.51283E+00	-7.81056E-02	1.51815E+00	-2.17737E+00
8.23359E-01	-1.25741E+00	1.51816E+00	-2.17019E+00
-5.24938E-01	-1.39579E+00	1.51814E+00	-2.16313E+00
-1.42533E+00	-3.96938E-01	1.51808E+00	-2.15607E+00
-1.15262E+00	9.09110E-01	1.51805E+00	-2.14904E+00
