jMRUI Data Textfile
 
Filename: GABA.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
1.58517E+00	-5.54456E-01	3.26570E-01	-2.10945E+00
5.50207E-01	-1.44995E+00	3.28117E-01	-2.10144E+00
-6.73534E-01	-1.20427E+00	3.29655E-01	-2.09351E+00
-1.15604E+00	-2.19636E-01	3.31165E-01	-2.08567E+00
-7.37585E-01	6.03232E-01	3.32639E-01	-2.07787E+00
-8.36393E-03	7.19667E-01	3.34095E-01	-2.07011E+00
3.71358E-01	3.17132E-01	3.35550E-01	-2.06239E+00
2.64387E-01	-4.78735E-02	3.37011E-01	-2.05471E+00
2.65786E-02	-6.44431E-02	3.38482E-01	-2.04709E+00
1.58841E-02	1.04904E-01	3.39962E-01	-2.03952E+00
2.18615E-01	1.19665E-01	3.41446E-01	-2.03202E+00
3.38312E-01	-1.25715E-01	3.42925E-01	-2.02460E+00
1.62962E-01	-4.10389E-01	3.44386E-01	-2.01723E+00
-2.12002E-01	-4.46126E-01	3.45826E-01	-2.00992E+00
-4.95938E-01	-1.64917E-01	3.47254E-01	-2.00265E+00
-4.75867E-01	2.41262E-01	3.48683E-01	-1.99542E+00
-1.70874E-01	5.04861E-01	3.50119E-01	-1.98824E+00
2.23055E-01	4.77385E-01	3.51552E-01	-1.98113E+00
4.83420E-01	1.90681E-01	3.52974E-01	-1.97407E+00
4.75562E-01	-1.92872E-01	3.54384E-01	-1.96705E+00
2.03414E-01	-4.64328E-01	3.55785E-01	-1.96009E+00
-1.83993E-01	-4.63325E-01	3.57177E-01	-1.95317E+00
-4.50386E-01	-1.79589E-01	3.58562E-01	-1.94629E+00
-4.15383E-01	2.05072E-01	3.59948E-01	-1.93945E+00
-1.05964E-01	4.18780E-01	3.61342E-01	-1.93266E+00
2.35200E-01	3.12105E-01	3.62738E-01	-1.92593E+00
