jMRUI Data Textfile
 
Filename: GPC.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
9.00000E+00	-5.44360E-17	4.78564E+00	-1.46161E+01
7.36111E+00	-5.00522E+00	4.78276E+00	-1.45367E+01
3.23709E+00	-8.18755E+00	4.77997E+00	-1.44581E+01
-1.90576E+00	-8.49686E+00	4.77727E+00	-1.43803E+01
-6.28413E+00	-5.88973E+00	4.77463E+00	-1.43033E+01
-8.41528E+00	-1.32241E+00	4.77200E+00	-1.42271E+01
-7.61831E+00	3.59844E+00	4.76937E+00	-1.41516E+01
-4.22980E+00	7.17998E+00	4.76678E+00	-1.40768E+01
5.33483E-01	8.22486E+00	4.76422E+00	-1.40027E+01
5.01045E+00	6.43045E+00	4.76174E+00	-1.39293E+01
7.67425E+00	2.47298E+00	4.75934E+00	-1.38565E+01
7.65209E+00	-2.24527E+00	4.75697E+00	-1.37846E+01
5.00998E+00	-6.09201E+00	4.75462E+00	-1.37133E+01
7.09688E-01	-7.76889E+00	4.75228E+00	-1.36427E+01
-3.74010E+00	-6.74886E+00	4.74994E+00	-1.35727E+01
-6.81230E+00	-3.43993E+00	4.74762E+00	-1.35034E+01
-7.48485E+00	9.75071E-01	4.74530E+00	-1.34347E+01
-5.57960E+00	4.96010E+00	4.74304E+00	-1.33665E+01
-1.80512E+00	7.15987E+00	4.74085E+00	-1.32990E+01
2.50545E+00	6.85996E+00	4.73872E+00	-1.32321E+01
5.86428E+00	4.21740E+00	4.73662E+00	-1.31658E+01
7.14184E+00	1.88082E-01	4.73456E+00	-1.31001E+01
5.94592E+00	-3.81800E+00	4.73249E+00	-1.30351E+01
2.73985E+00	-6.42948E+00	4.73043E+00	-1.29705E+01
-1.33474E+00	-6.78241E+00	4.72841E+00	-1.29066E+01
-4.86362E+00	-4.80504E+00	4.72646E+00	-1.28431E+01
-6.65022E+00	-1.22522E+00	4.72457E+00	-1.27803E+01
-6.12061E+00	2.69631E+00	4.72272E+00	-1.27180E+01
-3.50654E+00	5.60921E+00	4.72088E+00	-1.26563E+01
2.51433E-01	6.53789E+00	4.71904E+00	-1.25952E+01
3.84160E+00	5.20751E+00	4.71719E+00	-1.25346E+01
6.03813E+00	2.12278E+00	4.71533E+00	-1.24745E+01
6.11914E+00	-1.62184E+00	4.71343E+00	-1.24149E+01
4.10292E+00	-4.72954E+00	4.71150E+00	-1.23558E+01
7.25476E-01	-6.15008E+00	4.70964E+00	-1.22970E+01
-2.82687E+00	-5.43364E+00	4.70788E+00	-1.22388E+01
-5.33392E+00	-2.87209E+00	4.70621E+00	-1.21810E+01
-5.95989E+00	6.17337E-01	4.70457E+00	-1.21239E+01
-4.53131E+00	3.81940E+00	4.70285E+00	-1.20672E+01
-1.58202E+00	5.64392E+00	4.70106E+00	-1.20110E+01
1.84481E+00	5.49600E+00	4.69929E+00	-1.19550E+01
4.56542E+00	3.46919E+00	4.69765E+00	-1.18995E+01
5.66339E+00	2.98500E-01	4.69614E+00	-1.18444E+01
4.79808E+00	-2.90550E+00	4.69470E+00	-1.17899E+01
2.30854E+00	-5.04478E+00	4.69329E+00	-1.17359E+01
-9.17464E-01	-5.40999E+00	4.69183E+00	-1.16824E+01
-3.75905E+00	-3.91463E+00	4.69028E+00	-1.16294E+01
-5.25159E+00	-1.11127E+00	4.68865E+00	-1.15767E+01
-4.91328E+00	2.01172E+00	4.68702E+00	-1.15243E+01
-2.89982E+00	4.37782E+00	4.68547E+00	-1.14723E+01
6.29293E-02	5.19332E+00	4.68402E+00	-1.14207E+01
2.93963E+00	4.21264E+00	4.68262E+00	-1.13695E+01
4.74714E+00	1.81066E+00	4.68124E+00	-1.13187E+01
4.88967E+00	-1.15908E+00	4.67983E+00	-1.12684E+01
3.35464E+00	-3.66735E+00	4.67838E+00	-1.12184E+01
7.04251E-01	-4.86516E+00	4.67692E+00	-1.11688E+01
-2.12971E+00	-4.37086E+00	4.67551E+00	-1.11194E+01
-4.17267E+00	-2.39055E+00	4.67419E+00	-1.10704E+01
-4.74230E+00	3.65298E-01	4.67299E+00	-1.10218E+01
-3.67556E+00	2.93617E+00	4.67190E+00	-1.09736E+01
-1.37337E+00	4.44559E+00	4.67084E+00	-1.09259E+01
1.34910E+00	4.39983E+00	4.66973E+00	-1.08786E+01
3.55031E+00	2.84836E+00	4.66852E+00	-1.08318E+01
4.48788E+00	3.55194E-01	4.66718E+00	-1.07853E+01
3.86817E+00	-2.20538E+00	4.66578E+00	-1.07390E+01
1.93737E+00	-3.95497E+00	4.66440E+00	-1.06929E+01
-6.14955E-01	-4.31221E+00	4.66311E+00	-1.06471E+01
-2.90117E+00	-3.18494E+00	4.66193E+00	-1.06017E+01
-4.14413E+00	-9.91496E-01	4.66078E+00	-1.05567E+01
-3.94093E+00	1.49367E+00	4.65958E+00	-1.05120E+01
-2.39258E+00	3.41338E+00	4.65831E+00	-1.04676E+01
