jMRUI Data Textfile
 
Filename: Glu.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
2.70711E+00	-2.47222E-01	1.24855E+00	-3.61462E+00
1.47123E+00	-2.09375E+00	1.24774E+00	-3.59500E+00
-6.33097E-01	-2.16511E+00	1.24696E+00	-3.57561E+00
-1.77808E+00	-5.99153E-01	1.24622E+00	-3.55646E+00
-1.12069E+00	1.04168E+00	1.24550E+00	-3.53753E+00
5.00366E-01	1.26524E+00	1.24481E+00	-3.51882E+00
1.43759E+00	-5.00895E-03	1.24415E+00	-3.50032E+00
7.88497E-01	-1.45681E+00	1.24351E+00	-3.48203E+00
-8.31367E-01	-1.67617E+00	1.24289E+00	-3.46395E+00
-1.94506E+00	-4.35950E-01	1.24231E+00	-3.44607E+00
-1.59758E+00	1.18157E+00	1.24175E+00	-3.42838E+00
-1.59199E-01	1.84260E+00	1.24122E+00	-3.41090E+00
1.11884E+00	1.14605E+00	1.24070E+00	-3.39361E+00
1.27721E+00	-1.33300E-01	1.24019E+00	-3.37650E+00
4.32302E-01	-8.56146E-01	1.23971E+00	-3.35956E+00
-4.74334E-01	-5.44962E-01	1.23926E+00	-3.34280E+00
-6.09098E-01	3.03742E-01	1.23883E+00	-3.32622E+00
4.81241E-02	7.97407E-01	1.23842E+00	-3.30981E+00
8.09215E-01	4.82451E-01	1.23803E+00	-3.29358E+00
9.78608E-01	-3.29453E-01	1.23766E+00	-3.27751E+00
4.46845E-01	-9.43998E-01	1.23731E+00	-3.26161E+00
-3.14680E-01	-9.25222E-01	1.23697E+00	-3.24588E+00
-7.42970E-01	-4.01094E-01	1.23665E+00	-3.23030E+00
-6.47261E-01	1.57074E-01	1.23633E+00	-3.21486E+00
-2.65648E-01	3.82534E-01	1.23605E+00	-3.19958E+00
3.50104E-02	2.63588E-01	1.23578E+00	-3.18445E+00
7.62417E-02	4.32397E-02	1.23552E+00	-3.16947E+00
-6.04938E-02	-4.88935E-02	1.23528E+00	-3.15464E+00
-1.86799E-01	3.72132E-02	1.23505E+00	-3.13995E+00
-1.82697E-01	2.03453E-01	1.23482E+00	-3.12540E+00
-4.80355E-02	3.27436E-01	1.23461E+00	-3.11099E+00
1.49693E-01	3.39832E-01	1.23441E+00	-3.09670E+00
3.30775E-01	2.25895E-01	1.23424E+00	-3.08254E+00
4.18925E-01	1.17408E-02	1.23408E+00	-3.06852E+00
3.55905E-01	-2.27984E-01	1.23393E+00	-3.05463E+00
1.46811E-01	-3.77739E-01	1.23379E+00	-3.04088E+00
-1.06057E-01	-3.46636E-01	1.23365E+00	-3.02724E+00
-2.49359E-01	-1.55489E-01	1.23353E+00	-3.01373E+00
-1.98105E-01	5.06489E-02	1.23341E+00	-3.00033E+00
-2.33989E-02	1.09264E-01	1.23330E+00	-2.98705E+00
9.37185E-02	-1.36134E-02	1.23321E+00	-2.97388E+00
2.18440E-02	-1.80061E-01	1.23314E+00	-2.96083E+00
-1.91162E-01	-1.98220E-01	1.23308E+00	-2.94790E+00
-3.49769E-01	-2.83845E-03	1.23301E+00	-2.93509E+00
-2.86052E-01	2.72329E-01	1.23295E+00	-2.92239E+00
-1.86900E-02	4.06406E-01	1.23290E+00	-2.90979E+00
2.55896E-01	2.88585E-01	1.23285E+00	-2.89729E+00
3.35371E-01	1.77300E-02	1.23281E+00	-2.88489E+00
1.87436E-01	-1.87914E-01	1.23279E+00	-2.87258E+00
-3.11261E-02	-1.84819E-01	1.23278E+00	-2.86039E+00
-1.24066E-01	-2.23336E-02	1.23279E+00	-2.84830E+00
-3.02846E-02	1.17864E-01	1.23279E+00	-2.83632E+00
1.35139E-01	9.49945E-02	1.23281E+00	-2.82443E+00
2.00165E-01	-6.88769E-02	1.23283E+00	-2.81265E+00
9.48294E-02	-2.22954E-01	1.23284E+00	-2.80096E+00
-9.56170E-02	-2.32686E-01	1.23286E+00	-2.78936E+00
-2.19742E-01	-9.53322E-02	1.23289E+00	-2.77785E+00
-1.96230E-01	7.27080E-02	1.23292E+00	-2.76642E+00
