jMRUI Data Textfile
 
Filename: NAAG.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
1.00000E+00	0.00000E+00	5.15201E-01	-8.46643E-01
4.75511E-01	-8.61952E-01	5.15127E-01	-8.43686E-01
-5.16852E-01	-8.19735E-01	5.15054E-01	-8.40747E-01
-9.52341E-01	5.57086E-02	5.14980E-01	-8.37824E-01
-4.04830E-01	8.47363E-01	5.14906E-01	-8.34915E-01
5.37885E-01	7.51875E-01	5.14831E-01	-8.32022E-01
9.03850E-01	-1.06107E-01	5.14757E-01	-8.29142E-01
3.38331E-01	-8.29531E-01	5.14684E-01	-8.26277E-01
-5.54137E-01	-6.86076E-01	5.14612E-01	-8.23426E-01
-8.54863E-01	1.51401E-01	5.14541E-01	-8.20592E-01
-2.75996E-01	8.08844E-01	5.14469E-01	-8.17774E-01
5.65947E-01	6.22509E-01	5.14397E-01	-8.14971E-01
8.05687E-01	-1.91810E-01	5.14321E-01	-8.12183E-01
2.17781E-01	-7.85671E-01	5.14243E-01	-8.09408E-01
-5.73654E-01	-5.61312E-01	5.14162E-01	-8.06644E-01
-7.56604E-01	2.27551E-01	5.14081E-01	-8.03890E-01
-1.63632E-01	7.60360E-01	5.14002E-01	-8.01144E-01
5.77586E-01	5.02602E-01	5.13925E-01	-7.98410E-01
7.07869E-01	-2.58854E-01	5.13852E-01	-7.95688E-01
1.13479E-01	-7.33237E-01	5.13782E-01	-7.92979E-01
-5.78055E-01	-4.46475E-01	5.13714E-01	-7.90282E-01
-6.59712E-01	2.85953E-01	5.13648E-01	-7.87600E-01
-6.72219E-02	7.04614E-01	5.13586E-01	-7.84931E-01
5.75379E-01	3.92993E-01	5.13525E-01	-7.82277E-01
6.12340E-01	-3.09077E-01	5.13465E-01	-7.79638E-01
2.47638E-02	-6.74778E-01	5.13405E-01	-7.77014E-01
-5.69851E-01	-3.42209E-01	5.13343E-01	-7.74404E-01
-5.65938E-01	3.28461E-01	5.13280E-01	-7.71805E-01
1.40085E-02	6.43998E-01	5.13216E-01	-7.69217E-01
5.61755E-01	2.94157E-01	5.13154E-01	-7.66638E-01
5.20670E-01	-3.44331E-01	5.13096E-01	-7.64071E-01
-4.92135E-02	-6.12526E-01	5.13041E-01	-7.61519E-01
-5.51372E-01	-2.48838E-01	5.12987E-01	-7.58984E-01
-4.76673E-01	3.56928E-01	5.12930E-01	-7.56464E-01
8.09967E-02	5.80591E-01	5.12870E-01	-7.53957E-01
5.38955E-01	2.06266E-01	5.12806E-01	-7.51460E-01
4.34073E-01	-3.66469E-01	5.12739E-01	-7.48973E-01
-1.09477E-01	-5.48409E-01	5.12671E-01	-7.46493E-01
-5.24759E-01	-1.66414E-01	5.12603E-01	-7.44021E-01
-3.92967E-01	3.73189E-01	5.12538E-01	-7.41557E-01
1.34808E-01	5.16175E-01	5.12475E-01	-7.39101E-01
5.09022E-01	1.29245E-01	5.12416E-01	-7.36656E-01
3.53451E-01	-3.77293E-01	5.12359E-01	-7.34222E-01
-1.57143E-01	-4.84063E-01	5.12305E-01	-7.31800E-01
-4.91962E-01	-9.47310E-02	5.12253E-01	-7.29389E-01
-3.15583E-01	3.79005E-01	5.12202E-01	-7.26990E-01
1.76618E-01	4.52240E-01	5.12154E-01	-7.24603E-01
4.73793E-01	6.28125E-02	5.12107E-01	-7.22228E-01
2.79432E-01	-3.78521E-01	5.12061E-01	-7.19867E-01
-1.93391E-01	-4.20849E-01	5.12014E-01	-7.17518E-01
-4.54712E-01	-3.34202E-02	5.11966E-01	-7.15182E-01
-2.45030E-01	3.76046E-01	5.11916E-01	-7.12857E-01
2.07623E-01	3.90016E-01	5.11863E-01	-7.10541E-01
4.34902E-01	6.49865E-03	5.11809E-01	-7.08234E-01
2.12399E-01	-3.71777E-01	5.11755E-01	-7.05935E-01
-2.19453E-01	-3.59863E-01	5.11702E-01	-7.03645E-01
-4.14537E-01	1.80429E-02	5.11649E-01	-7.01363E-01
-1.81567E-01	3.65890E-01	5.11597E-01	-6.99090E-01
2.29040E-01	3.30489E-01	5.11548E-01	-6.96827E-01
3.93776E-01	-4.02740E-02	5.11499E-01	-6.94573E-01
1.52533E-01	-3.58566E-01	5.11451E-01	-6.92330E-01
-2.36538E-01	-3.01976E-01	5.11404E-01	-6.90095E-01
-3.72766E-01	6.02891E-02	5.11359E-01	-6.87870E-01
-1.25285E-01	3.49976E-01	5.11315E-01	-6.85656E-01
2.42090E-01	2.74405E-01	5.11271E-01	-6.83453E-01
3.51642E-01	-7.81799E-02	5.11227E-01	-6.81262E-01
9.98193E-02	-3.40275E-01	5.11182E-01	-6.79080E-01
-2.45838E-01	-2.47842E-01	5.11134E-01	-6.76907E-01
-3.30526E-01	9.40519E-02	5.11086E-01	-6.74742E-01
-7.61078E-02	3.29618E-01	5.11037E-01	-6.72585E-01
2.47927E-01	2.22336E-01	5.10989E-01	-6.70436E-01
3.09534E-01	-1.07981E-01	5.10941E-01	-6.68295E-01
5.41199E-02	-3.18149E-01	5.10893E-01	-6.66162E-01
-2.48496E-01	-1.97930E-01	5.10845E-01	-6.64035E-01
-2.88768E-01	1.20077E-01	5.10799E-01	-6.61917E-01
-3.38092E-02	3.06002E-01	5.10755E-01	-6.59806E-01
2.47678E-01	1.74655E-01	5.10713E-01	-6.57703E-01
2.68317E-01	-1.30439E-01	5.10673E-01	-6.55609E-01
1.51527E-02	-2.93302E-01	5.10634E-01	-6.53526E-01
-2.45608E-01	-1.52527E-01	5.10596E-01	-6.51453E-01
-2.48263E-01	1.39169E-01	5.10557E-01	-6.49390E-01
1.90722E-03	2.80167E-01	5.10518E-01	-6.47334E-01
2.42399E-01	1.31577E-01	5.10479E-01	-6.45287E-01
2.28679E-01	-1.46365E-01	5.10441E-01	-6.43250E-01
-1.74225E-02	-2.66709E-01	5.10401E-01	-6.41222E-01
-2.38176E-01	-1.11804E-01	5.10359E-01	-6.39202E-01
-2.09623E-01	1.52134E-01	5.10317E-01	-6.37188E-01
3.14486E-02	2.53027E-01	5.10275E-01	-6.35181E-01
2.33052E-01	9.32080E-02	5.10232E-01	-6.33182E-01
1.91159E-01	-1.56560E-01	5.10189E-01	-6.31188E-01
-4.40517E-02	-2.39215E-01	5.10149E-01	-6.29200E-01
-2.27138E-01	-7.57842E-02	5.10110E-01	-6.27221E-01
-1.73327E-01	1.59747E-01	5.10071E-01	-6.25249E-01
5.52773E-02	2.25361E-01	5.10033E-01	-6.23284E-01
2.20534E-01	5.95202E-02	5.09999E-01	-6.21327E-01
1.56168E-01	-1.61789E-01	5.09964E-01	-6.19381E-01
-6.51961E-02	-2.11541E-01	5.09928E-01	-6.17442E-01
-2.13340E-01	-4.43925E-02	5.09893E-01	-6.15510E-01
-1.39714E-01	1.62777E-01	5.09859E-01	-6.13587E-01
7.38724E-02	1.97828E-01	5.09824E-01	-6.11673E-01
2.05646E-01	3.03931E-02	5.09787E-01	-6.09766E-01
1.23983E-01	-1.62806E-01	5.09749E-01	-6.07866E-01
-8.13714E-02	-1.84285E-01	5.09711E-01	-6.05973E-01
-1.97538E-01	-1.74895E-02	5.09671E-01	-6.04086E-01
-1.09005E-01	1.61953E-01	5.09631E-01	-6.02205E-01
8.77586E-02	1.70970E-01	5.09591E-01	-6.00328E-01
1.89098E-01	5.65255E-03	5.09553E-01	-5.98458E-01
9.47889E-02	-1.60306E-01	5.09514E-01	-5.96594E-01
-9.31046E-02	-1.57930E-01	5.09476E-01	-5.94734E-01
-1.80401E-01	5.15015E-03	5.09441E-01	-5.92880E-01
-8.13419E-02	1.57946E-01	5.09408E-01	-5.91034E-01
9.74646E-02	1.45217E-01	5.09377E-01	-5.89196E-01
1.71516E-01	-1.49589E-02	5.09346E-01	-5.87364E-01
6.86672E-02	-1.54950E-01	5.09318E-01	-5.85540E-01
-1.00909E-01	-1.32867E-01	5.09292E-01	-5.83725E-01
-1.62508E-01	2.37999E-02	5.09265E-01	-5.81920E-01
-5.67635E-02	1.51390E-01	5.09236E-01	-5.80125E-01
1.03501E-01	1.20914E-01	5.09203E-01	-5.78338E-01
1.53438E-01	-3.17179E-02	5.09165E-01	-5.76557E-01
4.56207E-02	-1.47338E-01	5.09124E-01	-5.74777E-01
-1.05303E-01	-1.09386E-01	5.09081E-01	-5.72999E-01
-1.44358E-01	3.87532E-02	5.09042E-01	-5.71222E-01
-3.52393E-02	1.42858E-01	5.09007E-01	-5.69448E-01
1.06381E-01	9.83041E-02	5.08977E-01	-5.67680E-01
1.35320E-01	-4.49474E-02	5.08951E-01	-5.65921E-01
2.56022E-02	-1.38012E-01	5.08927E-01	-5.64172E-01
-1.06787E-01	-8.76933E-02	5.08903E-01	-5.62431E-01
-1.26365E-01	5.03470E-02	5.08878E-01	-5.60699E-01
-1.66902E-02	1.32861E-01	5.08852E-01	-5.58973E-01
1.06580E-01	7.75690E-02	5.08826E-01	-5.57255E-01
1.17540E-01	-5.49827E-02	5.08798E-01	-5.55543E-01
8.49801E-03	-1.27459E-01	5.08769E-01	-5.53839E-01
-1.05823E-01	-6.79321E-02	5.08738E-01	-5.52139E-01
-1.08874E-01	5.89131E-02	5.08706E-01	-5.50445E-01
-9.89344E-04	1.21858E-01	5.08673E-01	-5.48755E-01
1.04566E-01	5.87966E-02	5.08639E-01	-5.47069E-01
1.00401E-01	-6.21731E-02	5.08604E-01	-5.45387E-01
-5.84201E-03	-1.16106E-01	5.08571E-01	-5.43709E-01
-1.02856E-01	-5.01730E-02	5.08539E-01	-5.42034E-01
-9.21553E-02	6.47998E-02	5.08509E-01	-5.40365E-01
1.20345E-02	1.10246E-01	5.08482E-01	-5.38701E-01
