jMRUI Data Textfile
 
Filename: PCho.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
9.00000E+00	-1.75072E-16	4.90589E+00	-1.45692E+01
7.31850E+00	-4.99344E+00	4.90188E+00	-1.44903E+01
3.18067E+00	-8.12100E+00	4.89795E+00	-1.44122E+01
-1.91933E+00	-8.36844E+00	4.89408E+00	-1.43349E+01
-6.20377E+00	-5.74004E+00	4.89028E+00	-1.42584E+01
-8.22942E+00	-1.22560E+00	4.88652E+00	-1.41826E+01
-7.37189E+00	3.56929E+00	4.88282E+00	-1.41075E+01
-4.01423E+00	6.99255E+00	4.87917E+00	-1.40332E+01
6.15414E-01	7.91331E+00	4.87559E+00	-1.39595E+01
4.89093E+00	6.09340E+00	4.87206E+00	-1.38866E+01
7.35792E+00	2.24133E+00	4.86860E+00	-1.38143E+01
7.22677E+00	-2.25980E+00	4.86518E+00	-1.37428E+01
4.62277E+00	-5.84720E+00	4.86181E+00	-1.36719E+01
5.14895E-01	-7.31958E+00	4.85847E+00	-1.36016E+01
-3.64241E+00	-6.23771E+00	4.85517E+00	-1.35321E+01
-6.42272E+00	-3.05142E+00	4.85190E+00	-1.34631E+01
-6.91575E+00	1.08221E+00	4.84868E+00	-1.33948E+01
-5.02321E+00	4.71706E+00	4.84552E+00	-1.33270E+01
-1.46760E+00	6.62276E+00	4.84242E+00	-1.32599E+01
2.48108E+00	6.19967E+00	4.83937E+00	-1.31934E+01
5.45728E+00	3.66479E+00	4.83636E+00	-1.31275E+01
6.47100E+00	-4.77612E-02	4.83339E+00	-1.30622E+01
5.23550E+00	-3.62912E+00	4.83046E+00	-1.29974E+01
2.24380E+00	-5.85587E+00	4.82757E+00	-1.29332E+01
-1.42442E+00	-6.00672E+00	4.82473E+00	-1.28696E+01
-4.49098E+00	-4.09416E+00	4.82194E+00	-1.28066E+01
-5.92346E+00	-8.37514E-01	4.81919E+00	-1.27441E+01
-5.28143E+00	2.60546E+00	4.81648E+00	-1.26822E+01
-2.84911E+00	5.04895E+00	4.81380E+00	-1.26208E+01
4.84457E-01	5.68640E+00	4.81113E+00	-1.25599E+01
3.54891E+00	4.35520E+00	4.80848E+00	-1.24996E+01
5.30224E+00	1.57247E+00	4.80584E+00	-1.24398E+01
5.18404E+00	-1.66318E+00	4.80322E+00	-1.23805E+01
3.29274E+00	-4.22867E+00	4.80064E+00	-1.23216E+01
3.31329E-01	-5.26551E+00	4.79810E+00	-1.22632E+01
-2.65199E+00	-4.46558E+00	4.79561E+00	-1.22053E+01
-4.63412E+00	-2.15990E+00	4.79316E+00	-1.21479E+01
-4.96668E+00	8.14812E-01	4.79074E+00	-1.20910E+01
-3.58668E+00	3.41820E+00	4.78832E+00	-1.20345E+01
-1.02002E+00	4.76956E+00	4.78592E+00	-1.19785E+01
1.81680E+00	4.44439E+00	4.78358E+00	-1.19229E+01
3.94325E+00	2.60599E+00	4.78130E+00	-1.18677E+01
4.65239E+00	-6.86806E-02	4.77907E+00	-1.18130E+01
3.74504E+00	-2.63715E+00	4.77689E+00	-1.17588E+01
1.58221E+00	-4.22228E+00	4.77472E+00	-1.17051E+01
-1.05606E+00	-4.31126E+00	4.77255E+00	-1.16518E+01
-3.25074E+00	-2.91986E+00	4.77036E+00	-1.15989E+01
-4.26341E+00	-5.70768E-01	4.76818E+00	-1.15464E+01
-3.78352E+00	1.90135E+00	4.76603E+00	-1.14942E+01
-2.02174E+00	3.64530E+00	4.76392E+00	-1.14425E+01
3.78530E-01	4.08595E+00	4.76186E+00	-1.13912E+01
2.57478E+00	3.11255E+00	4.75983E+00	-1.13402E+01
3.82066E+00	1.10244E+00	4.75782E+00	-1.12897E+01
3.71850E+00	-1.22331E+00	4.75582E+00	-1.12396E+01
2.34501E+00	-3.05790E+00	4.75383E+00	-1.11898E+01
2.10309E-01	-3.78766E+00	4.75188E+00	-1.11404E+01
-1.93050E+00	-3.19667E+00	4.74998E+00	-1.10913E+01
-3.34340E+00	-1.52835E+00	4.74814E+00	-1.10426E+01
-3.56672E+00	6.12182E-01	4.74636E+00	-1.09943E+01
-2.56066E+00	2.47673E+00	4.74461E+00	-1.09464E+01
-7.08109E-01	3.43472E+00	4.74288E+00	-1.08989E+01
1.32989E+00	3.18587E+00	4.74112E+00	-1.08518E+01
2.84901E+00	1.85280E+00	4.73934E+00	-1.08050E+01
3.34470E+00	-7.40939E-02	4.73753E+00	-1.07586E+01
2.67868E+00	-1.91600E+00	4.73573E+00	-1.07124E+01
1.11522E+00	-3.04421E+00	4.73395E+00	-1.06666E+01
-7.82166E-01	-3.09420E+00	4.73221E+00	-1.06211E+01
-2.35279E+00	-2.08211E+00	4.73050E+00	-1.05759E+01
-3.06842E+00	-3.87692E-01	4.72881E+00	-1.05310E+01
-2.71027E+00	1.38713E+00	4.72712E+00	-1.04865E+01
-1.43427E+00	2.63171E+00	4.72544E+00	-1.04422E+01
2.93866E-01	2.93578E+00	4.72379E+00	-1.03982E+01
