jMRUI Data Textfile
 
Filename: mI.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
3.85242E+00	-1.29683E-01	2.16997E+00	-9.60142E+00
3.36181E+00	-1.66272E+00	2.16300E+00	-9.52065E+00
2.28846E+00	-2.79642E+00	2.15626E+00	-9.44128E+00
8.84977E-01	-3.33152E+00	2.14973E+00	-9.36329E+00
-5.43433E-01	-3.20995E+00	2.14340E+00	-9.28663E+00
-1.71103E+00	-2.51744E+00	2.13727E+00	-9.21127E+00
-2.41347E+00	-1.45255E+00	2.13133E+00	-9.13717E+00
-2.56558E+00	-2.72223E-01	2.12557E+00	-9.06429E+00
-2.20803E+00	7.70872E-01	2.11998E+00	-8.99261E+00
-1.48459E+00	1.48350E+00	2.11456E+00	-8.92209E+00
-5.98407E-01	1.76732E+00	2.10930E+00	-8.85270E+00
2.39841E-01	1.62848E+00	2.10419E+00	-8.78441E+00
8.58843E-01	1.16268E+00	2.09923E+00	-8.71719E+00
1.15843E+00	5.22168E-01	2.09442E+00	-8.65103E+00
1.12111E+00	-1.24956E-01	2.08975E+00	-8.58588E+00
8.03912E-01	-6.32827E-01	2.08521E+00	-8.52173E+00
3.15512E-01	-9.05228E-01	2.08080E+00	-8.45855E+00
-2.13757E-01	-9.08145E-01	2.07651E+00	-8.39632E+00
-6.61369E-01	-6.67566E-01	2.07234E+00	-8.33502E+00
-9.35520E-01	-2.55747E-01	2.06829E+00	-8.27462E+00
-9.88225E-01	2.28919E-01	2.06435E+00	-8.21510E+00
-8.18276E-01	6.83321E-01	2.06052E+00	-8.15644E+00
-4.65689E-01	1.01824E+00	2.05679E+00	-8.09863E+00
-4.52645E-04	1.17174E+00	2.05316E+00	-8.04164E+00
4.91556E-01	1.11660E+00	2.04963E+00	-7.98546E+00
9.23144E-01	8.61920E-01	2.04619E+00	-7.93006E+00
1.21922E+00	4.49842E-01	2.04284E+00	-7.87543E+00
1.32788E+00	-5.19102E-02	2.03957E+00	-7.82155E+00
1.22825E+00	-5.60763E-01	2.03639E+00	-7.76841E+00
9.34060E-01	-9.92292E-01	2.03328E+00	-7.71598E+00
4.92105E-01	-1.27412E+00	2.03025E+00	-7.66426E+00
-2.47348E-02	-1.35863E+00	2.02730E+00	-7.61322E+00
-5.29606E-01	-1.23223E+00	2.02442E+00	-7.56285E+00
-9.37177E-01	-9.19014E-01	2.02161E+00	-7.51313E+00
-1.17996E+00	-4.77111E-01	2.01888E+00	-7.46406E+00
-1.22175E+00	1.18748E-02	2.01622E+00	-7.41562E+00
-1.06533E+00	4.59046E-01	2.01362E+00	-7.36780E+00
-7.51887E-01	7.86399E-01	2.01109E+00	-7.32059E+00
-3.52071E-01	9.43063E-01	2.00863E+00	-7.27398E+00
4.97809E-02	9.15733E-01	2.00623E+00	-7.22795E+00
3.74439E-01	7.30428E-01	2.00388E+00	-7.18250E+00
5.65386E-01	4.45141E-01	2.00158E+00	-7.13760E+00
6.00581E-01	1.35091E-01	1.99933E+00	-7.09326E+00
4.95789E-01	-1.25838E-01	1.99713E+00	-7.04945E+00
2.98512E-01	-2.82613E-01	1.99499E+00	-7.00616E+00
7.43735E-02	-3.11340E-01	1.99289E+00	-6.96339E+00
-1.10420E-01	-2.23144E-01	1.99084E+00	-6.92111E+00
-2.05966E-01	-5.90683E-02	1.98885E+00	-6.87934E+00
-1.90503E-01	1.22442E-01	1.98691E+00	-6.83805E+00
-7.44163E-02	2.61866E-01	1.98501E+00	-6.79725E+00
1.04316E-01	3.14382E-01	1.98316E+00	-6.75692E+00
2.91580E-01	2.60952E-01	1.98136E+00	-6.71706E+00
4.32214E-01	1.12102E-01	1.97959E+00	-6.67765E+00
4.84483E-01	-9.61590E-02	1.97785E+00	-6.63869E+00
4.30312E-01	-3.12847E-01	1.97616E+00	-6.60016E+00
2.78817E-01	-4.85665E-01	1.97450E+00	-6.56206E+00
6.26546E-02	-5.74245E-01	1.97288E+00	-6.52439E+00
-1.71279E-01	-5.59422E-01	1.97129E+00	-6.48712E+00
-3.74140E-01	-4.46594E-01	1.96975E+00	-6.45027E+00
-5.06892E-01	-2.62681E-01	1.96823E+00	-6.41381E+00
-5.48677E-01	-4.80932E-02	1.96675E+00	-6.37775E+00
-4.99997E-01	1.53917E-01	1.96530E+00	-6.34207E+00
-3.80370E-01	3.07440E-01	1.96388E+00	-6.30678E+00
-2.21651E-01	3.91287E-01	1.96249E+00	-6.27185E+00
-5.91947E-02	4.01873E-01	1.96114E+00	-6.23729E+00
7.67003E-02	3.51540E-01	1.95981E+00	-6.20310E+00
1.66995E-01	2.63233E-01	1.95852E+00	-6.16926E+00
2.06379E-01	1.63394E-01	1.95725E+00	-6.13577E+00
2.02085E-01	7.50928E-02	1.95601E+00	-6.10263E+00
1.69750E-01	1.31036E-02	1.95480E+00	-6.06983E+00
1.27870E-01	-1.81251E-02	1.95360E+00	-6.03736E+00
9.24868E-02	-2.34855E-02	1.95244E+00	-6.00522E+00
7.34535E-02	-1.40251E-02	1.95129E+00	-5.97339E+00
7.29740E-02	-2.70225E-03	1.95017E+00	-5.94189E+00
8.64425E-02	-3.79515E-04	1.94907E+00	-5.91070E+00
1.04950E-01	-1.31005E-02	1.94799E+00	-5.87981E+00
1.18509E-01	-4.11261E-02	1.94693E+00	-5.84922E+00
1.19004E-01	-7.97013E-02	1.94589E+00	-5.81893E+00
1.02129E-01	-1.20987E-01	1.94488E+00	-5.78892E+00
6.79860E-02	-1.56468E-01	1.94389E+00	-5.75920E+00
2.04542E-02	-1.79051E-01	1.94292E+00	-5.72976E+00
-3.42459E-02	-1.84387E-01	1.94198E+00	-5.70060E+00
-8.91650E-02	-1.71217E-01	1.94106E+00	-5.67173E+00
-1.37981E-01	-1.40935E-01	1.94017E+00	-5.64313E+00
-1.75766E-01	-9.67071E-02	1.93929E+00	-5.61480E+00
-1.99104E-01	-4.26212E-02	1.93842E+00	-5.58674E+00
-2.05865E-01	1.68820E-02	1.93756E+00	-5.55894E+00
-1.94895E-01	7.71466E-02	1.93672E+00	-5.53140E+00
-1.65938E-01	1.33190E-01	1.93588E+00	-5.50409E+00
-1.19938E-01	1.79544E-01	1.93507E+00	-5.47703E+00
-5.96051E-02	2.10477E-01	1.93427E+00	-5.45021E+00
1.00316E-02	2.20691E-01	1.93349E+00	-5.42363E+00
8.14950E-02	2.06505E-01	1.93274E+00	-5.39728E+00
1.45396E-01	1.67229E-01	1.93200E+00	-5.37117E+00
1.91852E-01	1.06272E-01	1.93129E+00	-5.34530E+00
2.12528E-01	3.14546E-02	1.93059E+00	-5.31966E+00
2.02825E-01	-4.57561E-02	1.92989E+00	-5.29426E+00
1.63615E-01	-1.12215E-01	1.92921E+00	-5.26907E+00
1.01867E-01	-1.55893E-01	1.92853E+00	-5.24410E+00
2.97386E-02	-1.68867E-01	1.92786E+00	-5.21935E+00
