jMRUI Data Textfile
 
Filename: ETA.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
3.66798E+00	8.12502E-05	2.13039E+00	-7.96781E+00
3.16439E+00	-1.68201E+00	2.12572E+00	-7.90809E+00
1.92287E+00	-2.84932E+00	2.12116E+00	-7.84927E+00
3.39205E-01	-3.21675E+00	2.11672E+00	-7.79132E+00
-1.11553E+00	-2.76456E+00	2.11238E+00	-7.73422E+00
-2.05504E+00	-1.72629E+00	2.10815E+00	-7.67795E+00
-2.29850E+00	-4.90095E-01	2.10401E+00	-7.62249E+00
-1.91106E+00	5.46495E-01	2.09998E+00	-7.56783E+00
-1.15494E+00	1.11355E+00	2.09604E+00	-7.51394E+00
-3.74288E-01	1.14870E+00	2.09219E+00	-7.46081E+00
1.39514E-01	7.94858E-01	2.08844E+00	-7.40843E+00
2.51412E-01	3.22076E-01	2.08476E+00	-7.35677E+00
1.85509E-02	7.86782E-03	2.08118E+00	-7.30582E+00
-3.50732E-01	2.35728E-02	2.07767E+00	-7.25557E+00
-5.94690E-01	3.69733E-01	2.07424E+00	-7.20600E+00
-5.12241E-01	8.82726E-01	2.07088E+00	-7.15709E+00
-4.85540E-02	1.30692E+00	2.06760E+00	-7.10883E+00
6.79826E-01	1.40198E+00	2.06440E+00	-7.06121E+00
1.42825E+00	1.04286E+00	2.06126E+00	-7.01422E+00
1.91726E+00	2.74255E-01	2.05819E+00	-6.96784E+00
1.93929E+00	-7.00262E-01	2.05518E+00	-6.92205E+00
1.43837E+00	-1.58903E+00	2.05224E+00	-6.87686E+00
5.33592E-01	-2.11552E+00	2.04936E+00	-6.83224E+00
-5.21056E-01	-2.11522E+00	2.04654E+00	-6.78818E+00
-1.42423E+00	-1.59104E+00	2.04377E+00	-6.74467E+00
-1.92922E+00	-7.08720E-01	2.04106E+00	-6.70170E+00
-1.92333E+00	2.64284E-01	2.03841E+00	-6.65927E+00
-1.45753E+00	1.05197E+00	2.03581E+00	-6.61735E+00
-7.18242E-01	1.46071E+00	2.03327E+00	-6.57595E+00
4.54527E-02	1.43583E+00	2.03077E+00	-6.53505E+00
6.10778E-01	1.06597E+00	2.02832E+00	-6.49464E+00
8.53493E-01	5.37210E-01	2.02591E+00	-6.45470E+00
7.78990E-01	5.69590E-02	2.02356E+00	-6.41524E+00
5.03960E-01	-2.22607E-01	2.02125E+00	-6.37624E+00
1.99127E-01	-2.53719E-01	2.01899E+00	-6.33769E+00
1.71629E-02	-9.85657E-02	2.01677E+00	-6.29960E+00
3.37252E-02	1.07478E-01	2.01459E+00	-6.26194E+00
2.23056E-01	2.18238E-01	2.01245E+00	-6.22471E+00
4.75162E-01	1.39274E-01	2.01035E+00	-6.18790E+00
6.45695E-01	-1.33456E-01	2.00828E+00	-6.15151E+00
6.17635E-01	-5.12456E-01	2.00626E+00	-6.11552E+00
3.50542E-01	-8.54060E-01	2.00428E+00	-6.07993E+00
-1.01047E-01	-1.01523E+00	2.00234E+00	-6.04474E+00
-6.06255E-01	-9.09626E-01	2.00043E+00	-6.00993E+00
-1.00519E+00	-5.41674E-01	1.99855E+00	-5.97551E+00
-1.16675E+00	-6.53988E-03	1.99670E+00	-5.94146E+00
-1.03505E+00	5.42866E-01	1.99489E+00	-5.90777E+00
-6.47991E-01	9.48982E-01	1.99311E+00	-5.87444E+00
-1.22272E-01	1.10262E+00	1.99137E+00	-5.84147E+00
3.88281E-01	9.77171E-01	1.98965E+00	-5.80884E+00
7.45234E-01	6.32669E-01	1.98797E+00	-5.77656E+00
8.69438E-01	1.90039E-01	1.98632E+00	-5.74462E+00
7.61723E-01	-2.13721E-01	1.98469E+00	-5.71301E+00
4.94433E-01	-4.72110E-01	1.98309E+00	-5.68172E+00
1.79113E-01	-5.41136E-01	1.98152E+00	-5.65076E+00
-7.62965E-02	-4.46327E-01	1.97997E+00	-5.62011E+00
-2.04670E-01	-2.64527E-01	1.97845E+00	-5.58977E+00
-1.98209E-01	-8.91074E-02	1.97695E+00	-5.55973E+00
-1.03283E-01	7.22217E-03	1.97549E+00	-5.53000E+00
4.57518E-03	-1.96092E-03	1.97405E+00	-5.50057E+00
5.44370E-02	-9.13191E-02	1.97263E+00	-5.47143E+00
9.10140E-03	-1.98926E-01	1.97123E+00	-5.44257E+00
-1.21201E-01	-2.54798E-01	1.96985E+00	-5.41400E+00
-2.84781E-01	-2.10975E-01	1.96848E+00	-5.38571E+00
-4.10648E-01	-6.14900E-02	1.96714E+00	-5.35768E+00
-4.37564E-01	1.54883E-01	1.96583E+00	-5.32992E+00
-3.38535E-01	3.69432E-01	1.96453E+00	-5.30243E+00
-1.31686E-01	5.09325E-01	1.96326E+00	-5.27519E+00
1.26001E-01	5.24538E-01	1.96201E+00	-5.24822E+00
3.59056E-01	4.05713E-01	1.96077E+00	-5.22150E+00
4.99992E-01	1.86822E-01	1.95955E+00	-5.19503E+00
5.11834E-01	-6.75204E-02	1.95834E+00	-5.16880E+00
3.99102E-01	-2.84857E-01	1.95716E+00	-5.14281E+00
2.03783E-01	-4.09116E-01	1.95600E+00	-5.11705E+00
-1.11364E-02	-4.17486E-01	1.95487E+00	-5.09153E+00
-1.84019E-01	-3.24772E-01	1.95375E+00	-5.06626E+00
-2.74451E-01	-1.74533E-01	1.95264E+00	-5.04121E+00
-2.73927E-01	-2.12558E-02	1.95154E+00	-5.01639E+00
-2.04353E-01	8.92287E-02	1.95046E+00	-4.99177E+00
-1.06195E-01	1.34123E-01	1.94940E+00	-4.96738E+00
-2.14650E-02	1.18136E-01	1.94836E+00	-4.94320E+00
2.17700E-02	6.74989E-02	1.94734E+00	-4.91925E+00
1.78064E-02	1.67908E-02	1.94633E+00	-4.89550E+00
-1.76469E-02	-5.79154E-03	1.94532E+00	-4.87196E+00
-5.65471E-02	1.09198E-02	1.94434E+00	-4.84861E+00
-7.14777E-02	5.81455E-02	1.94337E+00	-4.82547E+00
-4.72135E-02	1.12369E-01	1.94242E+00	-4.80252E+00
1.34230E-02	1.46004E-01	1.94149E+00	-4.77978E+00
9.12377E-02	1.38997E-01	1.94056E+00	-4.75724E+00
1.58641E-01	8.68515E-02	1.93964E+00	-4.73488E+00
1.90528E-01	2.27769E-03	1.93873E+00	-4.71272E+00
1.73729E-01	-8.97647E-02	1.93784E+00	-4.69073E+00
1.11595E-01	-1.61374E-01	1.93695E+00	-4.66892E+00
2.23571E-02	-1.91587E-01	1.93608E+00	-4.64729E+00
-6.77368E-02	-1.73279E-01	1.93522E+00	-4.62584E+00
-1.33678E-01	-1.14739E-01	1.93438E+00	-4.60456E+00
-1.59789E-01	-3.58072E-02	1.93355E+00	-4.58346E+00
-1.43976E-01	3.96033E-02	1.93273E+00	-4.56253E+00
-9.69398E-02	9.16424E-02	1.93192E+00	-4.54177E+00
-3.71427E-02	1.10409E-01	1.93112E+00	-4.52118E+00
1.62261E-02	9.77333E-02	1.93033E+00	-4.50075E+00
4.96200E-02	6.47747E-02	1.92955E+00	-4.48048E+00
5.86619E-02	2.67450E-02	1.92878E+00	-4.46037E+00
4.79632E-02	-2.97728E-03	1.92802E+00	-4.44042E+00
2.77965E-02	-1.71419E-02	1.92727E+00	-4.42063E+00
9.28771E-03	-1.60320E-02	1.92653E+00	-4.40099E+00
8.51507E-05	-5.86364E-03	1.92580E+00	-4.38151E+00
2.05868E-03	4.78126E-03	1.92508E+00	-4.36217E+00
1.15878E-02	8.85175E-03	1.92437E+00	-4.34298E+00
2.19633E-02	3.52425E-03	1.92366E+00	-4.32394E+00
2.66733E-02	-9.18193E-03	1.92297E+00	-4.30504E+00
2.21682E-02	-2.38198E-02	1.92228E+00	-4.28629E+00
9.08812E-03	-3.41455E-02	1.92160E+00	-4.26768E+00
-8.33689E-03	-3.57674E-02	1.92093E+00	-4.24921E+00
-2.42585E-02	-2.77697E-02	1.92027E+00	-4.23087E+00
-3.35983E-02	-1.27948E-02	1.91961E+00	-4.21267E+00
-3.38856E-02	4.25637E-03	1.91897E+00	-4.19460E+00
-2.58884E-02	1.82379E-02	1.91834E+00	-4.17667E+00
-1.29533E-02	2.56032E-02	1.91770E+00	-4.15888E+00
5.14028E-04	2.54130E-02	1.91707E+00	-4.14121E+00
1.07238E-02	1.92316E-02	1.91645E+00	-4.12366E+00
1.56706E-02	1.01292E-02	1.91584E+00	-4.10624E+00
1.54241E-02	1.32643E-03	1.91524E+00	-4.08894E+00
1.16019E-02	-4.93095E-03	1.91465E+00	-4.07177E+00
6.38558E-03	-7.86747E-03	1.91407E+00	-4.05473E+00
1.57871E-03	-7.97884E-03	1.91348E+00	-4.03781E+00
-1.90618E-03	-6.37772E-03	1.91290E+00	-4.02101E+00
-4.00935E-03	-4.08637E-03	1.91233E+00	-4.00431E+00
-5.08538E-03	-1.62268E-03	1.91177E+00	-3.98773E+00
-5.38668E-03	9.72452E-04	1.91122E+00	-3.97127E+00
-4.78202E-03	3.77133E-03	1.91068E+00	-3.95492E+00
-2.85978E-03	6.52993E-03	1.91014E+00	-3.93870E+00
6.62055E-04	8.49099E-03	1.90961E+00	-3.92258E+00
5.47497E-03	8.57218E-03	1.90908E+00	-3.90657E+00
1.04632E-02	5.88064E-03	1.90855E+00	-3.89067E+00
1.39128E-02	3.04369E-04	1.90804E+00	-3.87488E+00
1.41164E-02	-7.13687E-03	1.90753E+00	-3.85919E+00
1.01342E-02	-1.44096E-02	1.90703E+00	-3.84361E+00
2.36303E-03	-1.90798E-02	1.90653E+00	-3.82813E+00
-7.36886E-03	-1.92023E-02	1.90604E+00	-3.81276E+00
-1.62946E-02	-1.41415E-02	1.90556E+00	-3.79749E+00
-2.16332E-02	-4.95523E-03	1.90508E+00	-3.78233E+00
-2.16021E-02	5.84989E-03	1.90461E+00	-3.76726E+00
-1.61136E-02	1.51371E-02	1.90414E+00	-3.75229E+00
-6.85991E-03	2.02339E-02	1.90367E+00	-3.73742E+00
3.27323E-03	1.98853E-02	1.90321E+00	-3.72264E+00
1.12392E-02	1.46790E-02	1.90276E+00	-3.70796E+00
1.49295E-02	6.78485E-03	1.90232E+00	-3.69338E+00
1.38989E-02	-9.05422E-04	1.90188E+00	-3.67889E+00
9.43890E-03	-5.89430E-03	1.90145E+00	-3.66450E+00
3.97573E-03	-7.01029E-03	1.90102E+00	-3.65021E+00
3.94309E-05	-4.78971E-03	1.90058E+00	-3.63600E+00
-7.81940E-04	-1.16272E-03	1.90015E+00	-3.62188E+00
1.52196E-03	1.42244E-03	1.89972E+00	-3.60785E+00
5.40492E-03	1.07833E-03	1.89929E+00	-3.59390E+00
8.43703E-03	-2.67704E-03	1.89888E+00	-3.58004E+00
8.35504E-03	-8.65408E-03	1.89847E+00	-3.56626E+00
4.06776E-03	-1.44162E-02	1.89807E+00	-3.55258E+00
-3.78902E-03	-1.72320E-02	1.89766E+00	-3.53898E+00
-1.29756E-02	-1.51846E-02	1.89726E+00	-3.52546E+00
-2.04173E-02	-7.99854E-03	1.89686E+00	-3.51201E+00
-2.33178E-02	2.73275E-03	1.89647E+00	-3.49865E+00
-2.02131E-02	1.40234E-02	1.89610E+00	-3.48537E+00
-1.15548E-02	2.24965E-02	1.89572E+00	-3.47218E+00
3.88970E-04	2.55425E-02	1.89534E+00	-3.45908E+00
1.22758E-02	2.22103E-02	1.89495E+00	-3.44604E+00
2.07995E-02	1.35152E-02	1.89457E+00	-3.43307E+00
2.37680E-02	2.06046E-03	1.89421E+00	-3.42018E+00
2.07577E-02	-8.85837E-03	1.89385E+00	-3.40736E+00
1.31520E-02	-1.63475E-02	1.89350E+00	-3.39463E+00
3.56528E-03	-1.88050E-02	1.89315E+00	-3.38198E+00
-5.10092E-03	-1.63151E-02	1.89280E+00	-3.36940E+00
-1.06195E-02	-1.04424E-02	1.89245E+00	-3.35690E+00
-1.20796E-02	-3.54752E-03	1.89210E+00	-3.34446E+00
-1.00145E-02	2.10076E-03	1.89177E+00	-3.33209E+00
-6.01340E-03	5.07614E-03	1.89143E+00	-3.31980E+00
-2.01199E-03	5.16718E-03	1.89111E+00	-3.30758E+00
4.57053E-04	3.26810E-03	1.89078E+00	-3.29544E+00
7.76213E-04	8.80734E-04	1.89044E+00	-3.28336E+00
-6.44342E-04	-5.51043E-04	1.89011E+00	-3.27135E+00
-2.65461E-03	-2.11860E-04	1.88978E+00	-3.25941E+00
-3.90697E-03	1.81159E-03	1.88946E+00	-3.24752E+00
-3.42671E-03	4.62922E-03	1.88914E+00	-3.23571E+00
-9.96468E-04	6.94585E-03	1.88882E+00	-3.22395E+00
2.77183E-03	7.58994E-03	1.88851E+00	-3.21227E+00
6.67901E-03	5.96669E-03	1.88821E+00	-3.20065E+00
9.38280E-03	2.27909E-03	1.88790E+00	-3.18910E+00
9.87183E-03	-2.54292E-03	1.88760E+00	-3.17761E+00
7.80461E-03	-7.15702E-03	1.88730E+00	-3.16619E+00
3.60997E-03	-1.02440E-02	1.88700E+00	-3.15482E+00
-1.65766E-03	-1.09060E-02	1.88671E+00	-3.14351E+00
-6.64377E-03	-8.91722E-03	1.88642E+00	-3.13227E+00
-1.00810E-02	-4.75989E-03	1.88613E+00	-3.12108E+00
-1.11217E-02	5.35060E-04	1.88585E+00	-3.10996E+00
-9.53313E-03	5.67761E-03	1.88557E+00	-3.09890E+00
-5.72356E-03	9.44674E-03	1.88529E+00	-3.08790E+00
-6.13795E-04	1.09766E-02	1.88502E+00	-3.07696E+00
4.59280E-03	9.93749E-03	1.88475E+00	-3.06607E+00
8.69037E-03	6.59470E-03	1.88448E+00	-3.05524E+00
1.07382E-02	1.73788E-03	1.88421E+00	-3.04447E+00
1.02691E-02	-3.49716E-03	1.88395E+00	-3.03376E+00
7.40021E-03	-7.88234E-03	1.88368E+00	-3.02311E+00
2.81840E-03	-1.03808E-02	1.88342E+00	-3.01250E+00
-2.36631E-03	-1.04027E-02	1.88317E+00	-3.00196E+00
-6.88506E-03	-7.96821E-03	1.88291E+00	-2.99147E+00
-9.63040E-03	-3.72545E-03	1.88266E+00	-2.98103E+00
-9.96322E-03	1.20286E-03	1.88240E+00	-2.97065E+00
-7.90492E-03	5.52070E-03	1.88215E+00	-2.96032E+00
-4.14492E-03	8.13259E-03	1.88190E+00	-2.95004E+00
1.59997E-04	8.47727E-03	1.88165E+00	-2.93981E+00
3.74791E-03	6.70578E-03	1.88141E+00	-2.92964E+00
5.66745E-03	3.62731E-03	1.88117E+00	-2.91951E+00
