jMRUI Data Textfile
 
Filename: Glu.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
4.71110E+00	-1.48278E-02	2.50780E+00	-5.80367E+00
2.84176E+00	-3.50315E+00	2.50571E+00	-5.77238E+00
-9.21349E-01	-3.97107E+00	2.50367E+00	-5.74146E+00
-3.25547E+00	-1.30495E+00	2.50167E+00	-5.71088E+00
-2.32680E+00	1.83388E+00	2.49972E+00	-5.68065E+00
6.36606E-01	2.56804E+00	2.49781E+00	-5.65074E+00
2.64624E+00	4.27905E-01	2.49594E+00	-5.62117E+00
1.78683E+00	-2.36954E+00	2.49411E+00	-5.59192E+00
-1.09882E+00	-3.10841E+00	2.49233E+00	-5.56299E+00
-3.34137E+00	-1.07748E+00	2.49058E+00	-5.53437E+00
-2.96963E+00	1.91091E+00	2.48887E+00	-5.50605E+00
-4.22810E-01	3.31333E+00	2.48719E+00	-5.47803E+00
2.03132E+00	2.15797E+00	2.48555E+00	-5.45031E+00
2.45150E+00	-2.56012E-01	2.48394E+00	-5.42287E+00
8.74118E-01	-1.73724E+00	2.48235E+00	-5.39572E+00
-9.60491E-01	-1.21602E+00	2.48080E+00	-5.36884E+00
-1.34996E+00	4.68280E-01	2.47929E+00	-5.34222E+00
-1.19698E-01	1.56017E+00	2.47780E+00	-5.31588E+00
1.42800E+00	1.05776E+00	2.47634E+00	-5.28980E+00
1.85630E+00	-5.07406E-01	2.47492E+00	-5.26397E+00
8.62710E-01	-1.74309E+00	2.47352E+00	-5.23840E+00
-6.28447E-01	-1.71478E+00	2.47214E+00	-5.21308E+00
-1.44349E+00	-6.55334E-01	2.47079E+00	-5.18800E+00
-1.17390E+00	4.45998E-01	2.46946E+00	-5.16315E+00
-3.44335E-01	8.11188E-01	2.46816E+00	-5.13854E+00
2.38807E-01	4.51789E-01	2.46689E+00	-5.11416E+00
2.17500E-01	-5.28700E-02	2.46564E+00	-5.09000E+00
-1.55613E-01	-1.94695E-01	2.46442E+00	-5.06608E+00
-4.14202E-01	6.69021E-02	2.46322E+00	-5.04237E+00
-3.31008E-01	4.25633E-01	2.46204E+00	-5.01889E+00
-1.31825E-02	5.98482E-01	2.46088E+00	-4.99561E+00
3.19703E-01	5.29962E-01	2.45974E+00	-4.97254E+00
5.47065E-01	3.09086E-01	2.45863E+00	-4.94967E+00
6.46061E-01	8.88286E-03	2.45754E+00	-4.92701E+00
5.83217E-01	-3.30786E-01	2.45647E+00	-4.90455E+00
3.10323E-01	-6.07903E-01	2.45541E+00	-4.88229E+00
-1.11730E-01	-6.50817E-01	2.45438E+00	-4.86022E+00
-4.52970E-01	-3.77908E-01	2.45336E+00	-4.83834E+00
-4.68299E-01	4.60260E-02	2.45236E+00	-4.81665E+00
-1.52286E-01	2.84681E-01	2.45137E+00	-4.79514E+00
1.89875E-01	1.29248E-01	2.45041E+00	-4.77382E+00
1.90973E-01	-2.62704E-01	2.44946E+00	-4.75267E+00
-2.13268E-01	-4.66494E-01	2.44853E+00	-4.73171E+00
-6.71599E-01	-1.82850E-01	2.44761E+00	-4.71092E+00
-7.11595E-01	4.41003E-01	2.44671E+00	-4.69030E+00
-1.91672E-01	8.97448E-01	2.44581E+00	-4.66985E+00
5.24639E-01	7.67500E-01	2.44493E+00	-4.64956E+00
8.66641E-01	1.22360E-01	2.44407E+00	-4.62944E+00
5.69551E-01	-5.14042E-01	2.44322E+00	-4.60947E+00
-7.60558E-02	-6.27179E-01	2.44238E+00	-4.58966E+00
-4.82871E-01	-1.77085E-01	2.44156E+00	-4.57001E+00
-3.01570E-01	3.68966E-01	2.44075E+00	-4.55052E+00
2.63386E-01	4.70346E-01	2.43995E+00	-4.53117E+00
6.49342E-01	1.13772E-02	2.43916E+00	-4.51198E+00
4.57953E-01	-5.96233E-01	2.43839E+00	-4.49293E+00
-1.80275E-01	-7.95458E-01	2.43762E+00	-4.47403E+00
-7.29823E-01	-3.91528E-01	2.43687E+00	-4.45527E+00
-7.37172E-01	2.80190E-01	2.43613E+00	-4.43665E+00
-2.28881E-01	6.67012E-01	2.43541E+00	-4.41817E+00
3.34053E-01	4.92191E-01	2.43469E+00	-4.39983E+00
4.83850E-01	-2.11385E-02	2.43398E+00	-4.38162E+00
