jMRUI Data Textfile
 
Filename: NAA.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
6.52674E+00	-1.60802E-02	4.66195E+00	-9.85668E+00
3.61493E+00	-3.18363E+00	4.60038E+00	-9.70624E+00
-1.83624E+00	-3.80806E+00	4.54273E+00	-9.56128E+00
-4.31301E+00	-1.45425E+00	4.48874E+00	-9.42147E+00
-1.83285E+00	1.84689E+00	4.43812E+00	-9.28653E+00
2.41439E+00	3.14973E+00	4.39061E+00	-9.15618E+00
4.01321E+00	1.23426E+00	4.34599E+00	-9.03018E+00
1.97418E+00	-2.07269E+00	4.30403E+00	-8.90828E+00
-9.26544E-01	-3.56595E+00	4.26453E+00	-8.79026E+00
-1.74955E+00	-1.94404E+00	4.22732E+00	-8.67594E+00
-4.05552E-01	8.00809E-01	4.19224E+00	-8.56511E+00
9.67308E-01	1.61814E+00	4.15912E+00	-8.45761E+00
8.01533E-01	-1.46076E-01	4.12785E+00	-8.35328E+00
-3.83101E-01	-2.09385E+00	4.09829E+00	-8.25196E+00
-1.03261E+00	-1.74219E+00	4.07032E+00	-8.15352E+00
-4.49208E-01	4.35550E-01	4.04383E+00	-8.05783E+00
6.25202E-01	1.60787E+00	4.01872E+00	-7.96476E+00
9.73421E-01	1.24197E-01	3.99490E+00	-7.87419E+00
1.19846E-01	-2.34103E+00	3.97228E+00	-7.78602E+00
-1.29129E+00	-2.71590E+00	3.95078E+00	-7.70013E+00
-2.04506E+00	-2.42705E-01	3.93033E+00	-7.61643E+00
-1.34012E+00	2.50120E+00	3.91086E+00	-7.53482E+00
4.28054E-01	2.51391E+00	3.89229E+00	-7.45521E+00
1.75850E+00	-2.20052E-01	3.87459E+00	-7.37751E+00
1.26060E+00	-2.75053E+00	3.85770E+00	-7.30164E+00
-8.66155E-01	-2.45816E+00	3.84157E+00	-7.22752E+00
-2.68336E+00	2.04925E-01	3.82618E+00	-7.15510E+00
-2.28115E+00	2.44863E+00	3.81146E+00	-7.08430E+00
1.28710E-01	2.21744E+00	3.79738E+00	-7.01508E+00
2.18377E+00	1.18628E-01	3.78388E+00	-6.94735E+00
1.76981E+00	-1.58258E+00	3.77093E+00	-6.88106E+00
-6.43534E-01	-1.39734E+00	3.75852E+00	-6.81615E+00
-2.43457E+00	1.60475E-01	3.74660E+00	-6.75256E+00
-1.69621E+00	1.45021E+00	3.73516E+00	-6.69024E+00
6.65732E-01	1.38981E+00	3.72418E+00	-6.62914E+00
2.01181E+00	2.72832E-01	3.71363E+00	-6.56923E+00
9.75516E-01	-7.41955E-01	3.70350E+00	-6.51045E+00
-1.07459E+00	-7.41331E-01	3.69377E+00	-6.45278E+00
-1.73037E+00	1.91396E-01	3.68441E+00	-6.39618E+00
-3.22529E-01	1.09823E+00	3.67541E+00	-6.34062E+00
1.43851E+00	1.02787E+00	3.66674E+00	-6.28605E+00
1.55252E+00	-2.14822E-02	3.65840E+00	-6.23245E+00
-4.12714E-03	-9.99777E-01	3.65035E+00	-6.17978E+00
-1.39605E+00	-8.16082E-01	3.64260E+00	-6.12802E+00
-1.09678E+00	4.40348E-01	3.63512E+00	-6.07714E+00
4.75831E-01	1.43941E+00	3.62790E+00	-6.02711E+00
1.58232E+00	9.87035E-01	3.62092E+00	-5.97789E+00
1.11880E+00	-5.70494E-01	3.61417E+00	-5.92947E+00
-3.17575E-01	-1.58477E+00	3.60764E+00	-5.88181E+00
-1.22830E+00	-8.94050E-01	3.60132E+00	-5.83488E+00
-7.94135E-01	8.06077E-01	3.59521E+00	-5.78867E+00
4.33839E-01	1.65539E+00	3.58930E+00	-5.74314E+00
1.23084E+00	6.94975E-01	3.58359E+00	-5.69829E+00
8.97518E-01	-1.03549E+00	3.57806E+00	-5.65409E+00
-1.80421E-01	-1.65319E+00	3.57271E+00	-5.61054E+00
-9.78954E-01	-5.32430E-01	3.56753E+00	-5.56760E+00
-7.82787E-01	1.04028E+00	3.56251E+00	-5.52526E+00
1.87413E-01	1.35589E+00	3.55765E+00	-5.48350E+00
9.82861E-01	1.67292E-01	3.55294E+00	-5.44232E+00
8.12051E-01	-1.14170E+00	3.54838E+00	-5.40169E+00
-1.71616E-01	-1.17401E+00	3.54395E+00	-5.36160E+00
-9.72696E-01	-1.61710E-02	3.53965E+00	-5.32204E+00
