jMRUI Data Textfile
 
Filename: PE.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
3.62768E+00	1.36023E-03	2.27157E+00	-9.18190E+00
3.19239E+00	-1.50689E+00	2.26267E+00	-9.09980E+00
2.13115E+00	-2.59048E+00	2.25405E+00	-9.01922E+00
7.60355E-01	-3.01353E+00	2.24569E+00	-8.94011E+00
-5.39552E-01	-2.74702E+00	2.23757E+00	-8.86242E+00
-1.44628E+00	-1.96393E+00	2.22970E+00	-8.78612E+00
-1.79198E+00	-9.69094E-01	2.22205E+00	-8.71116E+00
-1.60295E+00	-9.05802E-02	2.21462E+00	-8.63751E+00
-1.07268E+00	4.29234E-01	2.20741E+00	-8.56513E+00
-4.80960E-01	5.06370E-01	2.20040E+00	-8.49399E+00
-8.93351E-02	2.29249E-01	2.19359E+00	-8.42406E+00
-4.98812E-02	-1.87495E-01	2.18697E+00	-8.35529E+00
-3.57633E-01	-4.90305E-01	2.18053E+00	-8.28767E+00
-8.60895E-01	-4.82998E-01	2.17427E+00	-8.22117E+00
-1.32310E+00	-9.83345E-02	2.16817E+00	-8.15574E+00
-1.51251E+00	5.78839E-01	2.16224E+00	-8.09137E+00
-1.28768E+00	1.34303E+00	2.15646E+00	-8.02803E+00
-6.49114E-01	1.94113E+00	2.15083E+00	-7.96569E+00
2.59318E-01	2.16075E+00	2.14535E+00	-7.90433E+00
1.19827E+00	1.90280E+00	2.14001E+00	-7.84392E+00
1.91200E+00	1.21441E+00	2.13481E+00	-7.78445E+00
2.21113E+00	2.72394E-01	2.12974E+00	-7.72588E+00
2.03113E+00	-6.75620E-01	2.12479E+00	-7.66820E+00
1.44797E+00	-1.39087E+00	2.11997E+00	-7.61138E+00
6.47677E-01	-1.71688E+00	2.11526E+00	-7.55540E+00
-1.38024E-01	-1.62249E+00	2.11067E+00	-7.50025E+00
-7.07018E-01	-1.20204E+00	2.10619E+00	-7.44591E+00
-9.47575E-01	-6.34864E-01	2.10182E+00	-7.39235E+00
-8.65349E-01	-1.19988E-01	2.09755E+00	-7.33956E+00
-5.69694E-01	1.90813E-01	2.09338E+00	-7.28752E+00
-2.26427E-01	2.39070E-01	2.08930E+00	-7.23621E+00
4.92713E-03	7.06036E-02	2.08532E+00	-7.18563E+00
2.71831E-02	-1.90011E-01	2.08143E+00	-7.13574E+00
-1.63868E-01	-3.90646E-01	2.07763E+00	-7.08654E+00
-4.83291E-01	-4.09401E-01	2.07391E+00	-7.03802E+00
-7.92054E-01	-1.98716E-01	2.07028E+00	-6.99014E+00
-9.49682E-01	1.98738E-01	2.06672E+00	-6.94292E+00
-8.65422E-01	6.66496E-01	2.06325E+00	-6.89632E+00
-5.30474E-01	1.05594E+00	2.05985E+00	-6.85034E+00
-2.09293E-02	1.23797E+00	2.05652E+00	-6.80496E+00
5.28205E-01	1.14643E+00	2.05326E+00	-6.76017E+00
9.68176E-01	7.99155E-01	2.05007E+00	-6.71595E+00
1.18450E+00	2.90426E-01	2.04695E+00	-6.67231E+00
1.13200E+00	-2.41428E-01	2.04390E+00	-6.62922E+00
8.45625E-01	-6.59111E-01	2.04091E+00	-6.58667E+00
4.24809E-01	-8.68892E-01	2.03798E+00	-6.54466E+00
-1.92443E-03	-8.46344E-01	2.03511E+00	-6.50317E+00
-3.19440E-01	-6.38153E-01	2.03229E+00	-6.46219E+00
-4.60911E-01	-3.40691E-01	2.02954E+00	-6.42171E+00
-4.24272E-01	-6.41547E-02	2.02684E+00	-6.38172E+00
-2.66048E-01	1.04965E-01	2.02420E+00	-6.34222E+00
-7.61335E-02	1.30309E-01	2.02160E+00	-6.30319E+00
5.65613E-02	3.30397E-02	2.01906E+00	-6.26463E+00
7.53725E-02	-1.21055E-01	2.01657E+00	-6.22652E+00
-2.63436E-02	-2.48881E-01	2.01412E+00	-6.18886E+00
-2.06095E-01	-2.81488E-01	2.01172E+00	-6.15163E+00
-3.90306E-01	-1.88621E-01	2.00937E+00	-6.11484E+00
-5.02225E-01	1.16453E-02	2.00706E+00	-6.07847E+00
-4.89610E-01	2.60649E-01	2.00480E+00	-6.04252E+00
-3.42628E-01	4.80591E-01	2.00258E+00	-6.00697E+00
-9.64782E-02	6.01630E-01	2.00040E+00	-5.97183E+00
1.81436E-01	5.85185E-01	1.99825E+00	-5.93708E+00
4.14491E-01	4.35681E-01	1.99615E+00	-5.90271E+00
5.41877E-01	1.97496E-01	1.99409E+00	-5.86872E+00
5.37030E-01	-6.10113E-02	1.99206E+00	-5.83510E+00
4.13915E-01	-2.70356E-01	1.99007E+00	-5.80185E+00
2.19714E-01	-3.81687E-01	1.98811E+00	-5.76896E+00
1.73776E-02	-3.80199E-01	1.98620E+00	-5.73642E+00
-1.35579E-01	-2.86605E-01	1.98431E+00	-5.70423E+00
-2.04706E-01	-1.46925E-01	1.98247E+00	-5.67238E+00
-1.87176E-01	-1.48982E-02	1.98065E+00	-5.64087E+00
-1.09093E-01	6.64492E-02	1.97886E+00	-5.60969E+00
-1.34924E-02	7.79973E-02	1.97711E+00	-5.57884E+00
5.62614E-02	2.84237E-02	1.97538E+00	-5.54831E+00
7.16315E-02	-5.17133E-02	1.97368E+00	-5.51809E+00
2.76550E-02	-1.22857E-01	1.97201E+00	-5.48818E+00
-5.71953E-02	-1.51375E-01	1.97037E+00	-5.45857E+00
-1.49290E-01	-1.21243E-01	1.96875E+00	-5.42926E+00
-2.12740E-01	-3.87626E-02	1.96717E+00	-5.40024E+00
-2.22220E-01	7.07794E-02	1.96560E+00	-5.37151E+00
-1.71311E-01	1.72765E-01	1.96407E+00	-5.34307E+00
-7.38236E-02	2.35492E-01	1.96256E+00	-5.31490E+00
4.17558E-02	2.40594E-01	1.96109E+00	-5.28701E+00
1.42393E-01	1.88375E-01	1.95964E+00	-5.25941E+00
2.01440E-01	9.65294E-02	1.95821E+00	-5.23208E+00
2.06609E-01	-6.70092E-03	1.95679E+00	-5.20501E+00
1.62673E-01	-9.22837E-02	1.95538E+00	-5.17820E+00
8.83838E-02	-1.39544E-01	1.95400E+00	-5.15164E+00
9.14539E-03	-1.41763E-01	1.95264E+00	-5.12532E+00
-5.16893E-02	-1.06679E-01	1.95130E+00	-5.09924E+00
