jMRUI Data Textfile
 
Filename: Pyr.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
3.00000E+00	5.20417E-18	1.55742E+00	-2.95408E+00
1.74308E+00	-2.38398E+00	1.55707E+00	-2.94286E+00
-8.81675E-01	-2.77030E+00	1.55674E+00	-2.93173E+00
-2.71372E+00	-9.08985E-01	1.55641E+00	-2.92066E+00
-2.29907E+00	1.62834E+00	1.55609E+00	-2.90966E+00
-4.18503E-02	2.77308E+00	1.55577E+00	-2.89874E+00
2.17934E+00	1.64449E+00	1.55545E+00	-2.88788E+00
2.57305E+00	-7.76342E-01	1.55514E+00	-2.87709E+00
8.78081E-01	-2.49577E+00	1.55483E+00	-2.86637E+00
-1.47309E+00	-2.14789E+00	1.55451E+00	-2.85571E+00
-2.56274E+00	-7.73694E-02	1.55419E+00	-2.84511E+00
-1.55050E+00	1.99155E+00	1.55387E+00	-2.83458E+00
6.81725E-01	2.38926E+00	1.55356E+00	-2.82410E+00
2.29474E+00	8.46479E-01	1.55324E+00	-2.81368E+00
2.00597E+00	-1.33171E+00	1.55293E+00	-2.80332E+00
1.07268E-01	-2.36782E+00	1.55261E+00	-2.79302E+00
-1.81929E+00	-1.46099E+00	1.55230E+00	-2.78276E+00
-2.21804E+00	5.96837E-01	1.55200E+00	-2.77257E+00
-8.14471E-01	2.10936E+00	1.55170E+00	-2.76242E+00
1.20299E+00	1.87282E+00	1.55142E+00	-2.75233E+00
2.18722E+00	1.32185E-01	1.55115E+00	-2.74231E+00
1.37587E+00	-1.66129E+00	1.55088E+00	-2.73236E+00
-5.20743E-01	-2.05860E+00	1.55059E+00	-2.72247E+00
-1.93845E+00	-7.82283E-01	1.55030E+00	-2.71262E+00
-1.74793E+00	1.08588E+00	1.55001E+00	-2.70283E+00
-1.52691E-01	2.01993E+00	1.54973E+00	-2.69307E+00
1.51644E+00	1.29497E+00	1.54946E+00	-2.68338E+00
1.91015E+00	-4.52644E-01	1.54920E+00	-2.67375E+00
7.50146E-01	-1.78091E+00	1.54893E+00	-2.66417E+00
-9.79352E-01	-1.63087E+00	1.54865E+00	-2.65464E+00
-1.86501E+00	-1.69327E-01	1.54837E+00	-2.64516E+00
-1.21818E+00	1.38367E+00	1.54810E+00	-2.63572E+00
3.91766E-01	1.77198E+00	1.54784E+00	-2.62632E+00
1.63574E+00	7.18255E-01	1.54758E+00	-2.61697E+00
1.52116E+00	-8.82540E-01	1.54734E+00	-2.60768E+00
1.82529E-01	-1.72158E+00	1.54711E+00	-2.59844E+00
-1.26201E+00	-1.14534E+00	1.54687E+00	-2.58926E+00
-1.64341E+00	3.37407E-01	1.54664E+00	-2.58013E+00
-6.86751E-01	1.50199E+00	1.54640E+00	-2.57105E+00
7.94559E-01	1.41842E+00	1.54617E+00	-2.56201E+00
1.58882E+00	1.92745E-01	1.54593E+00	-2.55302E+00
1.07630E+00	-1.15058E+00	1.54570E+00	-2.54408E+00
-2.88954E-01	-1.52381E+00	1.54548E+00	-2.53518E+00
-1.37880E+00	-6.55742E-01	1.54526E+00	-2.52634E+00
-1.32222E+00	7.14667E-01	1.54504E+00	-2.51755E+00
-2.00313E-01	1.46595E+00	1.54482E+00	-2.50880E+00
1.04854E+00	1.01094E+00	1.54460E+00	-2.50010E+00
1.41258E+00	-2.45835E-01	1.54437E+00	-2.49144E+00
6.25381E-01	-1.26536E+00	1.54415E+00	-2.48283E+00
-6.42159E-01	-1.23218E+00	1.54393E+00	-2.47425E+00
-1.35227E+00	-2.05617E-01	1.54372E+00	-2.46573E+00
-9.49106E-01	9.55119E-01	1.54350E+00	-2.45725E+00
2.07549E-01	1.30916E+00	1.54329E+00	-2.44882E+00
1.16092E+00	5.95733E-01	1.54307E+00	-2.44044E+00
1.14793E+00	-5.76411E-01	1.54284E+00	-2.43209E+00
2.08933E-01	-1.24712E+00	1.54260E+00	-2.42379E+00
-8.69643E-01	-8.90629E-01	1.54236E+00	-2.41551E+00
-1.21303E+00	1.73583E-01	1.54212E+00	-2.40726E+00
-5.66871E-01	1.06480E+00	1.54188E+00	-2.39904E+00
5.16793E-01	1.06914E+00	1.54166E+00	-2.39086E+00
1.14987E+00	2.10531E-01	1.54144E+00	-2.38271E+00
8.35397E-01	-7.91436E-01	1.54124E+00	-2.37461E+00
-1.43527E-01	-1.12370E+00	1.54104E+00	-2.36654E+00
-9.76355E-01	-5.38836E-01	1.54085E+00	-2.35851E+00
-9.95474E-01	4.62800E-01	1.54066E+00	-2.35053E+00
-2.10651E-01	1.05996E+00	1.54048E+00	-2.34259E+00
7.19915E-01	7.83251E-01	1.54030E+00	-2.33470E+00
1.04070E+00	-1.17007E-01	1.54012E+00	-2.32685E+00
5.11688E-01	-8.94993E-01	1.53993E+00	-2.31904E+00
-4.13889E-01	-9.26640E-01	1.53974E+00	-2.31126E+00
-9.76844E-01	-2.09493E-01	1.53955E+00	-2.30351E+00
-7.34041E-01	6.54543E-01	1.53937E+00	-2.29579E+00
9.36199E-02	9.63620E-01	1.53920E+00	-2.28812E+00
8.20148E-01	4.85485E-01	1.53904E+00	-2.28049E+00
8.62319E-01	-3.69666E-01	1.53887E+00	-2.27290E+00
2.07264E-01	-9.00035E-01	1.53869E+00	-2.26536E+00
-5.94780E-01	-6.87660E-01	1.53851E+00	-2.25786E+00
-8.92037E-01	7.31061E-02	1.53831E+00	-2.25039E+00
-4.60195E-01	7.51345E-01	1.53811E+00	-2.24294E+00
3.29684E-01	8.02246E-01	1.53791E+00	-2.23551E+00
8.29062E-01	2.04158E-01	1.53771E+00	-2.22810E+00
6.43937E-01	-5.40205E-01	1.53751E+00	-2.22073E+00
-5.51418E-02	-8.25582E-01	1.53733E+00	-2.21338E+00
-6.88085E-01	-4.35881E-01	1.53716E+00	-2.20606E+00
-7.46169E-01	2.93541E-01	1.53699E+00	-2.19878E+00
-2.00272E-01	7.63506E-01	1.53683E+00	-2.19153E+00
4.90368E-01	6.02760E-01	1.53668E+00	-2.18432E+00
7.63905E-01	-3.94394E-02	1.53653E+00	-2.17714E+00
4.12502E-01	-6.29962E-01	1.53639E+00	-2.17000E+00
-2.60936E-01	-6.93820E-01	1.53625E+00	-2.16290E+00
-7.02962E-01	-1.95766E-01	1.53611E+00	-2.15583E+00
-5.64016E-01	4.44857E-01	1.53597E+00	-2.14881E+00
2.58077E-02	7.06673E-01	1.53582E+00	-2.14181E+00
5.76562E-01	3.90082E-01	1.53566E+00	-2.13485E+00
6.44984E-01	-2.31508E-01	1.53550E+00	-2.12792E+00
