jMRUI Data Textfile
 
Filename: Tau.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
3.98534E+00	-4.29651E-07	2.19080E+00	-7.10888E+00
3.34996E+00	-2.04691E+00	2.18863E+00	-7.06698E+00
1.76232E+00	-3.43677E+00	2.18650E+00	-7.02555E+00
-2.83077E-01	-3.78434E+00	2.18440E+00	-6.98457E+00
-2.17329E+00	-3.02402E+00	2.18235E+00	-6.94402E+00
-3.36275E+00	-1.41842E+00	2.18033E+00	-6.90392E+00
-3.53249E+00	5.31449E-01	2.17834E+00	-6.86425E+00
-2.67569E+00	2.24372E+00	2.17639E+00	-6.82500E+00
-1.08688E+00	3.23106E+00	2.17446E+00	-6.78617E+00
7.38232E-01	3.24056E+00	2.17256E+00	-6.74774E+00
2.25844E+00	2.31758E+00	2.17068E+00	-6.70971E+00
3.04878E+00	7.77943E-01	2.16884E+00	-6.67207E+00
2.91995E+00	-8.98937E-01	2.16702E+00	-6.63481E+00
1.96150E+00	-2.22000E+00	2.16524E+00	-6.59793E+00
4.99880E-01	-2.82444E+00	2.16349E+00	-6.56144E+00
-1.01139E+00	-2.58219E+00	2.16176E+00	-6.52531E+00
-2.13291E+00	-1.61805E+00	2.16006E+00	-6.48954E+00
-2.56753E+00	-2.58921E-01	2.15838E+00	-6.45413E+00
-2.23841E+00	1.07569E+00	2.15673E+00	-6.41907E+00
-1.29633E+00	2.00329E+00	2.15511E+00	-6.38436E+00
-5.91503E-02	2.28799E+00	2.15351E+00	-6.34999E+00
1.09394E+00	1.89896E+00	2.15194E+00	-6.31595E+00
1.83851E+00	1.00359E+00	2.15039E+00	-6.28224E+00
1.99579E+00	-9.75082E-02	2.14887E+00	-6.24887E+00
1.57301E+00	-1.06994E+00	2.14737E+00	-6.21581E+00
7.45258E-01	-1.64666E+00	2.14589E+00	-6.18307E+00
-2.11050E-01	-1.70044E+00	2.14444E+00	-6.15065E+00
-1.00890E+00	-1.26831E+00	2.14300E+00	-6.11853E+00
-1.43618E+00	-5.24797E-01	2.14159E+00	-6.08671E+00
-1.41071E+00	2.83237E-01	2.14020E+00	-6.05519E+00
-9.91016E-01	9.17006E-01	2.13883E+00	-6.02397E+00
-3.43831E-01	1.21545E+00	2.13748E+00	-5.99303E+00
3.17360E-01	1.13428E+00	2.13616E+00	-5.96239E+00
8.01113E-01	7.45570E-01	2.13485E+00	-5.93203E+00
9.92447E-01	2.02221E-01	2.13355E+00	-5.90195E+00
8.77543E-01	-3.17817E-01	2.13228E+00	-5.87214E+00
5.34742E-01	-6.68287E-01	2.13101E+00	-5.84260E+00
9.83701E-02	-7.74407E-01	2.12977E+00	-5.81333E+00
-2.89902E-01	-6.45474E-01	2.12855E+00	-5.78431E+00
-5.25529E-01	-3.59666E-01	2.12734E+00	-5.75556E+00
-5.67617E-01	-2.93665E-02	2.12615E+00	-5.72706E+00
-4.41572E-01	2.39402E-01	2.12498E+00	-5.69881E+00
-2.20029E-01	3.79423E-01	2.12382E+00	-5.67082E+00
8.67180E-03	3.77236E-01	2.12267E+00	-5.64307E+00
1.72268E-01	2.67897E-01	2.12153E+00	-5.61555E+00
2.35931E-01	1.14211E-01	2.12042E+00	-5.58826E+00
2.07203E-01	-2.02974E-02	2.11932E+00	-5.56122E+00
1.25131E-01	-9.43632E-02	2.11825E+00	-5.53440E+00
3.95640E-02	-1.00170E-01	2.11718E+00	-5.50782E+00
-1.04801E-02	-6.02087E-02	2.11613E+00	-5.48147E+00
-1.11873E-02	-1.27311E-02	2.11509E+00	-5.45534E+00
2.36993E-02	7.37351E-03	2.11406E+00	-5.42943E+00
6.22693E-02	-1.56961E-02	2.11304E+00	-5.40373E+00
7.08910E-02	-7.23262E-02	2.11205E+00	-5.37825E+00
3.05978E-02	-1.32544E-01	2.11106E+00	-5.35297E+00
-5.32679E-02	-1.59880E-01	2.11009E+00	-5.32791E+00
-1.51955E-01	-1.28170E-01	2.10913E+00	-5.30306E+00
-2.24267E-01	-3.44019E-02	2.10817E+00	-5.27841E+00
-2.33270E-01	9.76012E-02	2.10723E+00	-5.25396E+00
-1.62170E-01	2.24285E-01	2.10630E+00	-5.22970E+00
-2.31383E-02	2.97768E-01	2.10538E+00	-5.20564E+00
1.44559E-01	2.83920E-01	2.10447E+00	-5.18176E+00
2.86758E-01	1.76354E-01	2.10357E+00	-5.15808E+00
3.52857E-01	1.01508E-03	2.10270E+00	-5.13458E+00
3.13972E-01	-1.90610E-01	2.10183E+00	-5.11128E+00
1.74386E-01	-3.37670E-01	2.10098E+00	-5.08816E+00
-2.80531E-02	-3.90137E-01	2.10013E+00	-5.06522E+00
-2.32899E-01	-3.26040E-01	2.09928E+00	-5.04247E+00
-3.76125E-01	-1.59922E-01	2.09845E+00	-5.01988E+00
-4.10866E-01	6.06015E-02	2.09762E+00	-4.99746E+00
-3.23021E-01	2.69292E-01	2.09682E+00	-4.97522E+00
-1.36495E-01	4.01944E-01	2.09603E+00	-4.95314E+00
9.36863E-02	4.16802E-01	2.09524E+00	-4.93125E+00
2.98347E-01	3.07930E-01	2.09446E+00	-4.90952E+00
4.15587E-01	1.07317E-01	2.09368E+00	-4.88796E+00
4.10043E-01	-1.24950E-01	2.09291E+00	-4.86656E+00
2.83745E-01	-3.19276E-01	2.09214E+00	-4.84530E+00
