jMRUI Data Textfile
 
Filename: 2HG.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
3.48545E+00	-2.66156E-01	1.77891E+00	-5.21934E+00
1.82599E+00	-2.67049E+00	1.77420E+00	-5.18077E+00
-9.40669E-01	-2.54121E+00	1.76967E+00	-5.14288E+00
-2.11539E+00	-2.65202E-01	1.76531E+00	-5.10567E+00
-7.46493E-01	1.68280E+00	1.76111E+00	-5.06911E+00
1.52015E+00	1.33586E+00	1.75706E+00	-5.03319E+00
2.25667E+00	-8.36648E-01	1.75316E+00	-4.99788E+00
7.23908E-01	-2.57478E+00	1.74940E+00	-4.96316E+00
-1.53587E+00	-2.20357E+00	1.74577E+00	-4.92902E+00
-2.41351E+00	-2.15876E-01	1.74226E+00	-4.89544E+00
-1.32882E+00	1.43002E+00	1.73889E+00	-4.86240E+00
3.98020E-01	1.35735E+00	1.73563E+00	-4.82990E+00
1.05483E+00	-1.38191E-03	1.73249E+00	-4.79791E+00
2.12138E-01	-1.07950E+00	1.72946E+00	-4.76642E+00
-1.07423E+00	-8.28342E-01	1.72654E+00	-4.73543E+00
-1.49555E+00	3.87599E-01	1.72371E+00	-4.70491E+00
-7.44416E-01	1.37327E+00	1.72097E+00	-4.67485E+00
3.92066E-01	1.34449E+00	1.71833E+00	-4.64524E+00
9.56307E-01	5.42879E-01	1.71578E+00	-4.61607E+00
6.93339E-01	-2.05876E-01	1.71332E+00	-4.58732E+00
9.37983E-02	-3.42502E-01	1.71095E+00	-4.55900E+00
-2.19350E-01	2.93683E-02	1.70865E+00	-4.53108E+00
-4.03966E-02	4.20693E-01	1.70643E+00	-4.50355E+00
3.83224E-01	4.64287E-01	1.70428E+00	-4.47642E+00
