jMRUI Data Textfile
 
Filename: Ala.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
2.95103E+00	1.28406E-02	1.61704E+00	-3.02179E+00
1.15170E+00	-2.46837E+00	1.61498E+00	-3.00479E+00
-1.58634E+00	-1.58900E+00	1.61297E+00	-2.98800E+00
-1.47614E+00	1.05022E+00	1.61101E+00	-2.97142E+00
9.78970E-01	1.49241E+00	1.60910E+00	-2.95503E+00
1.94103E+00	-8.11918E-01	1.60723E+00	-2.93883E+00
-9.87570E-02	-2.38993E+00	1.60542E+00	-2.92282E+00
-2.25654E+00	-9.05948E-01	1.60364E+00	-2.90701E+00
-1.56169E+00	1.54478E+00	1.60191E+00	-2.89137E+00
8.16906E-01	1.61445E+00	1.60022E+00	-2.87592E+00
1.44235E+00	-4.93790E-01	1.59857E+00	-2.86064E+00
-3.92307E-01	-1.51858E+00	1.59696E+00	-2.84553E+00
-1.81458E+00	4.34258E-02	1.59539E+00	-2.83059E+00
-6.66739E-01	1.87907E+00	1.59385E+00	-2.81583E+00
1.43850E+00	1.34747E+00	1.59235E+00	-2.80122E+00
1.58924E+00	-7.38875E-01	1.59089E+00	-2.78678E+00
-2.31406E-01	-1.43867E+00	1.58945E+00	-2.77249E+00
-1.28511E+00	4.03201E-02	1.58803E+00	-2.75836E+00
-1.21140E-01	1.35001E+00	1.58665E+00	-2.74437E+00
1.43732E+00	5.27256E-01	1.58530E+00	-2.73053E+00
1.07386E+00	-1.22475E+00	1.58397E+00	-2.71683E+00
-6.89715E-01	-1.41271E+00	1.58267E+00	-2.70327E+00
-1.37800E+00	1.36806E-01	1.58140E+00	-2.68984E+00
-1.71784E-01	1.15952E+00	1.58016E+00	-2.67656E+00
1.03622E+00	2.98119E-01	1.57895E+00	-2.66341E+00
4.90974E-01	-1.03603E+00	1.57775E+00	-2.65038E+00
-9.41296E-01	-8.39003E-01	1.57659E+00	-2.63748E+00
-1.15811E+00	5.97721E-01	1.57545E+00	-2.62471E+00
1.19816E-01	1.22767E+00	1.57433E+00	-2.61206E+00
1.05458E+00	2.48026E-01	1.57324E+00	-2.59954E+00
4.13458E-01	-8.42537E-01	1.57217E+00	-2.58713E+00
-7.33402E-01	-5.07064E-01	1.57113E+00	-2.57485E+00
-6.80054E-01	6.56633E-01	1.57010E+00	-2.56269E+00
4.55884E-01	9.03788E-01	1.56908E+00	-2.55064E+00
1.01401E+00	-1.08617E-01	1.56809E+00	-2.53870E+00
