jMRUI Data Textfile
 
Filename: GABA.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
3.75420E+00	-2.04303E-01	1.79553E+00	-4.09970E+00
2.04101E+00	-2.98642E+00	1.79540E+00	-4.08304E+00
-1.06365E+00	-3.19185E+00	1.79528E+00	-4.06651E+00
-2.86571E+00	-9.52513E-01	1.79516E+00	-4.05009E+00
-2.12293E+00	1.51223E+00	1.79505E+00	-4.03380E+00
1.69203E-02	2.15058E+00	1.79493E+00	-4.01761E+00
1.41952E+00	9.03935E-01	1.79481E+00	-4.00153E+00
1.08934E+00	-5.95024E-01	1.79470E+00	-3.98555E+00
-1.22722E-01	-8.75168E-01	1.79461E+00	-3.96968E+00
-7.05971E-01	-9.48155E-03	1.79452E+00	-3.95392E+00
-1.18947E-01	7.51645E-01	1.79445E+00	-3.93828E+00
8.17220E-01	4.60613E-01	1.79439E+00	-3.92275E+00
9.61296E-01	-5.79410E-01	1.79432E+00	-3.90733E+00
7.22025E-02	-1.26393E+00	1.79425E+00	-3.89201E+00
-1.03096E+00	-8.77690E-01	1.79418E+00	-3.87679E+00
-1.36218E+00	2.53342E-01	1.79412E+00	-3.86166E+00
-6.85488E-01	1.18306E+00	1.79407E+00	-3.84664E+00
4.00712E-01	1.24759E+00	1.79403E+00	-3.83171E+00
1.10600E+00	5.34875E-01	1.79399E+00	-3.81689E+00
1.07468E+00	-3.70662E-01	1.79396E+00	-3.80217E+00
4.85831E-01	-9.29935E-01	1.79393E+00	-3.78755E+00
-2.48077E-01	-9.44181E-01	1.79390E+00	-3.77302E+00
-7.70229E-01	-5.07130E-01	1.79387E+00	-3.75858E+00
-8.73170E-01	1.38462E-01	1.79385E+00	-3.74423E+00
-5.19041E-01	6.77412E-01	1.79384E+00	-3.72997E+00
1.08763E-01	8.12603E-01	1.79383E+00	-3.71581E+00
6.29915E-01	4.50924E-01	1.79383E+00	-3.70174E+00
6.94375E-01	-1.59471E-01	1.79383E+00	-3.68777E+00
2.83101E-01	-5.64540E-01	1.79383E+00	-3.67388E+00
-2.35552E-01	-4.79367E-01	1.79383E+00	-3.66008E+00
-4.22796E-01	-5.53852E-02	1.79383E+00	-3.64636E+00
-1.82594E-01	2.64050E-01	1.79384E+00	-3.63272E+00
1.56446E-01	1.87553E-01	1.79386E+00	-3.61916E+00
1.95553E-01	-1.33312E-01	1.79388E+00	-3.60570E+00
-1.06474E-01	-2.79760E-01	1.79392E+00	-3.59232E+00
-3.88450E-01	-2.88378E-02	1.79395E+00	-3.57903E+00
-2.78744E-01	3.89683E-01	1.79397E+00	-3.56582E+00
1.90722E-01	5.21898E-01	1.79400E+00	-3.55269E+00
5.90037E-01	1.67337E-01	1.79403E+00	-3.53963E+00
5.15967E-01	-3.94445E-01	1.79406E+00	-3.52665E+00
-1.49302E-03	-6.63572E-01	1.79410E+00	-3.51374E+00
-5.21409E-01	-3.99003E-01	1.79415E+00	-3.50092E+00
-6.09387E-01	1.61841E-01	1.79420E+00	-3.48818E+00
-2.28661E-01	5.42117E-01	1.79425E+00	-3.47552E+00
2.62313E-01	4.64718E-01	1.79429E+00	-3.46294E+00
4.65486E-01	6.60534E-02	1.79433E+00	-3.45042E+00
2.85493E-01	-2.82713E-01	1.79436E+00	-3.43796E+00
-4.65859E-02	-3.29030E-01	1.79441E+00	-3.42556E+00
-2.34847E-01	-1.23217E-01	1.79448E+00	-3.41323E+00
-1.79566E-01	9.60609E-02	1.79456E+00	-3.40098E+00
-8.59144E-03	1.50337E-01	1.79465E+00	-3.38882E+00
9.44902E-02	5.45285E-02	1.79474E+00	-3.37674E+00
6.34514E-02	-5.28141E-02	1.79483E+00	-3.36474E+00
-2.84105E-02	-6.66237E-02	1.79490E+00	-3.35281E+00
-7.39353E-02	2.56248E-03	1.79496E+00	-3.34095E+00
-3.57736E-02	7.10784E-02	1.79501E+00	-3.32915E+00
4.07073E-02	7.42953E-02	1.79506E+00	-3.31739E+00
8.68252E-02	1.48231E-02	1.79511E+00	-3.30568E+00
6.94034E-02	-5.70306E-02	1.79518E+00	-3.29403E+00
4.81266E-03	-9.04599E-02	1.79526E+00	-3.28244E+00
-6.28338E-02	-6.57390E-02	1.79537E+00	-3.27092E+00
-9.11845E-02	5.22480E-04	1.79549E+00	-3.25947E+00
-6.18719E-02	6.71839E-02	1.79561E+00	-3.24810E+00
8.20852E-03	9.08069E-02	1.79574E+00	-3.23682E+00
7.31444E-02	5.32175E-02	1.79585E+00	-3.22561E+00
8.63914E-02	-2.12627E-02	1.79594E+00	-3.21446E+00
3.69414E-02	-7.83754E-02	1.79601E+00	-3.20336E+00
-3.75578E-02	-7.46224E-02	1.79608E+00	-3.19231E+00
-7.85042E-02	-1.44204E-02	1.79615E+00	-3.18130E+00
-5.51238E-02	5.18618E-02	1.79624E+00	-3.17033E+00
9.34801E-03	7.07338E-02	1.79634E+00	-3.15942E+00
5.92265E-02	3.12366E-02	1.79646E+00	-3.14857E+00
5.57720E-02	-2.84050E-02	1.79659E+00	-3.13780E+00
8.44482E-03	-5.76192E-02	1.79671E+00	-3.12709E+00
-3.87055E-02	-3.74299E-02	1.79683E+00	-3.11644E+00
-4.86510E-02	8.29036E-03	1.79694E+00	-3.10585E+00
-2.05734E-02	3.97169E-02	1.79705E+00	-3.09530E+00
1.66823E-02	3.63541E-02	1.79716E+00	-3.08481E+00
3.41521E-02	8.74651E-03	1.79727E+00	-3.07437E+00
2.49678E-02	-1.77745E-02	1.79739E+00	-3.06398E+00
2.75913E-03	-2.62292E-02	1.79751E+00	-3.05365E+00
-1.49384E-02	-1.69977E-02	1.79764E+00	-3.04338E+00
-1.95581E-02	-7.89879E-04	1.79776E+00	-3.03316E+00
-1.24669E-02	1.19721E-02	1.79787E+00	-3.02299E+00
2.40982E-04	1.57308E-02	1.79799E+00	-3.01287E+00
1.13467E-02	9.54022E-03	1.79811E+00	-3.00279E+00
1.41775E-02	-2.94291E-03	1.79824E+00	-2.99277E+00
5.94196E-03	-1.34321E-02	1.79837E+00	-2.98279E+00
-8.27807E-03	-1.30832E-02	1.79850E+00	-2.97287E+00
-1.68580E-02	-2.74827E-04	1.79863E+00	-2.96300E+00
