jMRUI Data Textfile
 
Filename: GSH.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
8.84820E+00	-8.80184E-02	1.02161E+01	-2.15670E+01
6.49170E+00	-3.52966E+00	9.69517E+00	-2.11518E+01
1.54865E+00	-5.09778E+00	9.24055E+00	-2.07437E+01
-2.52499E+00	-4.36224E+00	8.84148E+00	-2.03460E+01
-3.36027E+00	-2.30687E+00	8.48948E+00	-1.99606E+01
-1.34723E+00	-4.57708E-01	8.17770E+00	-1.95885E+01
1.05210E+00	2.26122E-01	7.90050E+00	-1.92300E+01
1.56575E+00	-1.50008E-01	7.65316E+00	-1.88853E+01
-7.44252E-02	-7.74394E-01	7.43170E+00	-1.85542E+01
-2.21285E+00	-8.90098E-01	7.23274E+00	-1.82363E+01
-2.94177E+00	-3.01958E-01	7.05341E+00	-1.79312E+01
-1.75082E+00	6.64586E-01	6.89126E+00	-1.76384E+01
2.47424E-01	1.54016E+00	6.74421E+00	-1.73571E+01
1.52026E+00	2.02100E+00	6.61045E+00	-1.70869E+01
1.50713E+00	2.01653E+00	6.48844E+00	-1.68272E+01
9.44303E-01	1.54728E+00	6.37687E+00	-1.65773E+01
9.60006E-01	6.91959E-01	6.27458E+00	-1.63368E+01
1.90003E+00	-3.75192E-01	6.18057E+00	-1.61051E+01
2.99135E+00	-1.38009E+00	6.09397E+00	-1.58817E+01
3.08927E+00	-2.06677E+00	6.01403E+00	-1.56661E+01
1.75121E+00	-2.35115E+00	5.94006E+00	-1.54578E+01
-3.52827E-01	-2.33806E+00	5.87149E+00	-1.52566E+01
-2.01061E+00	-2.15802E+00	5.80779E+00	-1.50619E+01
-2.44580E+00	-1.79309E+00	5.74853E+00	-1.48735E+01
-1.83270E+00	-1.10606E+00	5.69328E+00	-1.46910E+01
-9.74709E-01	-8.02853E-02	5.64169E+00	-1.45140E+01
-5.39251E-01	9.80052E-01	5.59344E+00	-1.43422E+01
-5.68042E-01	1.55849E+00	5.54825E+00	-1.41755E+01
-6.31900E-01	1.32834E+00	5.50586E+00	-1.40135E+01
-3.69881E-01	5.03650E-01	5.46605E+00	-1.38560E+01
1.53766E-01	-2.33807E-01	5.42860E+00	-1.37027E+01
5.85112E-01	-2.53309E-01	5.39332E+00	-1.35536E+01
7.03482E-01	4.69141E-01	5.36004E+00	-1.34083E+01
6.63526E-01	1.26196E+00	5.32860E+00	-1.32667E+01
8.05545E-01	1.26986E+00	5.29889E+00	-1.31286E+01
1.23615E+00	1.71324E-01	5.27077E+00	-1.29938E+01
1.61988E+00	-1.50348E+00	5.24414E+00	-1.28622E+01
1.42213E+00	-2.74176E+00	5.21889E+00	-1.27337E+01
4.07959E-01	-2.81057E+00	5.19493E+00	-1.26081E+01
-1.05837E+00	-1.78611E+00	5.17216E+00	-1.24853E+01
-2.20693E+00	-4.29563E-01	5.15049E+00	-1.23652E+01
-2.41460E+00	4.50406E-01	5.12986E+00	-1.22477E+01
-1.66639E+00	5.91405E-01	5.11019E+00	-1.21326E+01
-5.50386E-01	3.51888E-01	5.09143E+00	-1.20198E+01
2.01238E-01	2.71050E-01	5.07354E+00	-1.19094E+01
2.48151E-01	5.56071E-01	5.05645E+00	-1.18011E+01
-1.63466E-01	9.50485E-01	5.04011E+00	-1.16949E+01
-4.68739E-01	1.04971E+00	5.02449E+00	-1.15907E+01
-2.64997E-01	7.19444E-01	5.00954E+00	-1.14884E+01
3.86543E-01	2.12697E-01	4.99524E+00	-1.13880E+01
1.05209E+00	-1.01076E-01	4.98153E+00	-1.12894E+01
1.29456E+00	-1.06097E-01	4.96839E+00	-1.11926E+01
1.00218E+00	-4.18823E-02	4.95576E+00	-1.10975E+01
