jMRUI Data Textfile
 
Filename: Glc.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
6.59710E+00	-5.38599E-02	2.17215E+01	-2.75544E+01
5.83657E+00	-2.67553E+00	1.93047E+01	-2.80297E+01
3.97871E+00	-4.60447E+00	1.71825E+01	-2.80315E+01
1.50592E+00	-5.42356E+00	1.53713E+01	-2.77391E+01
-9.71898E-01	-5.00922E+00	1.38453E+01	-2.72753E+01
-2.87983E+00	-3.54780E+00	1.25645E+01	-2.67201E+01
-3.82256E+00	-1.46931E+00	1.14878E+01	-2.61236E+01
-3.67281E+00	6.78915E-01	1.05785E+01	-2.55156E+01
-2.58324E+00	2.38088E+00	9.80640E+00	-2.49135E+01
-9.23835E-01	3.28116E+00	9.14736E+00	-2.43276E+01
8.32989E-01	3.26131E+00	8.58182E+00	-2.37639E+01
2.24411E+00	2.44702E+00	8.09350E+00	-2.32257E+01
3.00749E+00	1.14994E+00	7.66885E+00	-2.27142E+01
3.02543E+00	-2.34210E-01	7.29696E+00	-2.22289E+01
2.40669E+00	-1.33940E+00	6.96918E+00	-2.17687E+01
1.41306E+00	-1.92295E+00	6.67852E+00	-2.13320E+01
3.70490E-01	-1.91554E+00	6.41923E+00	-2.09173E+01
-4.26949E-01	-1.41853E+00	6.18668E+00	-2.05227E+01
-7.93530E-01	-6.55174E-01	5.97724E+00	-2.01463E+01
-6.89729E-01	1.05878E-01	5.78825E+00	-1.97864E+01
-2.15554E-01	6.30564E-01	5.61772E+00	-1.94417E+01
4.33609E-01	7.80634E-01	5.46414E+00	-1.91110E+01
1.03230E+00	5.41486E-01	5.32617E+00	-1.87940E+01
1.39106E+00	1.29799E-02	5.20248E+00	-1.84903E+01
1.40529E+00	-6.29910E-01	5.09159E+00	-1.82000E+01
1.07577E+00	-1.19238E+00	4.99176E+00	-1.79230E+01
4.98759E-01	-1.51434E+00	4.90098E+00	-1.76588E+01
-1.67970E-01	-1.50996E+00	4.81740E+00	-1.74065E+01
-7.51420E-01	-1.18372E+00	4.73969E+00	-1.71647E+01
-1.10860E+00	-6.21855E-01	4.66718E+00	-1.69320E+01
-1.15955E+00	3.56181E-02	4.59972E+00	-1.67071E+01
-9.01566E-01	6.32914E-01	4.53757E+00	-1.64893E+01
-4.03781E-01	1.03624E+00	4.48093E+00	-1.62788E+01
2.14146E-01	1.16256E+00	4.42946E+00	-1.60758E+01
8.12460E-01	9.94155E-01	4.38237E+00	-1.58804E+01
1.26288E+00	5.77621E-01	4.33878E+00	-1.56923E+01
1.47493E+00	9.48149E-03	4.29805E+00	-1.55110E+01
1.41202E+00	-5.87055E-01	4.25974E+00	-1.53360E+01
1.09567E+00	-1.08866E+00	4.22357E+00	-1.51666E+01
5.97999E-01	-1.39677E+00	4.18935E+00	-1.50025E+01
2.49826E-02	-1.45597E+00	4.15694E+00	-1.48434E+01
-5.06081E-01	-1.26338E+00	4.12624E+00	-1.46888E+01
-8.90355E-01	-8.67594E-01	4.09713E+00	-1.45386E+01
-1.05652E+00	-3.57445E-01	4.06951E+00	-1.43925E+01
-9.80700E-01	1.56934E-01	4.04330E+00	-1.42502E+01
-6.90883E-01	5.67576E-01	4.01842E+00	-1.41117E+01
-2.60362E-01	7.91643E-01	3.99477E+00	-1.39766E+01
2.08623E-01	7.89384E-01	3.97229E+00	-1.38449E+01
6.07872E-01	5.72665E-01	3.95090E+00	-1.37165E+01
8.47873E-01	2.01989E-01	3.93053E+00	-1.35911E+01
8.78533E-01	-2.27943E-01	3.91113E+00	-1.34686E+01
7.00716E-01	-6.10866E-01	3.89264E+00	-1.33489E+01
3.65560E-01	-8.54779E-01	3.87499E+00	-1.32320E+01
-3.85794E-02	-9.04297E-01	3.85815E+00	-1.31176E+01
-4.08696E-01	-7.54030E-01	3.84206E+00	-1.30057E+01
-6.53306E-01	-4.49200E-01	3.82667E+00	-1.28962E+01
-7.15764E-01	-7.32025E-02	3.81195E+00	-1.27891E+01
-5.88242E-01	2.74656E-01	3.79786E+00	-1.26841E+01
-3.12844E-01	5.05532E-01	3.78436E+00	-1.25812E+01
3.06206E-02	5.64264E-01	3.77141E+00	-1.24804E+01
3.46723E-01	4.43320E-01	3.75900E+00	-1.23816E+01
5.50451E-01	1.83685E-01	3.74709E+00	-1.22847E+01
5.89874E-01	-1.37395E-01	3.73565E+00	-1.21896E+01
4.59420E-01	-4.28351E-01	3.72467E+00	-1.20963E+01
2.00173E-01	-6.08591E-01	3.71410E+00	-1.20047E+01
-1.12593E-01	-6.30285E-01	3.70394E+00	-1.19148E+01
-3.91058E-01	-4.90578E-01	3.69416E+00	-1.18265E+01
-5.59217E-01	-2.31119E-01	3.68474E+00	-1.17398E+01
-5.73490E-01	7.46205E-02	3.67567E+00	-1.16545E+01
-4.33754E-01	3.42424E-01	3.66692E+00	-1.15707E+01
-1.82077E-01	5.00796E-01	3.65849E+00	-1.14884E+01
1.10025E-01	5.10064E-01	3.65036E+00	-1.14074E+01
3.62014E-01	3.72307E-01	3.64250E+00	-1.13277E+01
5.06573E-01	1.29418E-01	3.63492E+00	-1.12493E+01
5.07343E-01	-1.49509E-01	3.62759E+00	-1.11722E+01
3.67733E-01	-3.87758E-01	3.62051E+00	-1.10963E+01
1.28604E-01	-5.21852E-01	3.61367E+00	-1.10215E+01
-1.44085E-01	-5.18029E-01	3.60706E+00	-1.09479E+01
-3.77684E-01	-3.80011E-01	3.60066E+00	-1.08755E+01
-5.12346E-01	-1.46520E-01	3.59447E+00	-1.08041E+01
-5.16152E-01	1.20388E-01	3.58846E+00	-1.07338E+01
-3.92148E-01	3.52620E-01	3.58264E+00	-1.06645E+01
-1.75847E-01	4.93887E-01	3.57698E+00	-1.05962E+01
7.55655E-02	5.13639E-01	3.57150E+00	-1.05289E+01
2.99110E-01	4.13453E-01	3.56619E+00	-1.04625E+01
4.42299E-01	2.24751E-01	3.56104E+00	-1.03971E+01
4.75832E-01	-9.83597E-04	3.55605E+00	-1.03325E+01
3.99468E-01	-2.06486E-01	3.55122E+00	-1.02689E+01
2.40073E-01	-3.43538E-01	3.54653E+00	-1.02061E+01
4.29649E-02	-3.84332E-01	3.54198E+00	-1.01441E+01
-1.40815E-01	-3.26930E-01	3.53755E+00	-1.00830E+01
-2.67681E-01	-1.93727E-01	3.53323E+00	-1.00227E+01
-3.11805E-01	-2.38687E-02	3.52901E+00	-9.96317E+00
-2.70044E-01	1.37880E-01	3.52491E+00	-9.90439E+00
-1.60829E-01	2.52811E-01	3.52092E+00	-9.84634E+00
-1.76550E-02	2.97452E-01	3.51704E+00	-9.78902E+00
1.20609E-01	2.68086E-01	3.51326E+00	-9.73241E+00
2.19979E-01	1.79971E-01	3.50959E+00	-9.67648E+00
2.59490E-01	6.18320E-02	3.50601E+00	-9.62124E+00
2.35369E-01	-5.25847E-02	3.50253E+00	-9.56667E+00
1.60515E-01	-1.33448E-01	3.49915E+00	-9.51274E+00
5.98611E-02	-1.62100E-01	3.49585E+00	-9.45946E+00
-3.69069E-02	-1.34889E-01	3.49265E+00	-9.40680E+00
-1.03249E-01	-6.29413E-02	3.48953E+00	-9.35477E+00
-1.22220E-01	3.17288E-02	3.48648E+00	-9.30335E+00
-9.00798E-02	1.22507E-01	3.48350E+00	-9.25252E+00
-1.63482E-02	1.85144E-01	3.48057E+00	-9.20227E+00
7.93780E-02	2.03598E-01	3.47770E+00	-9.15258E+00
1.72840E-01	1.73496E-01	3.47489E+00	-9.10342E+00
2.41271E-01	1.02530E-01	3.47214E+00	-9.05479E+00
2.68788E-01	7.91742E-03	3.46947E+00	-9.00668E+00
2.49754E-01	-8.81618E-02	3.46687E+00	-8.95908E+00
1.89571E-01	-1.64038E-01	3.46434E+00	-8.91199E+00
1.02835E-01	-2.03521E-01	3.46188E+00	-8.86540E+00
9.49889E-03	-1.99314E-01	3.45948E+00	-8.81932E+00
-6.98963E-02	-1.54158E-01	3.45715E+00	-8.77373E+00
-1.18864E-01	-7.96917E-02	3.45487E+00	-8.72864E+00
-1.28413E-01	6.64506E-03	3.45262E+00	-8.68402E+00
-9.85966E-02	8.57709E-02	3.45040E+00	-8.63986E+00
-3.80041E-02	1.41271E-01	3.44822E+00	-8.59614E+00
3.86214E-02	1.62866E-01	3.44607E+00	-8.55285E+00
1.14013E-01	1.48333E-01	3.44397E+00	-8.50997E+00
1.72350E-01	1.03547E-01	3.44191E+00	-8.46751E+00
2.02763E-01	4.07032E-02	3.43992E+00	-8.42545E+00
2.01548E-01	-2.48119E-02	3.43797E+00	-8.38381E+00
1.72659E-01	-7.81994E-02	3.43607E+00	-8.34258E+00
1.26392E-01	-1.08720E-01	3.43421E+00	-8.30175E+00
7.65926E-02	-1.12169E-01	3.43239E+00	-8.26132E+00
3.70352E-02	-9.16846E-02	3.43060E+00	-8.22127E+00
1.78600E-02	-5.67349E-02	3.42884E+00	-8.18160E+00
2.29140E-02	-2.04785E-02	3.42712E+00	-8.14229E+00
4.87414E-02	3.86237E-03	3.42543E+00	-8.10335E+00
8.54594E-02	6.71764E-03	3.42378E+00	-8.06477E+00
1.19426E-01	-1.49841E-02	3.42215E+00	-8.02655E+00
1.37048E-01	-5.66420E-02	3.42055E+00	-7.98867E+00
1.28771E-01	-1.06886E-01	3.41898E+00	-7.95114E+00
9.21720E-02	-1.50431E-01	3.41743E+00	-7.91394E+00
3.32623E-02	-1.72225E-01	3.41590E+00	-7.87705E+00
