jMRUI Data Textfile
 
Filename: Gln.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
5.65812E+00	-9.29177E-02	2.91552E+00	-2.78763E+00
3.28274E+00	-1.08430E+00	2.91413E+00	-2.75522E+00
-1.37125E+00	-1.41700E+00	2.91278E+00	-2.72305E+00
-4.19549E+00	-9.03157E-01	2.91147E+00	-2.69110E+00
-3.04524E+00	6.77574E-02	2.91021E+00	-2.65937E+00
5.06568E-01	6.79293E-01	2.90901E+00	-2.62787E+00
2.98558E+00	3.05700E-01	2.90786E+00	-2.59659E+00
2.35817E+00	-8.13867E-01	2.90675E+00	-2.56554E+00
-3.78420E-01	-1.58800E+00	2.90567E+00	-2.53471E+00
-2.58257E+00	-1.01317E+00	2.90462E+00	-2.50409E+00
-2.58227E+00	7.36308E-01	2.90360E+00	-2.47367E+00
-8.95580E-01	2.24257E+00	2.90262E+00	-2.44344E+00
7.75129E-01	2.08968E+00	2.90166E+00	-2.41339E+00
1.33123E+00	3.02721E-01	2.90074E+00	-2.38352E+00
9.79697E-01	-1.52483E+00	2.89986E+00	-2.35382E+00
4.96426E-01	-1.69760E+00	2.89901E+00	-2.32431E+00
2.34521E-01	-9.17955E-02	2.89819E+00	-2.29497E+00
5.93721E-03	1.67559E+00	2.89740E+00	-2.26580E+00
-3.09099E-01	1.81804E+00	2.89662E+00	-2.23679E+00
-4.13384E-01	1.36417E-01	2.89588E+00	-2.20792E+00
3.70131E-03	-1.80874E+00	2.89516E+00	-2.17921E+00
6.87969E-01	-2.25935E+00	2.89448E+00	-2.15063E+00
9.12130E-01	-9.44417E-01	2.89383E+00	-2.12221E+00
2.45485E-01	7.88224E-01	2.89322E+00	-2.09393E+00
-8.74337E-01	1.41302E+00	2.89262E+00	-2.06579E+00
-1.48385E+00	6.76059E-01	2.89205E+00	-2.03780E+00
-1.03836E+00	-3.82480E-01	2.89149E+00	-2.00993E+00
4.82505E-02	-6.73517E-01	2.89095E+00	-1.98218E+00
8.37236E-01	-1.33681E-01	2.89043E+00	-1.95454E+00
7.84080E-01	4.49104E-01	2.88994E+00	-1.92702E+00
1.74067E-01	4.72421E-01	2.88948E+00	-1.89962E+00
-3.04044E-01	1.48007E-01	2.88903E+00	-1.87233E+00
-2.87148E-01	6.70684E-02	2.88860E+00	-1.84515E+00
2.17552E-02	3.46331E-01	2.88820E+00	-1.81807E+00
2.43131E-01	4.50470E-01	2.88780E+00	-1.79109E+00
2.73623E-01	-8.65878E-02	2.88743E+00	-1.76420E+00
2.74098E-01	-9.42130E-01	2.88708E+00	-1.73740E+00
3.14401E-01	-1.22285E+00	2.88676E+00	-1.71069E+00
2.16190E-01	-4.56093E-01	2.88646E+00	-1.68407E+00
-1.72606E-01	7.64444E-01	2.88618E+00	-1.65755E+00
-6.46688E-01	1.27911E+00	2.88591E+00	-1.63110E+00
-7.51288E-01	5.45869E-01	2.88565E+00	-1.60474E+00
-2.84424E-01	-7.51148E-01	2.88541E+00	-1.57845E+00
3.89521E-01	-1.34894E+00	2.88518E+00	-1.55222E+00
6.45332E-01	-6.58173E-01	2.88498E+00	-1.52606E+00
2.44912E-01	6.68642E-01	2.88480E+00	-1.49996E+00
-3.85905E-01	1.41183E+00	2.88464E+00	-1.47394E+00
-5.89676E-01	9.71224E-01	2.88450E+00	-1.44798E+00
-1.67476E-01	-1.38570E-01	2.88437E+00	-1.42208E+00
4.26282E-01	-9.00041E-01	2.88424E+00	-1.39624E+00
5.93245E-01	-7.87578E-01	2.88413E+00	-1.37044E+00
2.31414E-01	-1.34228E-01	2.88403E+00	-1.34469E+00
-2.00422E-01	3.71085E-01	2.88396E+00	-1.31899E+00
-2.38459E-01	3.94613E-01	2.88390E+00	-1.29332E+00
6.36442E-02	1.34677E-01	2.88386E+00	-1.26770E+00
2.39503E-01	-7.39834E-02	2.88384E+00	-1.24212E+00
-1.18847E-03	-1.53220E-01	2.88384E+00	-1.21658E+00
-4.02760E-01	-2.31246E-01	2.88384E+00	-1.19108E+00
