jMRUI Data Textfile
 
Filename: Lac.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
2.77291E+00	2.09305E-02	1.71342E+00	-3.23135E+00
9.24664E-01	-2.33089E+00	1.70574E+00	-3.20493E+00
-1.65136E+00	-1.15036E+00	1.69834E+00	-3.17903E+00
-1.03462E+00	1.44594E+00	1.69122E+00	-3.15364E+00
1.56224E+00	1.29170E+00	1.68435E+00	-3.12874E+00
1.92104E+00	-1.30612E+00	1.67773E+00	-3.10431E+00
-5.27249E-01	-2.25936E+00	1.67135E+00	-3.08034E+00
-1.99901E+00	-1.83914E-01	1.66519E+00	-3.05681E+00
-3.94835E-01	1.60138E+00	1.65925E+00	-3.03371E+00
1.55952E+00	4.17249E-01	1.65351E+00	-3.01103E+00
7.58857E-01	-1.69017E+00	1.64797E+00	-2.98875E+00
-1.48059E+00	-1.34683E+00	1.64262E+00	-2.96687E+00
-1.67387E+00	8.83029E-01	1.63745E+00	-2.94538E+00
3.58557E-01	1.56430E+00	1.63244E+00	-2.92426E+00
1.38716E+00	-1.80807E-01	1.62759E+00	-2.90349E+00
-8.32578E-02	-1.46397E+00	1.62290E+00	-2.88308E+00
-1.61234E+00	-2.75940E-01	1.61835E+00	-2.86301E+00
-7.91700E-01	1.47111E+00	1.61394E+00	-2.84326E+00
1.05223E+00	1.09441E+00	1.60966E+00	-2.82383E+00
1.09708E+00	-6.96551E-01	1.60552E+00	-2.80470E+00
-5.62799E-01	-1.07729E+00	1.60149E+00	-2.78587E+00
-1.22873E+00	4.39099E-01	1.59760E+00	-2.76732E+00
1.10228E-01	1.39028E+00	1.59384E+00	-2.74905E+00
1.32146E+00	3.14561E-01	1.59019E+00	-2.73107E+00
5.80833E-01	-1.06218E+00	1.58667E+00	-2.71338E+00
-8.48788E-01	-6.56197E-01	1.58324E+00	-2.69595E+00
-7.35286E-01	7.62157E-01	1.57991E+00	-2.67880E+00
6.46017E-01	9.22167E-01	1.57666E+00	-2.66190E+00
1.08769E+00	-3.76546E-01	1.57349E+00	-2.64525E+00
-4.95712E-02	-1.08269E+00	1.57040E+00	-2.62882E+00
-9.53441E-01	-1.71712E-01	1.56739E+00	-2.61261E+00
-2.84231E-01	8.51149E-01	1.56447E+00	-2.59663E+00
8.08145E-01	4.12936E-01	1.56164E+00	-2.58086E+00
6.03651E-01	-7.18822E-01	1.55888E+00	-2.56531E+00
-5.21054E-01	-7.62407E-01	1.55620E+00	-2.54997E+00
-8.05184E-01	2.88389E-01	1.55359E+00	-2.53484E+00
1.15846E-01	7.71820E-01	1.55105E+00	-2.51991E+00
7.48524E-01	5.55607E-03	1.54858E+00	-2.50517E+00
1.46419E-01	-7.40887E-01	1.54617E+00	-2.49062E+00
-6.85496E-01	-3.18416E-01	1.54382E+00	-2.47626E+00
-4.60665E-01	5.58366E-01	1.54154E+00	-2.46209E+00
4.08579E-01	5.32444E-01	1.53931E+00	-2.44810E+00
5.61227E-01	-2.83565E-01	1.53714E+00	-2.43428E+00
-1.72783E-01	-5.87177E-01	1.53501E+00	-2.42064E+00
-6.04099E-01	4.47855E-02	1.53293E+00	-2.40716E+00
-9.52390E-02	5.80738E-01	1.53090E+00	-2.39384E+00
5.13957E-01	2.13973E-01	1.52892E+00	-2.38068E+00
2.97022E-01	-4.30577E-01	1.52698E+00	-2.36767E+00
-3.47616E-01	-3.58389E-01	1.52510E+00	-2.35481E+00
-4.08602E-01	2.58239E-01	1.52325E+00	-2.34210E+00
1.56532E-01	4.38828E-01	1.52145E+00	-2.32953E+00
4.40028E-01	-5.33551E-02	1.51969E+00	-2.31711E+00
3.84952E-02	-4.18193E-01	1.51797E+00	-2.30482E+00
-3.82696E-01	-1.18625E-01	1.51629E+00	-2.29267E+00
-1.89589E-01	3.33338E-01	1.51465E+00	-2.28065E+00
2.68638E-01	2.45253E-01	1.51305E+00	-2.26877E+00
2.78853E-01	-1.97043E-01	1.51149E+00	-2.25702E+00
-1.28892E-01	-2.94770E-01	1.50997E+00	-2.24539E+00
-3.01092E-01	6.35462E-02	1.50847E+00	-2.23390E+00
-4.36734E-03	2.95466E-01	1.50700E+00	-2.22253E+00
2.69851E-01	6.94740E-02	1.50557E+00	-2.21127E+00
1.18379E-01	-2.27470E-01	1.50416E+00	-2.20013E+00
-1.82894E-01	-1.47940E-01	1.50278E+00	-2.18911E+00
-1.68971E-01	1.43329E-01	1.50142E+00	-2.17819E+00
1.00969E-01	1.88193E-01	1.50010E+00	-2.16739E+00
1.96956E-01	-4.94402E-02	1.49880E+00	-2.15669E+00
1.66165E-03	-1.85322E-01	1.49753E+00	-2.14610E+00
-1.59476E-01	-3.77724E-02	1.49627E+00	-2.13560E+00
-5.89571E-02	1.34748E-01	1.49505E+00	-2.12521E+00
1.14918E-01	7.75936E-02	1.49386E+00	-2.11491E+00
9.79353E-02	-8.98268E-02	1.49269E+00	-2.10471E+00
-5.43981E-02	-1.09389E-01	1.49155E+00	-2.09461E+00
-1.03309E-01	1.92449E-02	1.49044E+00	-2.08461E+00
-3.10068E-03	8.69250E-02	1.48934E+00	-2.07471E+00
7.34123E-02	1.46612E-02	1.48826E+00	-2.06489E+00
2.64436E-02	-6.40785E-02	1.48720E+00	-2.05517E+00
-4.95241E-02	-4.05479E-02	1.48617E+00	-2.04554E+00
-4.72969E-02	2.66104E-02	1.48515E+00	-2.03599E+00
4.87371E-03	4.05134E-02	1.48414E+00	-2.02653E+00
2.69892E-02	6.32422E-03	1.48315E+00	-2.01716E+00
