jMRUI Data Textfile
 
Filename: mI.txt
 
PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.00000E-01
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.27740E+08
MagneticField: 0E0
TypeOfNucleus: 0E0
NameOfPatient: 
DateOfExperiment: 
Spectrometer: Vespa-Simulation
AdditionalInfo: see 'readme' file for Vespa-Simulation output synopsis
 
  
Signal and FFT 
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
5.39182E+00	-1.28368E-01	2.97511E+00	-1.29285E+01
4.72963E+00	-2.35456E+00	2.96747E+00	-1.28236E+01
3.18569E+00	-4.02127E+00	2.96007E+00	-1.27205E+01
1.12415E+00	-4.80862E+00	2.95290E+00	-1.26191E+01
-9.95038E-01	-4.60632E+00	2.94595E+00	-1.25194E+01
-2.72683E+00	-3.52809E+00	2.93922E+00	-1.24213E+01
-3.74222E+00	-1.87193E+00	2.93269E+00	-1.23248E+01
-3.89528E+00	-3.91664E-02	2.92636E+00	-1.22298E+01
-3.24220E+00	1.56505E+00	2.92023E+00	-1.21363E+01
-2.01115E+00	2.62420E+00	2.91427E+00	-1.20443E+01
-5.34558E-01	2.97401E+00	2.90849E+00	-1.19536E+01
8.36490E-01	2.62441E+00	2.90288E+00	-1.18644E+01
1.81340E+00	1.73892E+00	2.89743E+00	-1.17765E+01
2.22794E+00	5.80836E-01	2.89214E+00	-1.16900E+01
2.05582E+00	-5.57129E-01	2.88700E+00	-1.16047E+01
1.40473E+00	-1.42122E+00	2.88201E+00	-1.15207E+01
4.74360E-01	-1.84745E+00	2.87715E+00	-1.14379E+01
-4.98514E-01	-1.78560E+00	2.87243E+00	-1.13563E+01
-1.29517E+00	-1.29515E+00	2.86785E+00	-1.12759E+01
-1.75811E+00	-5.18367E-01	2.86339E+00	-1.11966E+01
-1.81481E+00	3.59472E-01	2.85905E+00	-1.11184E+01
-1.48067E+00	1.15233E+00	2.85483E+00	-1.10413E+01
-8.44483E-01	1.70879E+00	2.85073E+00	-1.09653E+01
-4.27179E-02	1.93522E+00	2.84673E+00	-1.08904E+01
